Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000052207	0.5303737861083592	0.9753211788510245	-0.4676040662543742	1	56274613	56320569	1	protein_coding	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]	1131	900	295	1107	288	1674	1982	1284	2353	2767	2342	3290	1277.141249083125	733.854664961155	282.88502310330836	1402.1763282483168	243.179538224743	1239.9557397743542	1997.8560745938298	923.1254442632616	3367.935419923041	2871.5540806886384	2436.422888141218	3902.5884622391654	1.003469343289691
ENSDARG00000031776	0.17863298214791776	0.8466396032253815	-0.6653698270020261	3	32099507	32100999	1	protein_coding	fthl27	ferritin, heavy polypeptide-like 27 [Source:ZFIN;Acc:ZDB-GENE-040718-72]	1398	1837	1381	1133	1835	3503	483	1794	474	2078	478	1374	1578.6414378587172	1497.8789105929352	1324.2854810361655	1435.1091056055493	1549.4251827861228	2594.7221961944824	486.864018178012	1289.7874197883887	678.4536290027715	2156.5194722338238	497.27162277177723	1629.83481675277	0.9800851009646526
ENSDARG00000026403	0.022686008848628977	0.4255873252556864	-1.658671176212767	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	144	356	26	298	28	242	190	22	19	20	24	10	162.60684338458887	290.28028969574575	24.932239324359383	377.46029432520186	23.64245510518335	179.25286082759484	191.52000715077077	15.81679110108392	27.195398630912784	20.75572158069128	24.967612858834002	11.861971009845488	0.9739347243162295
ENSDARG00000058225	NA	NA	2.245857905017867	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	0	4	8	0	4	0	1	618	2	1	1	316	0	3.261576288716244	7.671458253649041	0	3.3774935864547637	0	1.0080000376356355	444.30804093044827	2.8626735400960825	1.0377860790345639	1.0403172024514167	374.8382839111174	0.9398670782649398
ENSDARG00000101557	0.6477158189948446	0.9814140807136631	-0.2793610490994153	10	44699734	44748270	1	protein_coding	scarb1	scavenger receptor class B, member 1 [Source:ZFIN;Acc:ZDB-GENE-031126-1]	634	776	767	130	544	1242	307	627	241	166	125	189	715.9217965682594	632.7458000109514	735.5010600686018	164.6638867861619	459.3391277578479	919.9671617680693	309.4560115541401	450.7785463808917	344.9521615815779	172.2724891197376	130.0396503064271	224.19125208607971	0.9319693169657806
ENSDARG00000100131	0.9505460382855324	0.9994178329269605	-0.044316829477494706	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	332	363	285	93	434	351	122	72	45	300	241	230	374.89911113669103	295.9880482009992	273.29570028624704	117.79801131625428	366.45805413034185	259.9907196301066	122.97600459154754	51.76404360354737	64.41015465216185	311.33582371036914	250.71644579079143	272.8253332264462	0.8110513700242166
ENSDARG00000092379	0.10371170509766814	0.7453662622714017	2.3736892922172683	8	2478862	2481965	1	protein_coding	si:dkeyp-51b9.3	si:dkeyp-51b9.3 [Source:ZFIN;Acc:ZDB-GENE-081104-469]	62	2	98	3	247	4	1	2	138	6	70	86	70.01127979058688	1.630788144358122	93.97536360720075	3.799935848911428	208.56022896358166	2.962857203761898	1.0080000376356355	1.4378901000985382	197.52447426662968	6.226716474207383	72.82220417159917	102.0129506846712	0.8033176742330077
ENSDARG00000091801	0.940557889451279	0.9988177600190913	-0.072757778653353	16	51244297	51254694	-1	protein_coding	serpinb14	serpin peptidase inhibitor, clade B (ovalbumin), member 14 [Source:ZFIN;Acc:ZDB-GENE-050506-148]	15	469	39	121	236	30	172	634	412	359	319	357	16.938212852561342	382.41981985197964	37.39835898653907	153.2640792394276	199.27212160083107	22.221429028214235	173.3760064733293	455.8111617312366	589.7107492597929	372.56520237340845	331.86118758200195	423.4723650514839	0.7752213147486179
ENSDARG00000068006	0.9038651642101967	0.9960216545964202	-0.164215732029279	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	779	13	74	65	342	19	298	75	14	44	293	302	879.657854143019	10.600122938327793	70.96098884625363	82.33194339308095	288.7757016418823	14.073571717869015	300.38401121541943	53.920878753695185	20.038714780672578	45.66258747752081	304.81294031826513	358.23152449733374	0.7645865554859281
ENSDARG00000096242	0.3385356200159641	0.9359306797004606	-0.579420714330763	3	28822065	28828569	-1	protein_coding	si:ch211-76l23.4	si:ch211-76l23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-8310]	202	220	207	119	209	439	68	215	34	266	32	145	228.10126641449273	179.38669587939341	198.4989823131689	150.73078867348664	176.4740398922614	325.1735781128683	68.54400255922322	154.57318576059285	48.6654501816334	276.051097023194	33.290150478445334	171.99857964275958	0.7608049496330102
