Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000045835	0.43629329341881606	0.9584571213037232	-1.223161492942043	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	2321	932	0	660	897	1887	1038	2	651	142	649	653	2620.906135386325	759.9472752708849	0	835.9858867605142	757.4029367624807	1397.7278858746754	1046.3040390657898	1.4378901000985382	931.8002373012748	147.36562322290808	675.1658643909694	774.5867069429104	1.3815102504647332
ENSDARG00000105265	0.993336986795985	0.9998629871517414	0.02207268320075449	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	0	342	336	222	279	899	373	328	0	0	0	175	0	278.86477268523885	322.2012466532597	281.19525281944567	235.58017765521979	665.9021565454866	375.9840140380921	235.81397641616027	0	0	0	207.58449267229605	1.1460931640274759
ENSDARG00000068006	0.9038651642101967	0.9960216545964202	-0.164215732029279	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	779	13	74	65	342	19	298	75	14	44	293	302	879.657854143019	10.600122938327793	70.96098884625363	82.33194339308095	288.7757016418823	14.073571717869015	300.38401121541943	53.920878753695185	20.038714780672578	45.66258747752081	304.81294031826513	358.23152449733374	1.1371404949030277
ENSDARG00000099099	0.23203759574274704	0.8886592621005673	0.7217799418254142	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	153	199	286	131	325	212	263	178	26	31	211	230	172.76977109612568	162.26342036363314	274.2546325679532	165.93053206913237	274.42135389944957	157.03143179938058	265.10400989817214	127.9722189087699	37.21475602124907	32.17136845007148	219.50692971724894	272.8253332264462	0.9083977424017411
ENSDARG00000115978	0.5133519794411914	0.9725583271672917	0.6998414608515405	4	77561226	77561679	-1	protein_coding	AL935186.10	NA	48	52	28	35	88	176	228	927	71	45	553	41	54.2022811281963	42.40049175331117	26.850103887771642	44.33258490396666	74.30485890200481	130.36571696552352	229.82400858092493	666.4620613956724	101.62491067341092	46.70037355655538	575.2954129556334	48.6340811403665	0.8256219239461278
ENSDARG00000026403	0.022686008848628977	0.4255873252556864	-1.658671176212767	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	144	356	26	298	28	242	190	22	19	20	24	10	162.60684338458887	290.28028969574575	24.932239324359383	377.46029432520186	23.64245510518335	179.25286082759484	191.52000715077077	15.81679110108392	27.195398630912784	20.75572158069128	24.967612858834002	11.861971009845488	0.773618683152519
ENSDARG00000003132	0.5519891538784674	0.9777650374999095	-0.42051662678401314	7	49901483	49908518	1	polymorphic_pseudogene	apip	APAF1 interacting protein [Source:NCBI gene;Acc:447941]	2	5	5	5	1	2	2	241	1	190	7	3	2.2584283803415124	4.076970360895305	4.79466140853065	6.33322641485238	0.8443733966136909	1.481428601880949	2.016000075271271	173.26575706187384	1.4313367700480413	197.17935501656714	7.282220417159917	3.5585913029536465	0.7534461886796409
ENSDARG00000041433	0.10931868338567981	0.7519788275070121	1.3723811137529867	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	584	764	1202	171	1738	164	522	44	1409	276	678	397	659.4610870597215	622.9610711448026	1152.6366026107683	216.5963433879514	1467.5209633145948	121.47714535423782	526.1760196458018	31.63358220216784	2016.75350899769	286.4289578135396	705.3350632620605	470.92024909086587	0.7521501610613922
ENSDARG00000088885	0.7843337953126052	0.9904148946922058	0.22696170786309278	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	531	343	698	319	398	716	582	390	774	253	29	333	599.6127349806715	279.6801667574179	669.3347326308788	404.05984526758186	336.060611852249	530.3514394733797	586.65602190394	280.38856951921497	1107.854660017184	262.55987799574467	30.169198871091087	395.00363462785475	0.747944323969051
ENSDARG00000089296	0.8254995979074002	0.9923392995130148	0.13412378106927259	4	76926059	76964360	1	protein_coding	si:dkey-240n22.6	si:dkey-240n22.6 [Source:ZFIN;Acc:ZDB-GENE-070705-411]	117	168	151	95	196	198	130	162	26	17	164	128	132.11806024997847	136.98620412608224	144.79877453762563	120.33130188219522	165.49718573628343	146.66143158621395	131.04000489263262	116.4690981079816	37.21475602124907	17.642363343587586	170.61202120203234	151.83322892602226	0.7354814263426827
ENSDARG00000105422	0.4456514150290419	0.9600374754815886	0.4457338859381836	5	15841523	15851953	-1	protein_coding	si:dkey-1k23.3	si:dkey-1k23.3 [Source:ZFIN;Acc:ZDB-GENE-160113-121]	64	67	69	43	50	95	148	225	214	246	90	57	72.2697081709284	54.631402835997086	66.16632743772297	54.46574716773047	42.21866983068455	70.36785858934508	149.18400557007408	161.76263626108553	306.3060687902808	255.29537544250272	93.62854822062751	67.61323475611928	0.7308911274149404
ENSDARG00000035438	0.7513746449613281	0.9896880344643182	-0.2521051883436036	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	1023	1910	1026	573	1027	1761	1127	1374	1188	35	710	681	1155.1861165446835	1557.4026778620066	983.8645210304894	725.7877471420827	867.1714783222606	1304.3978839561755	1136.0160424153614	987.8304987676958	1700.428082817073	36.322512766209734	738.6252137405058	807.8002257704777	0.6650007747427017
ENSDARG00000097973	0.9008931477905933	0.9960216545964202	-0.15059999970732083	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	379	312	448	305	252	594	374	305	411	201	0	179	427.97217807471657	254.40295051986703	429.60166220434627	386.3268113059952	212.78209594665012	439.98429475864185	376.9920140757277	219.27824026502708	588.2794124897449	208.59500188594734	0	212.32928107623422	0.6554532513440606
ENSDARG00000089382	0.5325419914765063	0.9754123168461933	0.579671112592315	5	824709	825920	-1	protein_coding	zgc:158463	zgc:158463 [Source:ZFIN;Acc:ZDB-GENE-070410-9]	102	127	90	68	145	326	401	1340	209	133	1126	93	115.17984739741712	103.55504716674075	86.3039053535517	86.13187924199237	122.43414250898519	241.4728621065947	404.2080150918899	963.3863670660206	299.1493849400406	138.025548511597	1171.3971699602953	110.31633039156304	0.6270300481681537
