Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count
ENSDARG00000030722	1.9572116472061122e-111	4.541905348506504e-107	2.2393482805370155	2	23749614	23768832	-1	protein_coding	xirp1	xin actin binding repeat containing 1 [Source:NCBI gene;Acc:497637]	255	316	1420	226	1586	367	1186	380	542	238	875	654	287.9496184935428	257.6645268085833	1361.6838400227048	286.26183395132756	1339.176207029314	271.8421484451541	1195.4880446358638	273.19911901872223	775.7845293660383	246.9930868102262	910.2775521449896	775.7729040438949
ENSDARG00000078674	1.487002928119631e-105	1.725369497497208e-101	4.608704405390821	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	39	96	1410	35	1524	57	1211	104	684	37	825	581	44.03935341665949	78.27783092918986	1352.0945172056433	44.33258490396666	1286.825056439265	42.220715153607046	1220.6880455767548	74.77028520512398	979.0343507128601	38.39808492427886	858.2616920224189	689.1805156720228
ENSDARG00000007344	4.9674277205825727e-73	3.8424709227946394e-69	3.2634666941358725	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	153	319	2189	208	3061	296	1896	386	1880	270	1493	1675	172.76977109612568	260.11070902512046	2099.1027646547186	263.462218857859	2584.626967034508	219.25143307838044	1911.168071357165	277.5127893190179	2690.913127690317	280.20224133933226	1553.1935832599652	1986.8801441491191
ENSDARG00000062788	2.921605786235834e-62	1.6949695968847192e-58	3.27990059494614	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	70	112	1027	110	1512	180	956	175	1065	104	922	1059	79.04499331195292	91.32413608405484	984.8234533121955	139.33098112675236	1276.6925756799008	133.32857416928542	963.6480359796676	125.81538375862209	1524.3736601011638	107.92975221959465	959.1724606602062	1256.1827299426373
ENSDARG00000104919	3.033676064204348e-49	1.407989734918522e-45	3.5632345358157145	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	39	53	567	35	906	98	517	70	747	55	542	586	44.03935341665949	43.21588582549023	543.7146037273758	44.33258490396666	765.002297332004	72.59000149216651	521.1360194576235	50.326153503448836	1069.2085672258868	57.07823434690101	563.8519237286679	695.1115011769456
ENSDARG00000002204	3.1454971199347644e-48	1.216573436086769e-44	3.1575428747140495	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	126	273	1462	115	2043	159	1075	183	867	146	713	857	142.28098796151528	222.60258170488368	1401.9589958543622	145.66420754160475	1725.0548492817707	117.77357384953545	1083.6000404583083	131.56694415901623	1240.9689796316518	151.51676753904633	741.7461653478601	1016.5709155437584
ENSDARG00000113315	1.0267642106476371e-47	3.4038700388984383e-44	3.2793934548836736	12	46098784	46112892	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	32	59	418	33	550	55	351	41	276	53	265	398	36.1348540854642	48.1082502585646	400.8336937531624	41.79929433802571	464.40536813753005	40.739286551726096	353.8080132101081	29.476747052020034	395.04894853325936	55.002662188831884	275.68405864962546	472.1064461918504
ENSDARG00000041294	4.0889189890956243e-41	1.1860931757619132e-37	2.232556784044361	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]	67	93	321	42	393	79	288	82	190	59	202	230	75.65735074144067	75.83164871265268	307.81726242766774	53.19910188475999	331.8387448691806	58.516429774297485	290.30401083906304	58.95349410404007	271.9539863091278	61.22937866303927	210.14407489518618	272.8253332264462
ENSDARG00000043093	8.41208130292199e-40	2.1690084301734187e-36	4.367352896097322	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	60	30	944	31	1265	81	978	48	600	62	703	899	67.75285141024537	24.46182216537183	905.2320739305868	39.26600377208476	1068.132346716319	59.997858376178435	985.8240368076516	34.509362402364914	858.8020620288247	64.34273690014297	731.3429933233459	1066.3911937851094
ENSDARG00000077169	8.999952905260911e-30	2.088529071194847e-26	2.2737391828277893	14	11450498	11456724	-1	protein_coding	si:ch211-153b23.4	si:ch211-153b23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-7332]	72	99	327	78	582	89	366	145	284	81	300	394	81.30342169229444	80.72401314572704	313.57085611790455	98.79833207169713	491.42531682916814	65.92357278370223	368.92801377464264	104.24703225714401	406.4996426936437	84.06067240179968	312.095160735425	467.36165778791224
ENSDARG00000058365	6.10713525845613e-29	1.2883834618884814e-25	1.4162834928460772	5	15819651	15840485	1	protein_coding	hspb8	heat shock protein b8 [Source:ZFIN;Acc:ZDB-GENE-030131-2480]	448	539	1272	357	1729	588	975	625	676	392	826	734	505.88795719649875	439.49740490451387	1219.7618623301973	452.19236602045993	1459.9216027450716	435.540008952999	982.8000366947447	449.34065628079316	967.5836565524759	406.8121429815491	859.3020092248702	870.6686721226588
