Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000055120	0.5351233299329963	0.9755337251767112	-0.3365458667902771	17	32622931	32631514	1	protein_coding	ctsba	cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]	336	1477	461	236	490	481	471	1651	366	1282	1381	1300	379.41596789737406	1204.3370446084732	442.06778186652593	298.92828678103234	413.74296434070857	356.2835787523682	474.76801772638436	1186.9782776313432	523.8692578375831	1330.441753322311	1436.6780565854065	1542.0562312799134	1.2903533954553583
ENSDARG00000091801	0.940557889451279	0.9988177600190913	-0.072757778653353	16	51244297	51254694	-1	protein_coding	serpinb14	serpin peptidase inhibitor, clade B (ovalbumin), member 14 [Source:ZFIN;Acc:ZDB-GENE-050506-148]	15	469	39	121	236	30	172	634	412	359	319	357	16.938212852561342	382.41981985197964	37.39835898653907	153.2640792394276	199.27212160083107	22.221429028214235	173.3760064733293	455.8111617312366	589.7107492597929	372.56520237340845	331.86118758200195	423.4723650514839	1.1612449641004206
ENSDARG00000103285	0.6965216113604717	0.9863091659570168	0.655217014103065	KN149948.1	69090	81179	-1	protein_coding	CCDC134	si:dkey-167k11.5 [Source:ZFIN;Acc:ZDB-GENE-091204-218]	1	184	1	4	191	140	144	207	1	87	6	87	1.1292141901707562	150.03250928094724	0.9589322817061301	5.066581131881904	161.27531875321498	103.70000213166644	145.15200541953152	148.8216253601987	1.4313367700480413	90.28738887600706	6.2419032147085005	103.19914778565574	1.090624642658546
ENSDARG00000020711	NA	NA	-3.7076017410375286	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	11	4	5	361	14	14	11	491	7	395	10	255	12.421356091878318	3.261576288716244	4.79466140853065	457.2589471523418	11.821227552591674	10.370000213166643	11.088000413991992	353.00201957419114	10.019357390336289	409.92550121865276	10.403172024514168	302.4802607510599	1.0063656629199973
ENSDARG00000104773	0.7616269873943812	0.9899124702584762	-0.6021975641198041	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	0	684	2	222	332	385	271	519	282	517	0	310	0	557.7295453704777	1.9178645634122602	281.19525281944567	280.3319676757454	285.1750058620827	273.16801019925725	373.1324809755707	403.6369691535476	536.5354028608696	0	367.72110130521014	0.9934410359082477
ENSDARG00000087359	2.920130594691352e-4	0.021440630150804642	1.7512612288230207	1	56229674	56266731	1	protein_coding	c3a.2	complement component c3a, duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-990415-36]	1262	1028	3163	258	3485	1819	3937	2472	2727	1627	1501	2173	1425.0683079954943	838.2251062000747	3033.102807036489	326.7944830063828	2942.641287198713	1347.3593134107232	3968.496148171497	1777.232163721793	3903.255371921008	1688.4779505892354	1561.5161208795766	2577.6063004394246	0.8954652851575033
ENSDARG00000038805	0.8144529070841049	0.9907320907615966	0.15623743117287417	10	110868	116036	1	protein_coding	pigp	phosphatidylinositol glycan anchor biosynthesis, class P [Source:ZFIN;Acc:ZDB-GENE-030131-4041]	44	307	136	50	67	56	151	179	95	56	155	125	49.68542436751327	250.32598015897173	130.4147903120337	63.3322641485238	56.57301757311729	41.48000085266657	152.20800568298097	128.69116395881917	135.9769931545639	58.11602042593558	161.2491663799696	148.2746376230686	0.8427417680705356
ENSDARG00000093936	5.167657120210236e-8	1.1313268974679127e-5	2.7915797352011897	18	7591381	7593581	1	protein_coding	si:dkeyp-1h4.6	si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]	108	104	846	249	2311	210	743	220	878	200	630	926	121.95513253844166	84.80098350662234	811.2567103233861	315.3946754596485	1951.3469195742398	155.55000319749965	748.9440279632772	158.1679110108392	1256.7136841021802	207.55721580691278	655.3998375443925	1098.4185155116922	0.8332968941758504
ENSDARG00000040278	0.006582217423438686	0.21192379444894	-1.7426609433553975	16	25245857	25250414	1	protein_coding	klhl38b	kelch-like family member 38b [Source:ZFIN;Acc:ZDB-GENE-120727-8]	47	53	41	103	54	291	14	182	247	95	149	140	53.07306693802554	43.21588582549023	39.31622354995133	130.46446414595903	45.59616341713931	215.5478615736781	14.112000526898898	130.84799910896697	353.5401822018662	98.58967750828357	155.0072631652611	166.06759413783683	0.8040923675866932
ENSDARG00000113027	0.8064412255777845	0.9907172060038703	0.37550182975089746	7	47143303	47148440	-1	protein_coding	BX005073.3	NA	51	88	49	0	80	61	55	129	0	115	1	40	57.58992369870856	71.75467835175738	46.987681803600374	0	67.54987172909527	45.183572357368945	55.44000206995996	92.74391145635572	0	119.34539908897484	1.0403172024514167	47.447884039381954	0.7829880755182542
ENSDARG00000009443	0.834220912832187	0.9929008011539245	-0.14869746579858048	17	42983983	42988356	-1	protein_coding	zgc:92137	zgc:92137 [Source:ZFIN;Acc:ZDB-GENE-040801-179]	6329	2027	3264	1267	1767	1628	3207	2684	805	2538	2043	3356	7146.796609590716	1652.8037843069567	3129.9549674888085	1604.8395735235931	1492.007791816392	1205.8828819310925	3232.6561206974834	1929.6485143322382	1152.2260998886732	2633.9010685897233	2125.3680446082444	3980.877470904146	0.764851883297312
