Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000052779	4.183714180080563e-7	7.766981701035964e-5	3.587967007739384	12	46120836	46145909	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	214	213	1741	98	1845	35	1852	39	979	152	966	1624	241.6518366965418	173.67893737414	1669.5011024503724	124.13123773110665	1557.8689167522598	25.92500053291661	1866.8160697011972	28.038856951921495	1401.2786978770323	157.74348401325372	1004.9464175680686	1926.3840919989073	1.2319269278832847
ENSDARG00000078674	1.487002928119631e-105	1.725369497497208e-101	4.608704405390821	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	39	96	1410	35	1524	57	1211	104	684	37	825	581	44.03935341665949	78.27783092918986	1352.0945172056433	44.33258490396666	1286.825056439265	42.220715153607046	1220.6880455767548	74.77028520512398	979.0343507128601	38.39808492427886	858.2616920224189	689.1805156720228	1.1807535567002825
ENSDARG00000043093	8.41208130292199e-40	2.1690084301734187e-36	4.367352896097322	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	60	30	944	31	1265	81	978	48	600	62	703	899	67.75285141024537	24.46182216537183	905.2320739305868	39.26600377208476	1068.132346716319	59.997858376178435	985.8240368076516	34.509362402364914	858.8020620288247	64.34273690014297	731.3429933233459	1066.3911937851094	1.1732109070324082
ENSDARG00000031588	3.4619169844707165e-11	1.1814300814945212e-8	2.9245582976260147	12	38929663	38974869	1	protein_coding	si:dkey-239b22.1	si:dkey-239b22.1 [Source:ZFIN;Acc:ZDB-GENE-131119-12]	800	957	6376	659	6342	503	4947	244	3014	609	3265	4681	903.3713521366049	780.3321270753614	6114.152228158286	834.7192414775437	5355.016081324028	372.5792933730587	4986.576186183489	175.42259221202167	4314.049024924796	632.0117221320494	3396.6356660038755	5552.588629708673	1.1337020287350505
ENSDARG00000079227	1.356489225829671e-11	4.7694983294853554e-9	3.7786752221087228	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	61	39	599	44	625	14	594	8	397	12	312	648	68.88206560041613	31.80036881498338	574.4004367419719	55.73239245070094	527.7333728835569	10.370000213166643	598.7520223555675	5.751560400394153	568.2406977090724	12.453432948414767	324.578967164842	768.6557214379876	1.0582334035903602
ENSDARG00000007344	4.9674277205825727e-73	3.8424709227946394e-69	3.2634666941358725	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	153	319	2189	208	3061	296	1896	386	1880	270	1493	1675	172.76977109612568	260.11070902512046	2099.1027646547186	263.462218857859	2584.626967034508	219.25143307838044	1911.168071357165	277.5127893190179	2690.913127690317	280.20224133933226	1553.1935832599652	1986.8801441491191	1.0153040899446082
ENSDARG00000062788	2.921605786235834e-62	1.6949695968847192e-58	3.27990059494614	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	70	112	1027	110	1512	180	956	175	1065	104	922	1059	79.04499331195292	91.32413608405484	984.8234533121955	139.33098112675236	1276.6925756799008	133.32857416928542	963.6480359796676	125.81538375862209	1524.3736601011638	107.92975221959465	959.1724606602062	1256.1827299426373	1.0019468380067074
ENSDARG00000036767	4.2086474635615926e-16	2.88047013357338e-13	3.4897731136502386	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	71	72	650	76	850	24	764	42	383	25	518	485	80.17420750212368	58.708373196892396	623.3059831089845	96.26504150575617	717.7173871216373	17.77714322257139	770.1120287536256	30.1956921020693	548.2019829283997	25.944651975864097	538.8843108698338	575.3055939775062	0.9855420239655348
ENSDARG00000104919	3.033676064204348e-49	1.407989734918522e-45	3.5632345358157145	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	39	53	567	35	906	98	517	70	747	55	542	586	44.03935341665949	43.21588582549023	543.7146037273758	44.33258490396666	765.002297332004	72.59000149216651	521.1360194576235	50.326153503448836	1069.2085672258868	57.07823434690101	563.8519237286679	695.1115011769456	0.9805478175189777
ENSDARG00000002204	3.1454971199347644e-48	1.216573436086769e-44	3.1575428747140495	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	126	273	1462	115	2043	159	1075	183	867	146	713	857	142.28098796151528	222.60258170488368	1401.9589958543622	145.66420754160475	1725.0548492817707	117.77357384953545	1083.6000404583083	131.56694415901623	1240.9689796316518	151.51676753904633	741.7461653478601	1016.5709155437584	0.9343842117038034
ENSDARG00000103199	2.1415673141093306e-12	8.423256117156123e-10	2.4561762084850733	16	23339062	23346095	-1	protein_coding	si:dkey-247k7.2	si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]	361	631	2471	338	2723	427	2172	215	1666	485	1632	1873	407.64632265164295	514.5136595449875	2369.5216680958474	428.12610564402087	2299.2287589790803	316.28500650158264	2189.3760817446005	154.57318576059285	2384.6070589000365	503.3262483317635	1697.7976744007121	2221.74717014406	0.8905490665341023
ENSDARG00000113076	1.756930368524783e-12	7.280593952140378e-10	2.962271233603438	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]	83	88	782	69	450	50	552	49	439	67	321	591	93.72477778417276	71.75467835175738	749.8850442941937	87.39852452496285	379.96802847616095	37.03571504702373	556.4160207748708	35.228307452414185	628.3568420510901	69.53166729531578	333.94182198690476	701.0424866818684	0.8511137522285976
ENSDARG00000100106	8.004312342750178e-7	1.4511568142645362e-4	2.988684293759971	12	43852970	43982343	-1	protein_coding	CR385054.1	NA	76	72	600	47	436	30	396	14	345	58	233	468	85.82027845297746	58.708373196892396	575.359369023678	59.532328299612374	368.14680092356923	22.221429028214235	399.1680149037117	10.065230700689767	493.8111856665742	60.1915925840047	242.3939081711801	555.1402432607688	0.8371696785221155
ENSDARG00000093936	5.167657120210236e-8	1.1313268974679127e-5	2.7915797352011897	18	7591381	7593581	1	protein_coding	si:dkeyp-1h4.6	si:dkeyp-1h4.6 [Source:ZFIN;Acc:ZDB-GENE-060503-841]	108	104	846	249	2311	210	743	220	878	200	630	926	121.95513253844166	84.80098350662234	811.2567103233861	315.3946754596485	1951.3469195742398	155.55000319749965	748.9440279632772	158.1679110108392	1256.7136841021802	207.55721580691278	655.3998375443925	1098.4185155116922	0.8368087902256859
ENSDARG00000097157	1.2425035948429194e-23	1.8020961513702992e-20	2.3324657925266243	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]	202	296	1071	119	1318	209	783	125	717	166	594	823	228.10126641449273	241.35664536500207	1027.0164737072653	150.73078867348664	1112.8841367368448	154.80928889655917	789.2640294687027	89.86813125615863	1026.2684641244455	172.2724891197376	617.9484182561415	976.2402141102837	0.7816246347932101
ENSDARG00000113315	1.0267642106476371e-47	3.4038700388984383e-44	3.2793934548836736	12	46098784	46112892	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	32	59	418	33	550	55	351	41	276	53	265	398	36.1348540854642	48.1082502585646	400.8336937531624	41.79929433802571	464.40536813753005	40.739286551726096	353.8080132101081	29.476747052020034	395.04894853325936	55.002662188831884	275.68405864962546	472.1064461918504	0.7799695907719785
ENSDARG00000104899	3.006606361804218e-18	2.6835118166164878e-15	7.854759853831062	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	0	1	144	1	308	1	90	2	173	3	349	152	0	0.815394072179061	138.08624856568272	1.266645282970476	260.0670061570168	0.7407143009404745	90.7200033872072	1.4378901000985382	247.62126121831113	3.1133582371036916	363.07070365554443	180.3019593496514	0.7520007527085539
ENSDARG00000006588	3.685823306343863e-6	5.493234698964878e-4	2.4107203437430735	1	45173421	45177401	-1	protein_coding	zgc:111983	zgc:111983 [Source:ZFIN;Acc:ZDB-GENE-050417-335]	1158	646	6021	914	6402	476	2135	1131	1617	994	1292	2135	1307.6300322177356	526.7445706276734	5773.731268152609	1157.7137886350151	5405.6784851208495	352.5800072476659	2152.080080352082	813.1268516057233	2314.4715571676825	1031.5593625603565	1344.0898255672305	2532.5308106020116	0.7068868201164926
ENSDARG00000041433	0.10931868338567981	0.7519788275070121	1.3723811137529867	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	584	764	1202	171	1738	164	522	44	1409	276	678	397	659.4610870597215	622.9610711448026	1152.6366026107683	216.5963433879514	1467.5209633145948	121.47714535423782	526.1760196458018	31.63358220216784	2016.75350899769	286.4289578135396	705.3350632620605	470.92024909086587	0.7022401157787856
ENSDARG00000088641	4.2823725025534706e-5	0.00443646144170785	2.6734645045546093	19	40196462	40199098	-1	protein_coding	grn2	granulin 2 [Source:ZFIN;Acc:ZDB-GENE-050522-264]	37	42	241	57	455	25	176	12	204	70	231	282	41.780925036317974	34.24655103152056	231.10267989117733	72.19878112931714	384.1898954592294	18.517857523511864	177.40800662387187	8.627340600591229	291.9927010898004	72.64502553241947	240.31327376627726	334.50758247764276	0.6525503038457792
ENSDARG00000007769	8.037550735393636e-8	1.6653518068352206e-5	2.9601909943748197	7	56602521	56606752	-1	protein_coding	sult5a1	sulfotransferase family 5A, member 1 [Source:ZFIN;Acc:ZDB-GENE-060929-978]	13	35	326	40	360	41	105	13	111	12	137	328	14.67978447221983	28.538792526267137	312.6119238361984	50.66581131881904	303.97442278092876	30.369286338559455	105.84000395174174	9.346285650640498	158.87838147533256	12.453432948414767	142.5234567358441	389.072649122932	0.6412248407402202
