Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000055876	0.7513394826875552	0.9896880344616568	-0.191636423853773	1	20916551	20928772	-1	protein_coding	msmo1	methylsterol monooxygenase 1 [Source:NCBI gene;Acc:406662]	128	1300	173	143	1825	691	1292	363	448	2092	356	1393	151.83322892602226	1097.6854155977983	179.9748760240951	204.68115811686988	1750.0514141136873	696.5280260062242	1636.505705597855	376.7163466895467	322.08738242207255	2362.3160858372216	263.6942911348089	1135.8439425454321	0.9879403038776933
ENSDARG00000079946	0.8860114781632543	0.9951482764481852	-0.10156599846142308	16	43401005	43413293	1	protein_coding	sqlea	squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]	37	675	68	46	933	374	609	142	272	1005	94	809	43.8892927364283	569.9520427142414	70.74156976669634	65.8414914222099	894.6838188318193	376.9920140757277	771.3869773290199	147.36562322290808	195.5530536134012	1134.86026112161	69.62714428840461	659.6538043928604	0.9724476973222738
ENSDARG00000042641	0.8559154233419417	0.9949293706621911	-0.10579200603593926	19	598657	617246	-1	protein_coding	cyp51	cytochrome P450, family 51 [Source:NCBI gene;Acc:414331]	257	1773	309	176	2334	1183	1748	538	985	2513	427	2089	304.85265495302906	1497.074032196074	321.4580155574878	251.91527152845524	2238.1479455021076	1192.464044522957	2214.095954632392	558.3289105205954	708.1608742985301	2837.71525989911	316.28500650158264	1703.3582167820584	0.8811986589309463
ENSDARG00000103025	0.9711852027129477	0.999642312595375	-0.018961538092370268	10	6010570	6034397	1	protein_coding	hmgcs1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]	536	3235	721	440	4177	2311	3133	900	1697	4234	958	3423	635.8016461277182	2731.5479380452903	750.0687029674715	629.7881788211381	4005.4601406865054	2329.488086975954	3968.3996715465014	934.0074711311075	1220.0497499336097	4781.092881182982	709.6043003009746	2791.0939090689258	0.8313289802728725
ENSDARG00000103634	0.9402166962268027	0.9988177600188244	0.2863169575184	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	723	0	0	0	0	203	0	0	178	0	257	0	610.4819657516986	0	0	0	0	257.1289924430066	0	0	201.0001258503946	0	209.55627655001868	0.7772349215316581
ENSDARG00000103973	0.8930330319851603	0.9951482764481852	0.2913376397604295	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	215	0	1	136	1	333	4.744788403938196	636.6575410467229	1.0403172024514167	0	3.8357291268245204	0	272.32873583865234	0	0.7189450500492691	153.57312986322285	0.7407143009404745	271.5262260356273	0.7601503306602758
ENSDARG00000052734	0.5072407065691241	0.9716960835094766	0.3364150847122348	5	50972485	50992775	-1	protein_coding	hmgcra	3-hydroxy-3-methylglutaryl-CoA reductase a [Source:ZFIN;Acc:ZDB-GENE-040401-2]	277	1819	382	167	2196	1181	1232	881	609	1669	516	1566	328.57659697272004	1535.9152084403038	397.4011713364412	239.03324059802287	2105.8152906266614	1190.4480444476856	1560.5069886196266	914.2895356294508	437.8375354800049	1884.658483394992	382.2085792852848	1276.9071170324096	0.7587320312414132
ENSDARG00000019532	0.7392983756853292	0.9895548493020161	0.14577280211426866	25	4133488	4148719	-1	protein_coding	fads2	fatty acid desaturase 2 [Source:NCBI gene;Acc:140615]	148	1070	266	151	1288	544	717	289	356	713	424	1486	175.5571709457132	903.4795343766493	276.72437585207683	216.1318522772542	1235.1047788374956	548.3520204737857	908.1846678898313	299.920176840989	255.9444378175398	805.1297175917491	314.06286359876117	1211.6755912580848	0.681632870331767
ENSDARG00000061274	0.7696953819654421	0.9899124702601195	-0.19005638081165918	9	38481780	38500391	1	protein_coding	lss	lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase) [Source:ZFIN;Acc:ZDB-GENE-050119-7]	38	317	66	42	466	287	356	85	300	594	85	421	45.07548983741285	267.66636672654005	68.6609353617935	60.116144342017726	446.8624432750566	289.29601080142743	450.9257207374895	88.21181671793794	215.68351501478074	670.7532289614292	62.960715579940334	343.2809043873847	0.672663749628367
ENSDARG00000094929	0.43410426651646916	0.9582450448017475	0.5973263448772492	16	23921610	23922868	1	protein_coding	apoa4b.2	apolipoprotein A-IV b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3143]	72	996	311	155	976	347	230	318	55	360	356	1119	85.40619127088752	840.9959030272362	323.5386499623906	221.85719935744638	935.917906945183	349.77601305956557	291.3284150832095	330.0159731329913	39.5419777527098	406.5171084614722	263.6942911348089	912.4259667683693	0.6174782509895232
