Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000104773	0.7616269873943812	0.9899124702584762	-0.6021975641198041	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	0	684	2	222	332	385	271	519	282	517	0	310	0	557.7295453704777	1.9178645634122602	281.19525281944567	280.3319676757454	285.1750058620827	273.16801019925725	373.1324809755707	403.6369691535476	536.5354028608696	0	367.72110130521014	1.2425534432841294
ENSDARG00000045835	0.43629329341881606	0.9584571213037232	-1.223161492942043	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	2321	932	0	660	897	1887	1038	2	651	142	649	653	2620.906135386325	759.9472752708849	0	835.9858867605142	757.4029367624807	1397.7278858746754	1046.3040390657898	1.4378901000985382	931.8002373012748	147.36562322290808	675.1658643909694	774.5867069429104	1.2319181609056056
ENSDARG00000103634	0.9402166952399931	0.9988177600190913	0.2863169622499772	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	178	257	0	203	723	0	0	0	0	0	0	0	201.0001258503946	209.55627655001868	0	257.1289924430066	610.4819657516986	0	0	0	0	0	0	0	1.0717221604038607
ENSDARG00000101026	0.004938152712453745	0.17575885252331533	-1.8931893695566016	KN150709.1	28312	30914	-1	protein_coding	CABZ01038709.1	NA	36	201	32	161	37	39	26	37	85	17	162	247	40.65171084614722	163.89420850799127	30.685833014596163	203.92989055824663	31.241815674706565	28.887857736678505	26.208000978526524	26.600966851822957	121.6636254540835	17.642363343587586	168.5313867971295	292.99068394318357	1.0286003303537132
ENSDARG00000003523	0.08062750332445846	0.6936871440121688	1.1976882615061064	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	45	92	32	78	407	206	273	112	233	107	176	269	50.81463855768403	75.01625464047362	30.685833014596163	98.79833207169713	343.65997242177224	152.58714599373775	275.18401027452853	80.52184560551814	333.5014674211936	111.04311045669833	183.09582763144934	319.08702016484364	1.0001243271022242
ENSDARG00000103285	0.6965216113604717	0.9863091659570168	0.655217014103065	KN149948.1	69090	81179	-1	protein_coding	CCDC134	si:dkey-167k11.5 [Source:ZFIN;Acc:ZDB-GENE-091204-218]	1	184	1	4	191	140	144	207	1	87	6	87	1.1292141901707562	150.03250928094724	0.9589322817061301	5.066581131881904	161.27531875321498	103.70000213166644	145.15200541953152	148.8216253601987	1.4313367700480413	90.28738887600706	6.2419032147085005	103.19914778565574	0.9805538443656279
ENSDARG00000103973	0.8930330319650861	0.9951482764480201	0.29133763981543415	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	136	333	4	215	754	1	0	1	0	0	1	4	153.57312986322285	271.5262260356273	3.8357291268245204	272.32873583865234	636.6575410467229	0.7407143009404745	0	0.7189450500492691	0	0	1.0403172024514167	4.744788403938196	0.9344957128290395
ENSDARG00000009153	0.44320629088844193	0.9600374754815886	-0.6646256048660407	8	39724138	39733667	1	protein_coding	pla2g1b	phospholipase A2, group IB (pancreas) [Source:ZFIN;Acc:ZDB-GENE-070117-1]	398	309	375	338	95	96	127	31	77	198	70	194	449.4272476879609	251.95676830332985	359.59960563979877	428.12610564402087	80.21547267830064	71.10857289028556	128.01600477972573	22.28729655152734	110.21293129369917	205.48164364884366	72.82220417159917	230.12223759100246	0.926701045512983
ENSDARG00000103826	0.6329065417943975	0.9814140807136631	0.21037394300766016	18	402048	423921	1	protein_coding	gpib	glucose-6-phosphate isomerase b [Source:ZFIN;Acc:ZDB-GENE-020513-3]	584	749	663	993	1850	1989	1264	1908	1307	1302	798	1314	659.4610870597215	610.7301600621167	635.7721027711642	1257.7787659896826	1562.0907837353282	1473.2807445706037	1274.1120475714433	1371.7471554940055	1870.7571584527898	1351.197474903002	830.1731275562306	1558.662990693697	0.8712894442441532
ENSDARG00000068621	0.8226077554796549	0.9923392995130148	-0.26715630917197913	15	42741272	42760110	-1	protein_coding	si:ch211-181d7.3	si:ch211-181d7.3 [Source:ZFIN;Acc:ZDB-GENE-121214-30]	340	178	191	254	285	501	335	214	307	194	0	196	383.9328246580571	145.14014484787288	183.15606580587084	321.7279018745009	240.64641803490193	371.09786477117774	337.6800126079379	153.8542407105436	439.4203884047486	201.3304993327054	0	232.49463179297157	0.8367965449335715
