Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_het_3 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_2 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_1 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count
ENSDARG00000007344	2.646109129712409e-63	6.415491584987736e-59	3.27326789457153	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	153	319	2189	299	2984	208	1886	3956	306	3061	296	1896	2652	386	1880	270	255	401	387	1373	1893	1493	1675	164.169225544473	247.14886338327437	1996.5616262605447	443.3833325639492	3247.8717232155395	250.65485254746866	2395.4964608565438	2854.062444270662	226.87803150226202	2456.0136028200573	208.4367423247266	1818.9817802085374	2533.7202956376877	263.7845443025034	2560.619848824416	266.13593232607116	304.8502256047134	387.32369937435277	416.12659016106267	1799.0287829366368	1899.2106517698462	1477.183022387546	1891.8487911433494
ENSDARG00000002204	1.5138075564418392e-54	1.8351132102966196e-50	3.335838081794448	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	126	273	1462	168	1895	115	1442	3162	191	2043	159	1075	1483	183	867	146	176	202	174	1061	1309	713	857	135.19818574250718	211.50984233114076	1333.4733200515836	249.12508317974402	2062.5726928597346	138.5832117449947	1831.551376752458	2281.229890996925	141.61341182003935	1639.21456731832	111.96433118118759	1031.3319692638067	1416.8579179602905	125.05847566673087	1180.8816004950895	143.91054118372736	210.4064302212924	195.1106914554096	187.0956761964468	1390.2181636531475	1313.29463453076	705.4464132366513	967.9489038864779
ENSDARG00000078674	1.0815582419627272e-50	8.740793192128774e-47	4.518713022239891	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	39	96	1410	84	1949	35	1316	2881	110	1524	57	1211	1277	104	684	37	59	174	84	570	1072	825	581	41.84705749172841	74.3770874131484	1286.0447204327859	124.56254158987201	2121.3478513897744	42.17749922673752	1671.5129069391364	2078.5019974579823	81.55746230473471	1222.791483403387	40.13815646118046	1161.807455607879	1220.0455571377552	71.07148343901645	931.6297747850534	36.470479615054195	70.53397376736507	168.06564511505582	90.32205057759501	746.8655544602207	1075.5170727402406	816.2598750634464	656.2174015846484
ENSDARG00000030722	1.2695955664768536e-48	7.695336127307828e-45	2.535178214395124	2	23749614	23768832	-1	protein_coding	xirp1	xin actin binding repeat containing 1 [Source:NCBI gene;Acc:497637]	255	316	1420	177	1971	226	1273	3523	391	1586	367	1186	858	380	542	238	181	313	247	587	613	875	654	273.61537590745496	244.8245794016135	1295.1656049748624	262.4710697786589	2145.293286346457	272.3461378640765	1616.896603748876	2541.6739108102993	289.899706919557	1272.537593620585	258.43339335531977	1137.8229912063953	819.7330368239577	259.6842664117909	738.2212542887411	234.5938959022405	216.3838856253064	302.32498230466933	265.5898391984043	769.1404920493851	615.0111619307531	865.7301705218372	738.6681250195526
ENSDARG00000077301	8.448801946463175e-41	4.080785329111493e-37	1.2196030837095224	15	1148074	1162658	1	protein_coding	mlf1	myeloid leukemia factor 1 [Source:ZFIN;Acc:ZDB-GENE-080917-7]	342	547	907	307	1067	380	836	1539	590	1409	669	800	1088	580	658	439	425	490	383	705	903	830	745	366.96650415823376	423.7944459895018	827.2642279663381	455.24643176298457	1161.3535953991222	457.9271344617216	1061.8425457455305	1110.3139792043855	437.4445705435771	1130.5204725166484	471.09520478122323	767.5028608474842	1039.4749930821283	396.3601961022071	896.2169470885455	432.7173121894268	508.08370934118904	473.28831095619165	411.82554013355815	923.754764727115	905.9626088474228	821.2069046092855	841.4491638219674
ENSDARG00000058365	1.0098870684540712e-40	4.080785329111493e-37	1.5310770902421982	5	15819651	15840485	1	protein_coding	hspb8	heat shock protein b8 [Source:ZFIN;Acc:ZDB-GENE-030131-2480]	448	539	1272	322	1236	357	1101	2426	567	1729	588	975	952	625	676	392	394	459	406	679	723	826	734	480.70466041780327	417.5963553717395	1160.1765137521302	477.48974276117605	1345.2980730209138	430.21049211272265	1398.4313909878338	1750.2415292721503	420.39164660713254	1387.2745897667035	414.0567719153352	935.3941116578712	909.5406189468622	427.1122802825508	920.7335201092048	386.3899461919255	471.02348583630226	443.34558107937136	436.5565777917092	889.6872131201576	725.3720555888002	817.2492809726143	829.0250822084887
ENSDARG00000089086	1.1143892454547742e-37	3.859766750864428e-34	1.9048864158264314	11	18249809	18253111	-1	protein_coding	mustn1b	musculoskeletal, embryonic nuclear protein 1b [Source:ZFIN;Acc:ZDB-GENE-111129-2]	128	179	571	114	446	122	397	689	174	890	166	544	413	244	432	146	177	171	103	405	378	325	441	137.34418869080093	138.68227757243295	520.8025073525679	169.04916358625488	485.4392723036631	147.0187115903422	504.24819457054497	497.0801375385456	129.00907673658037	714.0973886017155	116.89357846589397	521.9019453762892	394.58012145488874	166.7446342223078	588.3977524958232	143.91054118372736	211.60192130209518	165.1679615785893	110.75203820824149	530.6676308006831	379.24016184310716	321.55692047953954	498.0927265040102
ENSDARG00000075263	2.1097178194150147e-35	6.393763566464629e-32	2.2920827110307544	17	23462972	23472265	1	protein_coding	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]	41	67	195	36	253	47	245	499	68	268	55	173	179	59	70	51	42	65	45	108	139	106	108	43.99306044002218	51.90900892375982	177.85724857049166	53.38394639565943	275.3725020018537	56.638356104476095	311.18591352590306	360.0043376367696	50.417340333836	215.03157319692107	38.729800094121494	165.97249365826843	171.01656595744572	40.319399258672796	95.34222841367506	50.27012055048011	50.2106253937175	62.783143290107056	48.38681280942589	141.51136821351548	139.45603834971402	104.87702637178828	121.98189220506373
ENSDARG00000018566	5.947771567970194e-32	1.602263574060415e-28	2.19404686683738	25	35019693	35041057	1	protein_coding	flnca	filamin C, gamma a (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-070503-1]	613	833	2844	518	3198	458	2990	4915	831	4638	921	1821	1949	1408	1396	650	458	688	707	1149	1033	1193	1125	657.7499036520388	645.3761855745065	2593.979563766555	768.135673137544	3480.7954996123644	551.9227041670224	3797.7382916018373	3545.934507985416	616.1295561384959	3721.329986892985	648.5481070306527	1747.0283870040857	1862.0742293355404	962.1985450205303	1901.3964409355767	640.6976148590602	547.5349150076813	664.5354243629793	760.2105923614246	1505.5237229382342	1036.3891195342055	1180.361249637202	1270.644710469414
ENSDARG00000038583	7.026844282283481e-31	1.70365839623963e-27	1.1995003542525833	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	421	724	1194	395	1273	511	993	1997	574	1524	796	1058	1199	967	854	498	638	680	562	700	1084	1142	849	451.7336206158374	560.9272009074942	1089.0336143239335	585.7405229523744	1385.5699409026079	615.7914887103677	1261.2555597192725	1440.7388021255088	425.58166693561566	1222.791483403387	560.5258340894675	1015.0225334707977	1145.524371971941	660.8281200531626	1163.1751866468358	490.87294184586455	762.7233095521849	656.8082682657354	604.2975288643856	917.2033124950078	1087.556442957482	1129.9015482696434	958.9132081675843
ENSDARG00000055618	1.3217622080080762e-28	2.9132840666505276e-25	-1.3996415940323819	13	24279021	24284442	1	protein_coding	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]	14933	17816	5819	10513	4833	16337	4434	10543	20897	8048	19557	6594	5373	23423	4007	16724	15808	23124	23317	5169	8896	6657	4583	16023.131013435393	13803.147805756791	5307.442715034313	15589.595234932434	5260.376688438573	19687.251567634594	5631.829961525936	7606.263991391707	15493.693543473102	6457.366048838883	13771.612735286073	6326.142330535388	5133.363178152827	16006.801505693098	5457.661560765656	16484.656786004496	18898.323005330625	22335.344699083624	25071.895872830744	6772.891317552422	8925.186454381697	6586.475137330137	5176.324184961177
ENSDARG00000056210	3.549309532292777e-28	7.1710841342031985e-25	3.736083071110369	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	17	34	180	21	343	14	289	753	37	189	22	146	376	36	121	16	17	23	31	135	154	78	69	18.241025060496998	26.34188512549006	164.1759217573769	31.140635397468003	373.33109955192026	16.870999690695008	367.0723633019836	543.2530385580911	27.432964593410766	151.64540050081374	15.491920037648597	140.06927210466586	359.23032849161785	24.601667344274926	164.80585197220972	15.771018211915328	20.323348373647562	22.215573779576342	33.333137713160056	176.88921026689437	154.5052511212659	77.173660915089485	77.93287557545739
ENSDARG00000104899	3.897030025507296e-26	7.267960997571108e-23	8.046700265251511	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	0	1	144	0	214	1	155	152	1	308	1	90	142	2	173	3	1	5	2	131	119	349	152	0	0.7747613272202959	131.34073740590154	0	232.92377639682488	1.2050714064782149	196.87272080210195	109.6606399214208	0.7414314754975883	247.12583785317793	0.7041781835294817	86.34407184534196	135.66677299417483	1.3667592969041624	235.63150736522547	2.957065914734124	1.1954910808027976	4.829472560777465	2.150525013752262	171.6480484812086	119.39042132097819	345.30266229956703	171.67821865897858
ENSDARG00000041065	6.31259135428472e-26	1.0932055527473787e-22	1.3956123173618726	5	3568016	3584815	-1	protein_coding	hspb1	heat shock protein, alpha-crystallin-related, 1 [Source:NCBI gene;Acc:368243]	467	426	1186	300	1017	315	676	1385	383	1458	565	876	1147	547	596	248	330	312	368	734	993	680	598	501.09168842659403	330.04832539584606	1081.7369066902722	444.8662199638286	1106.9321523157519	379.59749304063763	858.6190920143284	999.210436126104	283.9682551155763	1169.835946720563	397.8606736941572	840.4156326279951	1095.843581861398	373.80866770328845	811.770973350719	244.45078228468756	394.51205666492325	301.35908779251383	395.6966025304162	961.7531876733368	996.2578854767339	672.7960182341135	675.4182549872974
ENSDARG00000099002	3.0734929735649624e-24	4.967789142938834e-21	2.0677452099509996	19	19496479	19505167	-1	protein_coding	creb5a	cAMP responsive element binding protein 5a [Source:ZFIN;Acc:ZDB-GENE-120827-2]	20	29	88	12	104	11	56	101	24	97	29	91	62	26	60	11	19	25	20	29	58	51	53	21.460029482937646	22.46807848938858	80.26378397027315	17.794648798553144	113.19660161341022	13.255785471260362	71.1282088059207	72.8666094214704	17.794355411942117	77.82859179142292	20.421167322354968	87.30345042140132	59.23478820872422	17.76787085975411	81.72191006886433	10.842575020691788	22.714330535253154	24.14736280388733	21.50525013752262	37.99842294622175	58.190289383333905	50.45970136755851	59.86148413767016
ENSDARG00000036371	4.4468977095460895e-24	6.738439685496559e-21	-1.1702750980060517	1	53945934	53953532	1	protein_coding	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]	3033	3234	1193	1641	1076	2419	1040	1612	3664	1310	3480	1315	1448	4777	743	2343	2800	3129	2956	1097	1150	762	785	3254.413471087494	2505.578132230437	1088.121525869726	2433.4182232021426	1171.1494551541289	2915.0677322708016	1320.952449252813	1162.9799444298048	2716.6049262231636	1051.0871674924126	2450.5400786825962	1261.582827518052	1383.4189246166559	3264.5045806555922	1011.9896530194367	2309.468479407351	3347.3750262478334	3022.283928534538	3178.4759703258433	1437.3886197243194	1153.7729791523102	753.9273027858742	886.6276424164354
ENSDARG00000026771	6.065389737839506e-22	8.650316129054048e-19	1.3926010929166444	1	30422143	30438036	1	protein_coding	tmem41ab	transmembrane protein 41ab [Source:NCBI gene;Acc:406356]	116	271	384	160	466	142	348	689	208	663	241	416	552	214	249	143	159	265	193	274	399	282	272	124.46817100103834	209.96031967670018	350.2419664157374	237.26198398070858	507.2078495370112	171.1201397199065	442.01101186536437	497.0801375385456	154.21774690349835	531.9624366774577	169.70694223060508	399.10148764069174	527.3806950196092	146.24324476874537	339.14592678578697	140.95347526899323	190.08308184764482	255.96204572120567	207.52566382709327	359.01958231947447	400.3090597232798	279.01246638532353	307.21365444238273
ENSDARG00000053773	1.2553836772289265e-21	1.6909320696897401e-18	0.9702285713825175	17	27434626	27447527	1	protein_coding	vgll2b	vestigial-like family member 2b [Source:ZFIN;Acc:ZDB-GENE-050809-113]	105	157	250	93	266	115	211	313	165	330	160	207	232	185	201	106	95	143	110	161	223	200	211	112.66515478542264	121.63752837358645	228.02211355191238	137.90852818878687	289.52207720353	138.5832117449947	268.00092960802266	225.81434404871518	122.33619345710207	264.7776834141192	112.66850936471707	198.59136524428652	221.65275587780675	126.42523496363503	273.7683987306955	104.48299565393904	113.57165267626578	138.12291523823552	118.2788757563744	210.9567618738518	223.7316298704045	197.88118183356278	238.31647458581895
ENSDARG00000039255	1.9084646110814457e-21	2.435301289245771e-18	0.6197828472979953	23	24926407	24939148	1	protein_coding	klhl21	kelch-like family member 21 [Source:NCBI gene;Acc:404613]	650	834	1092	443	1064	551	887	1457	872	1304	1012	906	1020	1061	806	700	692	779	644	664	990	1034	873	697.4509581954735	646.1509469017268	996.0005919947532	656.9191181465869	1158.08830881412	663.9943449694963	1126.620021622351	1051.1549497730928	646.528246633897	1046.273027793974	712.6283217318355	869.1969899097758	974.5078060144953	725.0658070076582	1097.7976585917443	689.9820467712956	827.279827915536	752.4318249691291	692.4690544282283	870.0328564238359	993.2480429224236	1023.0457100795196	986.0202953242651
