Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000055120	0.8114468394205876	0.994275945356732	0.11359831449259829	17	32622931	32631514	1	protein_coding	ctsba	cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]	1300	490	1381	366	461	471	1424	1198	306	578	407	962	1342	307	247	435	1544	236	1282	1651	336	481	1477	1468.3005543202116	393.1547420391467	1366.369560560751	498.5036514200724	420.47277738972645	451.86730932395625	1428.6719324459912	1303.9377762775525	400.94887660496056	416.9990123327712	388.84772259598	1221.8810155588521	1443.0022842277676	367.0157618064589	366.2731877702189	420.1641127876395	1144.7701981682762	284.39685192885867	1263.6528342297156	1128.259799594386	360.52849531335244	338.7097062776807	1144.322480304377	0.9716585582876062
ENSDARG00000101621	0.5671948964829163	0.9811308190703973	-0.47773990144594863	KN150636.1	2551	13087	1	protein_coding	CABZ01040054.1	CD59B glycoprotein-like [Source:NCBI gene;Acc:100535643]	72	90	4	59	114	136	7	31	101	120	2	21	3	89	129	80	82	55	2	119	125	73	53	81.32126147004249	72.21209547657797	3.9576236366712556	80.35987823438326	103.97808377967205	130.4754863440723	7.02296596005754	33.741294711689584	132.3393350885654	86.57418941164799	1.910799619636265	26.673078302220265	3.225787520628393	106.398706191449	191.2924745844463	77.27156097243945	60.79738099080224	66.278927356301807	1.971377276489416	81.32217816579767	134.12518426836027	51.40500739765216	41.06235034267568	0.9271937243388253
ENSDARG00000111240	0.07653647627163804	0.6631354963140029	-0.5150284491600475	10	36784756	36793412	-1	protein_coding	dhrs13a.2	dehydrogenase/reductase (SDR family) member 13a, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040912-69]	318	624	436	557	540	665	792	280	573	840	461	321	1049	767	708	772	797	732	378	707	292	722	1048	359.168904826021	500.6705286376073	431.3809763971669	758.6517318059572	492.52776527213075	637.9867530794712	794.5984343379389	304.76008126687367	750.796425799485	606.019325881536	440.4393123261591	407.71705404822404	1127.9503697130613	916.9416589757458	1049.8842791146355	745.6705633840407	590.9208859715778	882.1122695420532	372.5903052564996	483.1494114556214	313.31643045088964	508.4166485082858	811.9498709268701	0.8769706661007555
ENSDARG00000058225	0.34304798896675454	0.9373843281177913	1.3063486963146602	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	316	4	1	2	8	1	2	6	3	2	2	2	2	307	2	442	3	0	1	618	0	0	4	356.90998089629755	3.2094264656256875	0.9894059091678139	2.7240636689621445	7.296707633661196	0.9593785760593552	2.006561702873583	6.530573170004436	3.930871339264319	1.4429031568608	1.910799619636265	2.540293171640025	2.150525013752262	367.0157618064589	2.9657747997588575	426.92537437272796	2.2242944264927647	0	0.985688638244708	422.3286227433862	0	0	3.0990453088811836	0.8379523651940742
ENSDARG00000097973	0.7596089388894173	0.9929206404774564	-0.3018016693002724	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	179	252	0	411	448	374	0	359	175	593	196	173	0	208	288	194	618	305	201	305	379	594	312	202.17369171024453	202.19386733441831	0	559.7950839717207	408.615627485027	358.80758744619885	0	390.74596133859876	229.30082812375196	427.82078600922716	187.258362724354	219.73535934686217	0	248.66214480698193	427.07157116527543	187.38353535816566	458.20465185750953	367.5467789758555	198.1234162871863	208.4307927778848	406.6675587016684	418.28184101651215	241.72553409273232	0.8220892874846104
ENSDARG00000096508	0.9373482984577672	0.9982186499345914	-0.06546376521472691	20	12203762	12208117	1	lincRNA	BX322618.1	NA	327	2013	34	31	693	595	347	567	308	39	40	455	132	417	568	193	1771	644	221	1345	36	61	834	369.3340625097763	1615.1438688261273	33.63980091170567	42.22298686891324	632.0772987659011	570.8302527553163	348.1384554485666	617.1391645654193	403.56945749780346	28.1366115587856	38.215992392725305	577.9166965481057	141.93465090764929	498.5197806947666	842.2800431315155	186.4176408460102	1313.0751431062288	776.0659857719703	217.83718905208045	919.1456271680493	38.62805306928776	42.954869195298386	646.1509469017268	0.7862486696870938
ENSDARG00000026403	0.07153382341560512	0.6520237936361539	-1.4837574213141578	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	10	28	24	19	26	190	318	164	97	221	22	12	301	308	225	34	205	298	20	22	144	242	356	11.294619648617012	22.465985259379813	23.745741820027533	25.87860485514037	23.714299809398888	182.28192945127748	319.0433107568997	178.50233331345459	127.09817330287966	159.4407988331184	21.018795815998917	15.24175902984015	323.6540145697154	368.2112528872617	333.64966497287145	32.84041341328677	151.9934524770056	359.111279130508	19.71377276489416	15.034352265945786	154.51221227715104	170.41112041413456	275.8150324904253	0.7723579505243633
ENSDARG00000079463	0.5312181964731013	0.9802631028319401	-0.4146566768688673	7	19509888	19526721	-1	protein_coding	man2b2	mannosidase, alpha, class 2B, member 2 [Source:ZFIN;Acc:ZDB-GENE-140106-166]	19	167	33	22	166	23	32	33	133	201	30	23	19	17	94	38	157	99	145	323	17	161	153	21.459777332372322	133.99355493987247	32.650395002537856	29.96470035858359	151.40668339846982	22.06570724936517	32.10498724597733	35.918152435024396	174.26862937405147	145.0117672645104	28.661994294543977	29.21337147386029	20.429987630646487	20.323348373647562	139.3914155886663	36.703991461908736	116.40474165312136	119.30206924134326	142.92485254548265	220.73162645002225	18.241025060496998	113.37268754824656	118.53848306470526	0.7378343516836803
ENSDARG00000101890	0.5719091452291911	0.9816592726429549	-0.26834162013088103	2	51613453	51634431	-1	protein_coding	pigr	polymeric immunoglobulin receptor [Source:ZFIN;Acc:ZDB-GENE-060503-327]	136	131	15	81	138	109	25	101	79	169	34	73	24	151	86	119	174	84	27	163	95	191	156	153.60682722119137	105.10871674924127	14.841088637517208	110.32457859296684	125.86820668065563	104.57226479046972	25.082021285919787	109.93131502840801	103.51294526729374	121.9253167547376	32.48359353381651	92.72070076486092	25.806300165027142	180.51915320122245	127.52831638963086	114.94144694650369	129.00907673658037	101.22599814417003	26.613593232607116	111.39088269768924	101.93514004395382	134.498033054131	120.86276704636616	0.7259901517815448
ENSDARG00000117609	0.6705762522907092	0.9894859083235118	-0.12255515013660696	KN150127.1	27702	32057	-1	lincRNA	CABZ01079281.1	NA	223	273	237	216	141	185	132	148	303	347	119	168	430	262	169	236	166	185	258	481	148	132	430	251.87001816415938	219.04335627895318	234.4892004727719	294.1988762479116	128.60447204327858	177.4850365709807	132.43307238965647	161.08747152677608	397.0180052656962	250.34369771534878	113.69257736835777	213.38462641776212	462.3628779567363	313.218663170333	250.60797057962344	227.95110486869638	123.07762493259965	222.93821019846973	254.30766866713466	328.70561090545107	158.80421817373858	92.95152022589158	333.1473707047272	0.719236219993538
ENSDARG00000088885	0.8549604425104426	0.9950417310221783	-0.10692233955686418	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	333	398	29	774	698	582	36	480	219	768	309	202	33	247	434	319	720	319	253	390	531	716	343	376.1108342989465	319.3379333297559	28.692771365866605	1054.21263988835	636.6377410369394	558.3583312665447	36.11811065172449	522.4458536003549	286.9536077662953	554.0748122345472	295.21854123380297	256.56961033564255	35.48366272691232	295.286296958291	643.573131547672	308.1203493776023	533.8306623582636	384.41777866655053	249.3792254759111	266.5180628963117	569.7637827719944	504.1915794071089	265.7431352365615	0.6764332681735943
ENSDARG00000115161	0.7359402825759049	0.9924819567101905	-0.2419087261590596	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	4	703	482	345	530	378	448	355	824	457	208	128	488	472	432	3	303	253	460	563	507	660	443	4.517847859446805	564.0567013337146	476.8936482188863	469.9009828959699	483.40688073005424	362.64510175043625	449.4698214436826	386.3922458919291	1079.6793278512664	329.7033713426928	198.72316044217158	162.5787629849616	524.7281033555519	564.2717901389206	640.6073567479132	2.8976835364664795	224.65373707576924	304.88306583898833	453.4167735925657	384.74274207852176	544.0117473924693	464.7576011294579	343.21926795859105	0.6431714981317396
ENSDARG00000104773	0.6372931311160691	0.9894859083235118	-0.8607607249492432	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	310	332	0	282	2	271	292	0	237	1	331	0	0	0	0	274	333	222	517	519	0	385	684	350.13320910712736	266.3823966469321	0	384.09297732366235	1.824176908415299	259.99159411208524	292.95800861954314	0	310.5388358018812	0.7214515784304	316.23733704980185	0	0	0	0	264.6550963306051	246.8966813406969	267.5258522381637	509.60102597251404	354.67403754663013	0	271.10860065885043	529.9367478186824	0.6342776483327559
ENSDARG00000098761	0.22157991335314117	0.8758285866166944	0.4036511787862339	22	24246213	24248420	-1	protein_coding	rgs2	regulator of G protein signaling 2 [Source:ZFIN;Acc:ZDB-GENE-040718-410]	132	200	120	205	138	141	150	136	184	238	123	93	122	173	154	115	159	48	93	94	59	62	162	149.08897936174455	160.47132328128438	118.72870910013766	279.21652606861977	125.86820668065563	135.27237922436908	150.49212771551873	148.02632518676722	241.0934421415449	171.7054756664352	117.5141766076303	118.12363248126117	131.18202583888797	206.819956978884	228.36465958143202	111.07786889788171	117.88760460411653	57.84342751095431	91.66904335675784	64.23768695449563	63.307086974666056	43.659047378827864	125.51133500968793	0.6279123001357412
ENSDARG00000069878	0.09207009546799343	0.7072099924229202	-1.073255297315247	3	58158595	58165254	-1	protein_coding	snu13a	SNU13 homolog, small nuclear ribonucleoprotein a (U4/U6.U5) [Source:ZFIN;Acc:ZDB-GENE-040426-879]	254	50	170	26	36	202	194	35	253	46	324	13	41	156	102	177	240	182	354	48	186	381	234	286.8833390748721	40.117830820321096	168.19900455852837	35.412827696507875	32.835184351475384	193.79447236398974	194.63648517873756	38.09501015835921	331.50348294462424	33.186772607798396	309.54953838107497	16.51190561566016	44.08576278192137	186.49660860523645	151.2545147877017	170.9633286515223	177.94355411942118	219.32299597903508	348.93377793862663	32.802223125699896	199.5782741913201	268.2918879247325	181.29415056954923	0.6185996488130291
