Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000105265	0.9253944322013107	0.9974717365562569	-0.1580870171259938	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	311	279	248	0	323	282	246	234	0	0	825	222	0	328	0	899	342	197.6558438507977	223.8574959773917	0	0	306.46172061377024	357.84820887013944	312.02034479684215	303.67165240520626	324.95203071251706	0	308.5941385712568	358.18133720124354	264.5145766915282	279.74491290785465	0	0	611.6809672855103	267.5258522381637	0	224.14852469228265	0	633.0561869930041	264.9683739093412	2.0829789604204554
ENSDARG00000068006	0.5813302528292245	0.9829220837488101	-0.5766892162410271	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	302	342	293	14	74	298	210	32	55	55	30	24	24	789	13	13	23	65	44	75	779	19	13	341.0975133882338	274.4059628109963	289.8959313861695	19.06844568273501	67.49454561136606	285.8948156656878	210.68897880172622	34.82972357335699	72.06597455317919	39.679836813672	28.661994294543977	30.4835180596803	25.806300165027142	943.2424627534074	19.27753619843257	12.556628658021411	17.05292393644453	78.32964142108396	43.37030008276715	51.25347363390609	835.8681483604213	13.379385487060153	10.071897253863845	1.6118847539741217
ENSDARG00000096655	0.49581634759709997	0.9764785936444651	-0.35889887924803043	20	14657141	14661432	1	antisense	BX901920.1	NA	93	737	463	332	887	295	104	141	69	466	367	110	141	131	721	413	130	376	404	815	409	605	577	105.0399627321382	591.3368262915329	458.09493594469785	452.19456904771596	809.0224588821851	283.01667993750976	104.34120854942631	153.46846949510424	90.41004080307934	336.1964355485664	350.6317302032546	139.71612444020138	151.61201346953447	156.6093315851665	1069.161815313068	398.91443352021867	96.38609181468648	453.10684883580876	398.218209850862	556.9544134884462	438.85760292607483	426.02780103533644	447.03728580611073	0.9390628055005025
ENSDARG00000096508	0.9373482984577672	0.9982186499345914	-0.06546376521472691	20	12203762	12208117	1	lincRNA	BX322618.1	NA	327	2013	34	31	693	595	347	567	308	39	40	455	132	417	568	193	1771	644	221	1345	36	61	834	369.3340625097763	1615.1438688261273	33.63980091170567	42.22298686891324	632.0772987659011	570.8302527553163	348.1384554485666	617.1391645654193	403.56945749780346	28.1366115587856	38.215992392725305	577.9166965481057	141.93465090764929	498.5197806947666	842.2800431315155	186.4176408460102	1313.0751431062288	776.0659857719703	217.83718905208045	919.1456271680493	38.62805306928776	42.954869195298386	646.1509469017268	0.9241387232967943
ENSDARG00000035438	0.8993955755165378	0.9970049507252104	0.0791682747818386	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	681	1027	710	1188	1026	1127	794	1117	607	1504	1261	908	19	574	756	32	615	573	35	1374	1023	1761	1910	769.1635980708185	824.0202450493953	702.4781955091479	1618.0938193635138	935.8027540170484	1081.2196552188932	796.6049960408125	1215.7750384824926	795.3463009778139	1085.0631739593216	1204.759160180665	1153.2930999245714	20.429987630646487	686.2118803808058	1121.062874308848	30.90862438897578	455.9803574310168	690.505915912017	34.49910233856478	938.9636369731596	1097.6805080522606	1240.0577811954172	1479.794134990765	0.9099862420957563
ENSDARG00000100131	0.8393343051203956	0.9944021696682189	-0.11138052598554037	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	230	434	241	45	285	122	561	124	76	818	291	173	407	300	484	446	124	93	300	72	332	351	363	259.7762519181913	348.2227715203871	238.44682410944316	61.29143255164825	259.9452094491801	117.04418627924133	562.84055765604	134.96517884675833	99.58207392802942	590.1473911560672	278.02134465707655	219.73535934686217	437.6318402985853	358.6473242408393	717.7175015416435	430.78895242134996	91.93750296170094	112.07164080247398	295.7065914734124	49.20333468854985	356.2364894167649	247.16654241884808	281.2383617809674	0.8522155351956516
ENSDARG00000105422	0.751024964016152	0.9929206404774564	0.20084741449821977	5	15841523	15851953	-1	protein_coding	si:dkey-1k23.3	si:dkey-1k23.3 [Source:ZFIN;Acc:ZDB-GENE-160113-121]	57	50	90	214	69	148	387	179	112	241	389	14	157	24	212	299	264	43	246	225	64	95	67	64.37933199711696	40.117830820321096	89.04653182510326	291.47481257894947	62.934103340327816	141.98802925678456	388.26968950603833	194.82876623846568	146.75252999920124	173.8698304017264	371.65052601925356	17.782052201480177	168.81621357955257	28.691785939267145	314.37212877443886	288.80245913449244	195.7379095313633	51.818070478563236	242.47940500819817	153.76042090171828	68.67209434540047	66.89692743530077	51.90900892375982	0.8519338696360284
ENSDARG00000113274	0.7913143471149723	0.993429849514634	0.10987594921249384	13	835390	840787	1	protein_coding	AL929536.3	NA	95	139	184	166	96	114	101	99	88	267	105	87	87	93	120	276	27	106	191	234	168	36	159	107.29888666186162	111.52756968049265	182.05068728687775	226.09728452385798	87.56049160393435	109.36915767076648	101.33136599511595	107.7544573050732	115.3055592850867	192.6275714409168	100.31698003090392	110.50275296634109	93.5478380982234	111.18067051466018	177.94648798553143	266.5868853549161	20.018649838434882	127.73756908669077	188.26652990473923	159.910837737787	180.26424765667622	25.350414607061342	123.18705102802704	0.7725355529207522
ENSDARG00000058225	0.34304798896675454	0.9373843281177913	1.3063486963146602	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	316	4	1	2	8	1	2	6	3	2	2	2	2	307	2	442	3	0	1	618	0	0	4	356.90998089629755	3.2094264656256875	0.9894059091678139	2.7240636689621445	7.296707633661196	0.9593785760593552	2.006561702873583	6.530573170004436	3.930871339264319	1.4429031568608	1.910799619636265	2.540293171640025	2.150525013752262	367.0157618064589	2.9657747997588575	426.92537437272796	2.2242944264927647	0	0.985688638244708	422.3286227433862	0	0	3.0990453088811836	0.7591622491189806
ENSDARG00000020711	0.3142434419934682	0.9294666378737898	-1.2300752544116382	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	255	14	10	7	5	11	303	351	480	7	5	9	681	584	2	15	540	361	395	491	11	14	4	288.0128010397338	11.232992629689907	9.89405909167814	9.534222841367505	4.560442271038248	10.553164336652907	303.9940979853478	382.03853044525954	628.9394142822911	5.0501610490128	4.776999049090663	11.431319272380113	732.2537671826452	698.1667911888338	2.9657747997588575	14.488417682332397	400.37299676869765	435.03077773863555	389.34701210665963	335.53940738997187	11.803016215615704	9.858494569412743	3.0990453088811836	0.7493968701697084
