Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000045835	0.7135273244782518	0.9587932101322049	-0.46159264837288233	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	660	142	2	2321	1887	932	774.5867069429104	757.4029367624807	675.1658643909694	931.8002373012748	0	1046.3040390657898	835.9858867605142	147.36562322290808	1.4378901000985382	2620.906135386325	1397.7278858746754	759.9472752708849	0.781071371773281
ENSDARG00000043722	0.8249171421520441	0.9771322949989081	0.11902758501112823	25	16582172	16589461	-1	protein_coding	cpa4	carboxypeptidase A4 [Source:ZFIN;Acc:ZDB-GENE-040704-61]	804	556	472	333	1186	1924	1083	485	1552	1305	330	401	953.7024691915773	469.4716085172122	491.0297195570687	476.63514442599774	1137.2936861034702	1939.3920724109628	1371.7768414570255	503.3262483317635	1115.8027176764656	1473.6245181728368	244.4357193103566	326.97302294380347	0.7698967772934672
ENSDARG00000029822	0.5529531560679117	0.913798793022712	0.33070359060815024	21	11385031	11393979	1	protein_coding	cel.2	carboxyl ester lipase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-061110-10]	1261	1135	512	640	1849	2092	867	698	1359	2475	381	386	1495.794544341516	958.3638051565392	532.6424076551253	916.0555328307463	1773.0657888746346	2108.7360787337498	1098.1814603354028	724.3746831661256	977.0463230169566	2794.8051206726213	282.2121486583208	314.74211186111756	0.7289293510906306
ENSDARG00000092788	0.6141971341340902	0.9316690113299954	0.35880612985018173	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	361	502	170	228	38	133	248	73	16	216	327	371	428.21715345542214	423.87544510007285	176.85392441674085	326.3447835709534	36.43942670483294	134.06400500553954	314.12803017667807	75.75838376952316	11.503120800788306	243.91026507688332	242.21357640753516	302.51120077843166	0.7262179544986571
ENSDARG00000043171	0.4928714561482865	0.8952893714740264	0.5325648128730103	22	7486867	7492548	1	protein_coding	cela1.4	chymotrypsin like elastase family member 1, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-050626-127]	100	121	29	70	297	381	80	44	115	377	30	35	118.61971009845487	102.1691809902566	30.169198871091087	100.19357390336289	284.8028876667206	384.04801433917714	101.33162263763808	45.66258747752081	82.67868075566595	425.71374969437505	22.221429028214235	28.538792526267137	0.6847554318106105
ENSDARG00000056498	0.5341145664977922	0.9072656055787274	0.3633277053525097	24	38109799	38113208	-1	protein_coding	crp2	C-reactive protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5826]	192	1351	626	365	131	499	590	235	211	160	408	1030	227.74984338903337	1140.7484588250966	651.2385687345869	522.4379210675351	125.62012890350303	502.99201878018215	747.3207169525808	243.87972857312252	151.69740556039577	180.67427042732098	302.2114347837136	839.8558943444328	0.6533763266866228
ENSDARG00000103973	0.9577595775388129	0.9955853094035115	-0.11223540684947439	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	215	0	1	136	1	333	4.744788403938196	636.6575410467229	1.0403172024514167	0	3.8357291268245204	0	272.32873583865234	0	0.7189450500492691	153.57312986322285	0.7407143009404745	271.5262260356273	0.650626559318938
ENSDARG00000104436	0.6218088841852044	0.9334652112647295	0.29084073802626476	3	49559261	49566364	-1	protein_coding	zgc:153426	zgc:153426 [Source:ZFIN;Acc:ZDB-GENE-060929-220]	310	2535	1862	2208	3571	2039	1520	440	5238	1693	641	2651	367.72110130521014	2140.4865604157067	1937.070630964538	3160.391588266075	3424.3471779725905	2055.312076739061	1925.3008301151235	456.6258747752081	3765.8341721580714	1911.75962395909	474.7978669028442	2161.6096853466906	0.6502658103228783
ENSDARG00000017490	0.4543198477646191	0.8803018115041641	0.4021716692249681	21	11401247	11411365	1	protein_coding	cel.1	carboxyl ester lipase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1201]	1207	1024	548	720	1792	1999	629	704	1037	2497	518	367	1431.7399008883503	864.6383581324195	570.0938269433764	1030.5624744345896	1718.406648817385	2014.9920752336357	796.7198829884294	730.6013996403329	745.546016901092	2819.647832856378	383.6900078871658	299.2496244897154	0.6421070410065405
ENSDARG00000018263	0.7230682020317445	0.9604391858679329	0.17110097240040203	1	9954489	9966195	1	protein_coding	pdia2	protein disulfide isomerase family A, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-705]	929	1342	534	744	1819	2034	1213	831	1659	2144	445	557	1101.9771068146458	1133.1490982555733	555.5293861090565	1064.9145569157427	1744.2978204234505	2050.272076550883	1536.4407282431873	862.4002316777226	1192.7298380317375	2421.0352237261013	329.61786391851115	454.174498203737	0.6376617091976381
