Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000096508	0.7507136669251528	0.9674661380171987	0.30511071703877457	20	12203762	12208117	1	lincRNA	BX322618.1	NA	327	2013	34	31	693	595	644	221	1345	36	61	834	387.88645202194743	1699.7236473833598	35.37078488334817	44.37143987148928	664.5400712223482	599.7600223932031	815.7195622329865	229.3507234666386	966.9810923162669	40.65171084614722	45.183572357368945	680.0386561973369	1.480271261372499
ENSDARG00000103973	0.9577595775388129	0.9955853094035115	-0.11223540684947439	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	215	0	1	136	1	333	4.744788403938196	636.6575410467229	1.0403172024514167	0	3.8357291268245204	0	272.32873583865234	0	0.7189450500492691	153.57312986322285	0.7407143009404745	271.5262260356273	1.0674621030324742
ENSDARG00000103634	0.9644060974184444	0.9960563262339788	-0.1288109653255848	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	723	0	0	0	0	203	0	0	178	0	257	0	610.4819657516986	0	0	0	0	257.1289924430066	0	0	201.0001258503946	0	209.55627655001868	0.9676173582624067
ENSDARG00000040738	0.41473660312126825	0.8677523525016592	-0.5349277046963932	9	22017368	22018304	1	protein_coding	zgc:153846	zgc:153846 [Source:ZFIN;Acc:ZDB-GENE-060929-898]	78	37	194	177	166	203	51	424	32	234	480	267	92.5233738767948	31.241815674706565	201.82153727557485	253.3466082985033	159.18275876321758	204.62400764003402	64.59890943149428	440.0212975106551	23.006241601576612	264.23612049995694	355.54286445142776	217.71021727180928	0.863033077733969
ENSDARG00000056909	0.4812542186003737	0.8907831093923128	0.3905810101591275	24	33552198	33578392	-1	protein_coding	LO018309.1	epidermal growth factor receptor-like [Source:NCBI gene;Acc:571431]	224	112	447	350	507	533	55	343	358	522	576	114	265.7081506205389	94.5698204207334	465.0217894957833	500.9678695168144	486.17866682500795	537.2640200597938	69.66549056337618	355.9606251088554	257.38232791763835	589.4498072691347	426.65143734171335	92.95492422841296	0.8135876217890063
ENSDARG00000104436	0.6218088841852044	0.9334652112647295	0.29084073802626476	3	49559261	49566364	-1	protein_coding	zgc:153426	zgc:153426 [Source:ZFIN;Acc:ZDB-GENE-060929-220]	310	2535	1862	2208	3571	2039	1520	440	5238	1693	641	2651	367.72110130521014	2140.4865604157067	1937.070630964538	3160.391588266075	3424.3471779725905	2055.312076739061	1925.3008301151235	456.6258747752081	3765.8341721580714	1911.75962395909	474.7978669028442	2161.6096853466906	0.779149589787103
ENSDARG00000052207	0.4100167150625919	0.8659003071743506	0.5338205475408646	1	56274613	56320569	1	protein_coding	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]	3290	288	2342	2353	295	1982	1107	2767	1284	1131	1674	900	3902.5884622391654	243.179538224743	2436.422888141218	3367.935419923041	282.88502310330836	1997.8560745938298	1402.1763282483168	2871.5540806886384	923.1254442632616	1277.141249083125	1239.9557397743542	733.854664961155	0.7702790054696653
ENSDARG00000045835	0.7135273244782518	0.9587932101322049	-0.46159264837288233	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	660	142	2	2321	1887	932	774.5867069429104	757.4029367624807	675.1658643909694	931.8002373012748	0	1046.3040390657898	835.9858867605142	147.36562322290808	1.4378901000985382	2620.906135386325	1397.7278858746754	759.9472752708849	0.7595147783046852
ENSDARG00000090901	0.28936923560862265	0.7930497902023241	0.7498465494123545	3	58197025	58205045	-1	protein_coding	si:ch211-256e16.11	si:ch211-256e16.11 [Source:ZFIN;Acc:ZDB-GENE-131127-41]	17	380	166	235	289	124	114	18	381	120	34	180	20.16535071673733	320.86189071320257	172.69265560693518	336.36414096128965	277.1314294130716	124.99200466681881	144.39756225863428	18.68014942262215	273.9180640687715	135.50570282049074	25.184286231976134	146.770932992231	0.6830389659019829
ENSDARG00000117625	0.6464899782535269	0.9404936817456687	0.6601221160662835	3	58210305	58212028	-1	lincRNA	CABZ01038493.1	NA	0	227	89	136	209	98	83	0	298	81	0	100	0	191.67276103130786	92.58823101817609	194.6618007265336	200.4168468765812	98.78400368829229	105.13155848654951	0	214.2456249146822	91.46634940383125	0	81.5394072179061	0.6594556282358411
