Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	% variance explained
ENSDARG00000045835	0.8980217618839438	0.9997282156280697	-0.13807335049538003	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	1146	756	82	2128	755	34	715.1447015543926	697.44464668243	624.2487440916465	859.4637978454969	0	967.4348195124949	1116.1792500983763	798.6584640693756	104.43761693662736	1488.3272369635224	701.6451581904606	41.93445182606549	1.117977878805205
ENSDARG00000041433	0.13089677628886223	0.8967181456110562	0.7819841738699869	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	397	1738	678	1409	1202	522	1144	399	170	783	199	743	434.7816945131605	1351.3475985886992	652.1427557690853	1860.1912306671354	1063.9294838570775	486.513464147902	1114.2312932919217	421.5141893699482	216.51701072227624	547.631685405281	184.9369357349691	916.3911090225488	0.8738932640463808
ENSDARG00000090901	0.8068099229451009	0.9997282156280697	0.18462528920882074	3	58197025	58205045	-1	protein_coding	si:ch211-256e16.11	si:ch211-256e16.11 [Source:ZFIN;Acc:ZDB-GENE-131127-41]	17	380	166	235	289	124	141	297	19	350	19	226	18.61785593633181	295.4615002668042	159.66917029154595	310.2519085924605	255.80334512037885	115.57024818839052	137.33095485503583	313.758682312969	24.19896002190146	244.79066397426357	17.657295371680465	278.74076802031766	0.778487910822915
ENSDARG00000104436	0.9655047181559765	0.9997282156280697	0.02312027606063646	3	49559261	49566364	-1	protein_coding	zgc:153426	zgc:153426 [Source:ZFIN;Acc:ZDB-GENE-060929-220]	310	2535	1862	2208	3571	2039	1594	2964	337	2508	1821	2697	339.50207883899185	1971.039218885128	1790.9879221858948	2915.047719881501	3160.808807698522	1900.3849681945828	1552.5215747441637	3131.2482638910437	429.2131330200417	1754.0999578498656	1692.3123616752698	3326.388722791136	0.7614767291565168
ENSDARG00000031776	0.7634256372171743	0.9997282156280697	-0.14600699320589783	3	32099507	32100999	1	protein_coding	fthl27	ferritin, heavy polypeptide-like 27 [Source:ZFIN;Acc:ZDB-GENE-040718-72]	1374	1835	478	474	1381	483	481	487	1741	1923	1393	370	1504.7608268541123	1426.7680341831203	459.7702614419215	625.7847007354309	1222.3682339489383	450.1647570563921	468.4836119522853	514.4797248700871	2217.388915691076	1344.9498480643108	1294.5585501447836	456.3455051660068	0.7450864960901279
ENSDARG00000074531	0.5943669102810768	0.9997282156280697	-0.19429238374928712	3	18303407	18373604	-1	protein_coding	spag9a	sperm associated antigen 9a [Source:ZFIN;Acc:ZDB-GENE-070820-7]	291	324	166	98	293	156	113	137	298	224	355	266	318.6938869101504	251.9198054906436	159.66917029154595	129.38164698749415	259.3438758486886	145.3948283660397	110.05955956467409	144.73043594907998	379.5415835014019	156.66602494352867	329.9126240498192	328.07541722745356	0.7230680032642814
ENSDARG00000104172	0.48627032020479255	0.9880007876373785	-0.2762175326035138	15	14854666	14858189	1	protein_coding	diabloa	diablo, IAP-binding mitochondrial protein a [Source:ZFIN;Acc:ZDB-GENE-040426-1303]	307	378	500	1023	706	604	726	1132	394	1087	923	319	336.2165748502274	293.9064397390842	480.9312358179095	1350.5859680429237	624.9036735466694	562.9389508531281	707.1083207429504	1195.8748430245148	501.8100130857461	760.2498621143557	857.77282252953	393.44382742690857	0.719824975697754
ENSDARG00000105265	0.7084209228496561	0.9997282156280697	-0.5672474034025479	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	311	279	248	0	323	282	191.65439934459218	216.9309436169431	0	0	297.4045811780183	347.6427626957231	302.9072834036606	294.7430045970315	315.86010975955594	0	300.1740213185679	347.80927691030786	0.7070049555264536
ENSDARG00000117625	0.9589748938551267	0.9997282156280697	0.07423322002966101	3	58210305	58212028	-1	lincRNA	CABZ01038493.1	NA	0	227	89	136	209	98	98	207	0	242	0	161	0	176.4993698962225	85.60575997558789	179.55004071733882	184.99273055418402	91.33777679405057	95.44988351626603	218.68029373328142	0	169.25525909077652	0	198.57196305872188	0.7049578974223494
ENSDARG00000045442	0.8968566834531649	0.9997282156280697	-0.06169817088299135	24	4755391	4765740	-1	protein_coding	cpb1	carboxypeptidase B1 (tissue) [Source:ZFIN;Acc:ZDB-GENE-030131-1132]	2704	3970	2068	2904	5264	6137	8414	3662	5135	2473	2065	787	2961.334261873013	3086.795147524244	1989.1315913428737	3833.921457670235	4659.33843845562	5719.79526719478	8195.054284753698	3868.6339886535097	6540.087353287579	1729.6208914524393	1919.069207501061	970.6592231503982	0.6524307463770451
