Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	% variance explained
ENSDARG00000020711	0.12142420809315951	0.8904565875632965	-2.0041123428663363	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	255	14	10	7	5	11	303	351	480	7	5	9	279.26783904497717	10.885423694040155	9.61862471635819	9.24154621339244	4.425663410387177	10.2521994360669	295.11545617784293	370.8057154607815	611.3421479217211	4.895813279485271	4.646656676758017	11.100296071605571	1.403005722851982
ENSDARG00000052207	0.6860808821219345	0.9997282156280697	-0.25368726042599493	1	56274613	56320569	1	protein_coding	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]	3290	288	2342	2353	295	1982	2814	2845	2320	3039	1570	956	3603.102707678333	223.9287159916832	2252.681908571088	3106.4797485874874	261.11414121284344	1847.2599347531452	2740.775226681353	3005.5335056579015	2954.8203816216524	2125.4823651936767	1459.0501965020173	1179.0981160505473	1.3270525892553693
ENSDARG00000096655	0.015697652591470372	0.6628405786603598	1.1973708140586512	20	14657141	14661432	1	antisense	BX901920.1	NA	93	737	463	332	887	295	104	141	69	466	367	110	101.85062365169756	573.0398044648282	445.3423243673842	438.31333469232715	785.1126890026852	274.9453485127033	101.29375393562925	148.9561421081772	87.88043376374742	325.9212840343052	341.0646000740385	135.67028531962364	0.9427981711283746
ENSDARG00000094104	0.14064831748833426	0.9024291776531405	1.4269973481024942	20	45989179	45996430	1	lincRNA	AL929237.1	si:ch211-213i16.3 [Source:NCBI gene;Acc:100536429]	8	342	63	196	235	112	128	7	5	112	2	96	8.7613439700385	265.91535024012376	60.597335713056594	258.7632939749883	208.00618028819733	104.38603062177208	124.66923561308217	7.3949857784201445	6.368147374184595	78.33301247176433	1.858662670703207	118.40315809712608	0.9242226447333061
ENSDARG00000103277	0.06743606062322904	0.8225280319112659	-1.1495296950345866	6	55852274	55864687	-1	protein_coding	cyp24a1	cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-060825-1]	38	44	45	126	118	37	60	416	49	281	139	43	41.61638385768287	34.211331609840485	43.283811223611856	166.3478318410639	104.44565648513738	34.48467083040685	58.43870419363226	439.4734405461114	62.40784426700903	196.53193307648016	129.17705561387288	53.03474789767106	0.8843337407710303
ENSDARG00000068006	0.02216816406484612	0.6818824075740999	1.6172142380455081	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	302	342	293	14	74	298	210	32	55	55	30	24	330.7407348689533	265.91535024012376	281.825704189295	18.48309242678488	65.49981847373023	277.74140290435787	204.53546467771292	33.8056492727778	70.04962111603055	38.467104338812845	27.879940060548105	29.60078952428152	0.8378780529726391
ENSDARG00000041433	0.13089677628886223	0.8967181456110562	0.7819841738699869	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	397	1738	678	1409	1202	522	1144	399	170	783	199	743	434.7816945131605	1351.3475985886992	652.1427557690853	1860.1912306671354	1063.9294838570775	486.513464147902	1114.2312932919217	421.5141893699482	216.51701072227624	547.631685405281	184.9369357349691	916.3911090225488	0.7738380506613964
ENSDARG00000078069	0.3299976251867886	0.9622894700550328	0.6396139299048764	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	205	868	819	490	766	741	252	367	7	858	529	521	224.50943923223656	674.8962690304896	787.7653642697358	646.9082349374708	678.0116344713156	690.6254347386886	245.4425576132555	387.70854009717044	8.915406323858432	600.0868276854803	491.61627640099823	642.5838059229447	0.7271034309901208
ENSDARG00000104540	0.008498679997963778	0.5820470006076642	1.2073793656144944	23	42336142	42409339	1	protein_coding	cyp2aa8	cytochrome P450, family 2, subfamily AA, polypeptide 8 [Source:ZFIN;Acc:ZDB-GENE-041010-183]	403	320	749	551	223	534	170	39	189	333	330	194	441.3527024906894	248.80968443520354	720.4349912552284	727.4417090827477	197.3845881032681	497.69768171452046	165.57632854862473	41.20063505119795	240.7159707441777	232.90083172408504	306.67934066602913	239.27304865460897	0.7154168272432633
ENSDARG00000032010	0.016277409459740516	0.6628405786603598	-0.936618794277954	9	37320222	37339656	1	protein_coding	slc15a2	solute carrier family 15 member 2 [Source:NCBI gene;Acc:556684]	186	49	187	160	304	251	249	287	392	597	500	199	203.70124730339512	38.09898292914054	179.86828219589813	211.23534202039863	269.0803353515404	233.93655076843564	242.5206224035739	303.19441691522593	499.26275413607226	417.5429325503867	464.66566767580173	245.43987980550094	0.7093086105359967
