Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	% variance explained
ENSDARG00000020711	0.06255425677710388	0.6592278745002866	-2.474215468287974	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	255	14	10	7	5	11	681	584	2	7	15	540	281.3767357542069	10.980147818616498	9.671933313025477	9.33161828733898	4.451662505156165	10.312080756353119	715.2859932191998	682.2584168271841	2.8965308873286015	5.68181428829027	14.178927246416608	390.74707809285667	1.051677923040653
ENSDARG00000104773	0.7302748348292392	0.9801310474101005	0.6751332396329979	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	310	332	0	282	2	271	0	0	0	336	274	333	342.0658356227613	260.3863625557627	0	375.9309081470846	1.7806650020624657	254.05217136106322	0	0	0	272.727085837933	259.00173770121006	240.9606981572616	0.879223993931188
ENSDARG00000078069	0.5724866173771241	0.9665053541237315	0.4576988634189626	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	205	868	819	490	766	741	12	19	416	1122	809	556	226.2048267827938	680.769164754223	792.1313383367866	653.2132801137285	681.9946957899243	694.6592582234238	12.604158470822904	22.196763561158384	602.4784245643491	910.7136616373832	764.7168094900691	402.32476929560795	0.8154420028883228
ENSDARG00000058225	0.24921859132211413	0.8892405379758439	-1.8426019571619248	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	316	4	1	2	8	1	2	307	2	640	442	3	348.6864646993309	3.1371850910332855	0.9671933313025477	2.6661766535254228	7.122660008249863	0.9374618869411926	2.100693078470484	358.6529691197697	2.8965308873286015	519.4801635008247	417.80572286107605	2.1708171005158703	0.7877304447651395
ENSDARG00000035438	0.28306776916007736	0.9022273118739327	0.8350192700727912	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	681	1027	710	1188	1026	1127	19	574	756	1219	32	615	751.4414001906466	805.472272122796	686.7072652248089	1583.7089321941012	913.4811460580449	1056.5195465827242	19.9565842454696	670.5759096897323	1094.8886754102114	989.447373917977	30.248378125688763	445.0175056057534	0.6639068751116316
ENSDARG00000007708	0.7216661549883889	0.9783952721970091	-0.14897791242393574	21	3789839	3796461	-1	protein_coding	nsa2	NSA2 ribosome biogenesis homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-488]	3392	5078	3826	675	4202	3689	3519	3184	4513	1381	3265	4828	3742.862304620666	3982.6564730667556	3700.4816855635477	899.8346205648302	3741.1771693332403	3458.2969009260596	3696.169471568817	3719.7102725646473	6536.02194725699	1120.9407903041233	3086.2798306366817	3493.568320430207	0.6240749866902956
ENSDARG00000087178	0.855344204301497	0.9891714246371273	0.12808767368447674	1	43969797	43973068	-1	protein_coding	scpp9	secretory calcium-binding phosphoprotein 9 [Source:ZFIN;Acc:ZDB-GENE-090424-3]	47	479	89	189	299	184	226	164	212	8	91	379	51.86159443312833	375.67791465123594	86.08020648592675	251.95369375815244	266.2094178083386	172.49298719717945	237.3783178671647	191.59311705420922	307.03227405683174	6.493502043760309	86.01882529492742	274.2465603651716	0.5701437067983705
ENSDARG00000035602	0.5773991193623157	0.9682451113536433	0.45867384602186007	5	20188438	20195350	-1	protein_coding	dao.1	D-amino-acid oxidase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050913-127]	104	205	121	272	369	158	6	84	218	425	8	171	114.75757066053929	160.78073591545586	117.03039308760827	362.60002487945746	328.5326928805249	148.11897813670845	6.302079235411452	98.13305995459497	315.7218667188176	344.9672960747664	7.562094531422191	123.73657472940461	0.5492352140211093
ENSDARG00000056080	0.43473384484309957	0.9429532416381639	-0.3845418126271142	13	21712284	21739142	-1	protein_coding	si:dkey-191g9.5	si:dkey-191g9.5 [Source:ZFIN;Acc:ZDB-GENE-090313-217]	212	252	793	159	469	227	649	655	155	163	474	571	233.9288940387916	197.64266073509697	766.9843117229203	211.9610439552711	417.5659429836482	212.80384833565074	681.674903963672	765.2042175030917	224.48114376796661	132.30510414161628	448.0541009867648	413.17885479818733	0.5407607803247352
ENSDARG00000030915	0.5963980183696845	0.9692516360940507	-0.26255849323689756	25	18448186	18454016	-1	protein_coding	cpa1	carboxypeptidase A1 (pancreatic) [Source:ZFIN;Acc:ZDB-GENE-050522-438]	153	261	107	97	453	390	345	251	383	99	131	329	168.82604145252412	204.70132718992187	103.4896864493726	129.309567695983	403.3206229671485	365.6101359070651	362.3695560361585	293.23092915003974	554.6856649234272	80.35708779153381	123.82929795203837	238.06627535657378	0.527220324095128
ENSDARG00000003523	0.284951621833738	0.9023370662064392	0.6911519624967118	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	269	407	176	233	32	273	11	60	117	264	210	264	296.82487026620254	319.2085830126368	170.2260263092484	310.6095801357117	28.49064003299945	255.9270951349456	11.553811931587662	70.09504282471069	169.4470569087232	214.2855674440902	198.5049814498325	191.03190484539658	0.5259999038209754
ENSDARG00000039099	0.30152784574332087	0.9090888861513252	0.438641806682521	7	8373025	8374950	-1	protein_coding	aep1	aerolysin-like protein [Source:NCBI gene;Acc:503710]	697	1013	2491	1630	1065	1274	573	621	389	2295	1717	1018	769.0964110614989	794.4921243041795	2409.278588274646	2172.9339726232197	948.204113598263	1194.3264439630793	601.8485669817936	725.4836932357556	563.375257585413	1862.8233988037384	1623.0145388064877	736.630602775052	0.5258546609746623
ENSDARG00000079361	0.2586511594091875	0.8907093202969318	-0.5627545830799501	1	8673061	8691969	-1	protein_coding	abcg2b	ATP-binding cassette, sub-family G (WHITE), member 2b [Source:ZFIN;Acc:ZDB-GENE-050517-36]	113	306	261	89	156	151	557	270	52	84	290	254	124.68851427539364	239.99465946404632	252.43745946996495	118.6448610818813	138.89187016087232	141.55674492812008	585.0430223540299	315.4276927111981	75.30980307054364	68.18177145948324	274.12592676405444	183.79584784367702	0.523930795338712
