Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	% variance explained
ENSDARG00000045835	0.8343724695578032	0.9870340921111218	0.21291427904695112	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	806	631	711	77	581	185	720.5451311666553	703.5137566642143	627.7084720153534	867.8405007225251	0	973.085438644958	846.579310623605	737.1662003732074	1029.7167304453178	62.49995717119297	549.1971153445367	133.867054531812	1.7870607742819338
ENSDARG00000104773	0.7302748348292392	0.9801310474101005	0.6751332396329979	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	310	332	0	282	2	271	0	0	0	336	274	333	342.0658356227613	260.3863625557627	0	375.9309081470846	1.7806650020624657	254.05217136106322	0	0	0	272.727085837933	259.00173770121006	240.9606981572616	1.1840396322305002
ENSDARG00000103285	0.20782079498161254	0.8705544310269426	1.8474299782944752	KN149948.1	69090	81179	-1	protein_coding	CCDC134	si:dkey-167k11.5 [Source:ZFIN;Acc:ZDB-GENE-091204-218]	87	191	6	1	1	144	2	0	1	121	4	3	95.99912161025883	149.80058809683936	5.803159987815286	1.3330883267627114	0.8903325010312328	134.99451171953174	2.100693078470484	0	1.4482654436643008	98.21421841187467	3.7810472657110954	2.1708171005158703	1.1418667181646796
ENSDARG00000056498	0.0029374322001044662	0.14978523248314185	1.526151381055611	24	38109799	38113208	-1	protein_coding	crp2	C-reactive protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5826]	192	1351	626	365	131	499	73	226	82	237	287	139	211.86013045022636	1059.584264496492	605.4630253953949	486.57723926838963	116.6335576350915	467.79348158365514	76.67529736417266	264.0246613064103	118.75776638047266	192.36999804639913	271.2901413147711	100.58119232390199	0.9055504167880722
ENSDARG00000026403	0.001920324332527135	0.11947274029144025	-2.264559622734488	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	10	28	24	19	26	190	301	308	225	220	34	205	11.034381794282623	21.960295637232996	23.212639951261146	25.328678208491514	23.148645026812055	178.1177585188266	316.15430830980785	359.8212198335149	325.85972482446766	178.57130620340848	32.138901758544314	148.33916853525113	0.9016630614356459
ENSDARG00000009153	0.2021459533856438	0.8698139190050201	-0.6206068960756771	8	39724138	39733667	1	protein_coding	pla2g1b	phospholipase A2, group IB (pancreas) [Source:ZFIN;Acc:ZDB-GENE-070117-1]	194	95	70	77	375	127	172	193	337	196	96	359	214.0670068090829	74.50814591204053	67.70353319117834	102.64780116072878	333.8746878867123	119.05765964153146	180.65960474846162	225.47238775281937	488.0654545148694	159.09080007212756	90.7451343770663	259.7744463617325	0.7322308639220723
ENSDARG00000092788	0.7283236002749983	0.9800184447140099	0.32733642239950406	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	361	502	170	228	38	133	290	272	98	26	365	1	398.3411827736027	393.7167289246773	164.4228663214331	303.9441385018982	33.83263503918685	124.68243096317862	304.60049637822016	317.7641941386885	141.93001347910146	21.103881642221	345.02056299613747	0.7236057001719568	0.715339630788672
ENSDARG00000092578	0.02809914343529856	0.49771847477865316	-2.9908985616946344	10	28428222	28431809	1	protein_coding	si:ch211-222e20.4	si:ch211-222e20.4 [Source:ZFIN;Acc:ZDB-GENE-091118-60]	2	1	0	2	0	73	151	145	77	107	3	84	2.2068763588565248	0.7842962727583214	0	2.6661766535254228	0	68.43471774670707	158.60232742452155	169.39635349305084	111.51643916215116	86.85058983529413	2.8357854492833217	60.782878814444366	0.7061942041669832
ENSDARG00000039682	0.5597551115421111	0.963350989884724	0.8499909447869123	20	7070634	7080470	-1	protein_coding	si:ch211-121a2.2	si:ch211-121a2.2 [Source:ZFIN;Acc:ZDB-GENE-070705-21]	0	1	18	22	173	32	0	0	26	53	23	36	0	0.7842962727583214	17.409479963445857	29.32794318877965	154.02752267840327	29.998780382118163	0	0	37.65490153527182	43.01945103991204	21.7410217778388	26.04980520619044	0.68326342709648
ENSDARG00000052207	0.6620091295749551	0.97257503475832	0.3220093268255384	1	56274613	56320569	1	protein_coding	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]	3290	288	2342	2353	295	1982	1943	2062	103	1626	2196	1530	3630.311610318983	225.87732655439655	2265.166781910567	3136.7568328726597	262.6480878042137	1858.0494599174438	2040.8233257340753	2408.9329717425576	149.17134069742298	1319.8042903942826	2075.7949488753916	1107.116721263094	0.6687297822825389
