GO.ID	Term	Annotated	Significant	Expected	pval	Gene	Sig?	Fold change	Name	Description
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000007219	0	6.719376632353278e-4	actn1	actinin, alpha 1 [Source:ZFIN;Acc:ZDB-GENE-081113-4]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000011023	0	0.043647070531945456	pdlim3a	PDZ and LIM domain 3a [Source:ZFIN;Acc:ZDB-GENE-050505-1]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000014248	0	0.4171307077886984	pdlim3b	PDZ and LIM domain 3b [Source:ZFIN;Acc:ZDB-GENE-060130-104]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000018105	0	0.2421673499866328	casq1b	calsequestrin 1b [Source:ZFIN;Acc:ZDB-GENE-060929-1070]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000026985	0	0.0584068297863241	lims1	LIM and senescent cell antigen-like domains 1 [Source:ZFIN;Acc:ZDB-GENE-050522-236]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000027600	0	0.058000556094092076	pdlim5b	PDZ and LIM domain 5b [Source:ZFIN;Acc:ZDB-GENE-040426-908]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000029907	0	0.7289412556823236	trim54	tripartite motif containing 54 [Source:ZFIN;Acc:ZDB-GENE-041014-342]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000034240	0	0.05493761669131265	capza1a	capping actin protein of muscle Z-line subunit alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-5237]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000037266	0	0.14575656382164667	myoz2b	myozenin 2b [Source:ZFIN;Acc:ZDB-GENE-040426-1853]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000040917	0	0.015045091841561723	cbfb	core-binding factor subunit beta [Source:ZFIN;Acc:ZDB-GENE-980526-440]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000045228	0	0.17065221313574222	stub1	STIP1 homology and U-Box containing protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2963]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000056209	0	0.1753120025389053	myoz1a	myozenin 1a [Source:ZFIN;Acc:ZDB-GENE-040426-1875]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000056964	0	0.10950611787003091	ilk	integrin-linked kinase [Source:ZFIN;Acc:ZDB-GENE-040426-1435]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000057317	0	0.15424877123050465	nexn	nexilin (F actin binding protein) [Source:ZFIN;Acc:ZDB-GENE-041114-92]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000067701	0	0.4232028591023211	myoz3a	myozenin 3a [Source:ZFIN;Acc:ZDB-GENE-111012-4]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000071331	0	0.019281890465028654	ryr3	ryanodine receptor 3 [Source:ZFIN;Acc:ZDB-GENE-041001-165]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000071498	0	0.20435289485492766	fhl1a	four and a half LIM domains 1a [Source:ZFIN;Acc:ZDB-GENE-040206-1]
GO:0030018	Z disc	30	10	1.63	2.3e-06	ENSDARG00000077157	0	0.09890510456113011	synpo2b	synaptopodin 2b [Source:ZFIN;Acc:ZDB-GENE-101230-1]
