ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1781	"ENSDARG00000101098"	NA	chrKN150051.1	-	884	1108	884	896	986	1108
1782	"ENSDARG00000101098"	NA	chrKN150051.1	-	1390	1793	1390	1587	1771	1793
1783	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4556	4952	4556	4732	4849	4952
1784	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4879	4948	5168	5326
1785	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5777	5508	5608	5706	5777
1786	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5777	5508	5608	5742	5777
1787	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	2234	2479	2234	2310	2400	2479
1788	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	7343	7763	7343	7441	7644	7763
1789	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	10185	10388	10185	10249	10372	10388
1790	"ENSDARG00000098241"	"fanca"	chrKN150550.1	+	10185	10537	10185	10388	10509	10537
1791	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6308	5967	6102	6274	6308
1792	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12091	12511	12091	12187	12299	12511
1793	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8116	8401	8116	8177	8268	8401
1794	"ENSDARG00000100185"	"elovl7b"	chrKN150589.1	-	3911	4377	3911	4048	4292	4377
1795	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12455	12759	12455	12461	12649	12759
1796	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12649	13064	12649	12759	12951	13064
1797	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12951	13212	12951	13069	13155	13212
1798	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12951	13212	12951	13069	13158	13212
1799	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13158	13359	13158	13212	13299	13359
1800	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	13158	13359	13158	13215	13299	13359
1801	"ENSDARG00000101462"	"setdb2"	chrKN150699.1	+	11165	11544	11165	11320	11455	11544
1802	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	7287	7760	7287	7417	7600	7760
1803	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	28932	29178	28932	29058	29150	29178
1804	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31641	31484	31526	31620	31641
1805	"ENSDARG00000101611"	NA	chrKN150170.1	+	12085	12411	12085	12193	12321	12411
1806	"ENSDARG00000101611"	NA	chrKN150170.1	+	12499	12968	12499	12599	12837	12968
1807	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	5091	4742	4796	5041	5091
1808	"ENSDARG00000110900"	"CABZ01078606.1"	chrKN149959.1	+	6392	6643	6392	6491	6557	6643
1809	"ENSDARG00000115752"	"CABZ01028768.1"	chrKN150449.1	-	10064	10491	10064	10192	10326	10491
1810	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40658	40222	40396	40641	40658
1811	"ENSDARG00000103190"	"psmd2"	chrKN150158.1	-	8694	9184	8694	8816	9015	9184
1812	"ENSDARG00000104276"	NA	chrKN150326.1	-	42128	42407	42128	42178	42291	42407
1813	"ENSDARG00000104276"	NA	chrKN150326.1	-	61956	62404	61956	62079	62318	62404
1814	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60220	60313	60505	60974
1815	"ENSDARG00000034598"	"dicp1.16"	chrKN149948.1	-	13985	14391	13985	14014	14304	14391
1816	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	25940	26204	25940	26007	26088	26204
1817	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	26717	27092	26717	26821	27006	27092
1818	"ENSDARG00000104550"	"clcn2b"	chrKN150171.1	-	68800	69297	68800	68956	69271	69297
1819	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34322	34488	34322	34350	34434	34488
1820	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34322	34632	34322	34488	34578	34632
1821	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40325	40788	40325	40379	40476	40788
1822	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40476	40788	40476	40530	40617	40788
1823	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40617	40788	40617	40671	40753	40788
1824	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63483	63761	63483	63546	63707	63761
1825	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63483	63951	63483	63761	63897	63951
1826	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63629	64121	63629	63951	64067	64121
1827	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	282820	283211	282820	282915	283108	283211
1828	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167013	167432	167013	167113	167231	167432
1829	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167828	168200	167828	167917	167994	168200
1830	"ENSDARG00000098332"	"zgc:112970"	chrKN149696.2	-	167994	168200	167994	168048	168131	168200
1831	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471427	37471911	37471427	37471496	37471649	37471911
1832	"ENSDARG00000110991"	NA	chr25	-	37463944	37464404	37463944	37463991	37464134	37464404
1833	"ENSDARG00000061421"	NA	chr25	-	24807561	24807805	24807561	24807630	24807751	24807805
1834	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3664596	3664927	3664596	3664720	3664789	3664927
1835	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3664596	3664927	3664596	3664720	3664807	3664927
1836	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3670013	3670453	3670013	3670113	3670375	3670453
1837	"ENSDARG00000103476"	"trpm1b"	chr25	+	34611970	34612454	34611970	34612222	34612301	34612454
1838	"ENSDARG00000015502"	"adam10b"	chr25	+	158328	158791	158328	158348	158627	158791
1839	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8276804	8277150	8276804	8276919	8277013	8277150
1840	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8287975	8288307	8287975	8288114	8288202	8288307
1841	"ENSDARG00000078139"	"appl2"	chr25	-	5791062	5791322	5791062	5791110	5791187	5791322
1842	"ENSDARG00000078139"	"appl2"	chr25	-	5811534	5811737	5811534	5811564	5811677	5811737
1843	"ENSDARG00000087843"	"cntn1a"	chr25	+	15262	15601	15262	15351	15450	15601
1844	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128710	128857	128980
1845	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128716	128857	128980
1846	"ENSDARG00000087843"	"cntn1a"	chr25	+	146683	147008	146683	146802	146867	147008
1847	"ENSDARG00000087843"	"cntn1a"	chr25	+	146683	147008	146683	146802	146882	147008
1848	"ENSDARG00000103691"	"rfx7b"	chr25	+	398204	398527	398204	398327	398411	398527
1849	"ENSDARG00000103691"	"rfx7b"	chr25	+	398635	399051	398635	398716	398843	399051
1850	"ENSDARG00000100151"	"appl2"	chr25	+	5758292	5758553	5758292	5758353	5758443	5758553
1851	"ENSDARG00000100151"	"appl2"	chr25	+	5771857	5772281	5771857	5771996	5772156	5772281
1852	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5310556	5310923	5310556	5310689	5310816	5310923
1853	"ENSDARG00000103002"	"nptna"	chr25	-	29322682	29322932	29322682	29322699	29322856	29322932
1854	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29323117	29322856	29322932	29323107	29323117
1855	"ENSDARG00000103666"	"dapk2b"	chr25	+	26604133	26604529	26604133	26604204	26604427	26604529
1856	"ENSDARG00000114874"	"FP236318.4"	chr25	-	202943	203430	202943	203036	203346	203430
1857	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169611	31169892	31169611	31169775	31169863	31169892
1858	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169703	31169986	31169703	31169766	31169863	31169986
1859	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171482	31171796	31171482	31171615	31171695	31171796
1860	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37447063	37447480	37447063	37447178	37447416	37447480
1861	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37447661	37448060	37447661	37447808	37447967	37448060
1862	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37450116	37450456	37450116	37450219	37450322	37450456
1863	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37451482	37451858	37451482	37451550	37451797	37451858
1864	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37451806	37452022	37451806	37451858	37451972	37452022
1865	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37453824	37454178	37453824	37453920	37453996	37454178
1866	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37456879	37457347	37456879	37456979	37457288	37457347
1867	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37458579	37458906	37458579	37458676	37458773	37458906
1868	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460950	37460632	37460707	37460875	37460950
1869	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460976	37460632	37460950	37460952	37460976
1870	"ENSDARG00000001259"	"gas2a"	chr25	+	35329603	35329993	35329603	35329639	35329929	35329993
1871	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331574	35331386	35331483	35331549	35331574
1872	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331786	35331386	35331574	35331678	35331786
1873	"ENSDARG00000102823"	"CR759887.3"	chr25	-	16066865	16067348	16066865	16066987	16067233	16067348
1874	"ENSDARG00000030114"	"vps4a"	chr25	+	34940639	34940967	34940639	34940747	34940822	34940967
1875	"ENSDARG00000030114"	"vps4a"	chr25	+	34940639	34941120	34940639	34940967	34941058	34941120
1876	"ENSDARG00000030114"	"vps4a"	chr25	+	34943187	34943618	34943187	34943344	34943413	34943618
1877	"ENSDARG00000105296"	NA	chr25	-	5708741	5709207	5708741	5708970	5709112	5709207
1878	"ENSDARG00000105296"	NA	chr25	-	5710897	5711379	5710897	5711066	5711186	5711379
1879	"ENSDARG00000070775"	"cyp2x9"	chr25	-	17402735	17403112	17402735	17402888	17403067	17403112
1880	"ENSDARG00000009941"	"erc1a"	chr25	+	21246117	21246615	21246117	21246159	21246558	21246615
1881	"ENSDARG00000005841"	"tnni2a.2"	chr25	+	31244830	31245128	31244830	31244957	31245038	31245128
1882	"ENSDARG00000045592"	"tnni2a.1"	chr25	+	31232851	31233172	31232851	31232980	31233139	31233172
1883	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259687	19260008	19259687	19259827	19259906	19260008
1884	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259906	19260221	19259906	19260008	19260077	19260221
1885	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19262669	19262968	19262669	19262771	19262895	19262968
1886	"ENSDARG00000045799"	"acanb"	chr25	-	19213871	19214363	19213871	19213957	19214177	19214363
1887	"ENSDARG00000045799"	"acanb"	chr25	-	19214526	19214869	19214526	19214681	19214786	19214869
1888	"ENSDARG00000045638"	"slc13a1"	chr25	+	27925306	27925519	27925306	27925399	27925479	27925519
1889	"ENSDARG00000045638"	"slc13a1"	chr25	+	27925306	27925661	27925306	27925399	27925603	27925661
1890	"ENSDARG00000045638"	"slc13a1"	chr25	+	27925306	27925661	27925306	27925519	27925603	27925661
1891	"ENSDARG00000078992"	"wnk1a"	chr25	-	21119570	21119948	21119570	21119755	21119831	21119948
1892	"ENSDARG00000078992"	"wnk1a"	chr25	-	21125293	21125716	21125293	21125487	21125575	21125716
1893	"ENSDARG00000078992"	"wnk1a"	chr25	-	21126686	21127160	21126686	21126803	21126924	21127160
1894	"ENSDARG00000078992"	"wnk1a"	chr25	-	21126924	21127160	21126924	21127069	21127156	21127160
1895	"ENSDARG00000078992"	"wnk1a"	chr25	-	21129348	21129677	21129348	21129432	21129611	21129677
