ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
77	"ENSDARG00000101458"	"r3hdm1"	chr22	+	12366515	12367055	12366515	12366770	12366873	12367055
127	"ENSDARG00000060871"	"mctp1b"	chr10	-	43862963	43866387	43862963	43865857	43866277	43866387
262	"ENSDARG00000020741"	"fga"	chr1	-	10066099	10068046	10066099	10066967	10067715	10068046
451	"ENSDARG00000058345"	"si:dkey-5i3.5"	chr18	+	8907095	8907574	8907095	8907193	8907442	8907574
467	"ENSDARG00000045633"	"asb15a"	chr25	-	27842087	27843066	27842087	27842180	27842597	27843066
481	"ENSDARG00000026834"	"cdr2l"	chr3	-	59980936	59981476	59980936	59981080	59981291	59981476
607	"ENSDARG00000000767"	"spi1b"	chr7	-	32657968	32658242	32657968	32658050	32658149	32658242
699	"ENSDARG00000022456"	"eno1a"	chr23	+	22663001	22663356	22663001	22663060	22663297	22663356
738	"ENSDARG00000009724"	"rpn2"	chr11	-	15296725	15297210	15296725	15296802	15296923	15297210
980	"ENSDARG00000101076"	"irx3a"	chr7	+	36042565	36044827	36042565	36043595	36044483	36044827
1117	"ENSDARG00000030440"	"rsrp1"	chr13	-	45470495	45472000	45470495	45470579	45471940	45472000
1172	"ENSDARG00000052390"	"tmed8"	chr17	-	45150208	45150812	45150208	45150317	45150721	45150812
1255	"ENSDARG00000042562"	"allc"	chr20	-	30368930	30369595	30368930	30369050	30369544	30369595
1350	"ENSDARG00000097416"	"si:ch73-306e8.2"	chr17	+	20617529	20617790	20617529	20617568	20617751	20617790
