Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000020711	NA	NA	0.8146101897493203	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	681	584	2	15	540	361	395	491	11	14	4	756.6270410451639	721.6271235030052	3.070096184934969	14.971291117164123	414.51865517552255	449.95747016574495	403.52029556268735	347.2435183136489	12.208556221582974	10.202516557373976	3.214367745732	1.8724609067443811
ENSDARG00000105265	0.9838388203335579	0.9998677203561913	0.06949859020411597	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	246	234	0	0	825	222	0	328	0	899	342	273.31901923217373	289.14511455428635	0	0	633.2923898514928	276.70514785815897	0	231.96715683681637	0	655.1473132199432	274.828442260086	1.706260959261484
ENSDARG00000078069	0.8873187356013238	0.9998677203561913	-0.18170610495144968	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	12	19	416	809	556	322	329	522	690	703	917	13.33263508449628	23.477594771501884	638.5800064664736	807.451634252385	426.8006894029454	401.34710635282516	336.0966512408206	369.16724350249433	765.8094357174774	512.3120814167075	736.893805709061	1.1582320330659297
ENSDARG00000096655	0.6132699675838955	0.9998677203561913	0.3994010345081675	20	14657141	14661432	1	antisense	BX901920.1	NA	141	131	721	413	130	376	404	815	409	605	577	156.6584622428313	161.87183763509194	1106.7696746690563	412.2095487592522	99.79152809781098	468.6537639399449	412.71442887930556	576.3818073841626	453.9363176934033	440.8944655150897	463.67254732184097	1.115313563843733
ENSDARG00000068006	NA	NA	-3.6890053568256156	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	24	789	13	13	23	65	44	75	779	19	13	26.66527016899256	974.9380144586835	19.9556252020773	12.975118968208905	17.655424201920404	81.01727302153303	44.94909621457783	53.04127061817447	864.5877542375579	13.846272470721825	10.446695173629	1.0049265070742632
ENSDARG00000056909	0.4331662148509931	0.9998677203561913	0.7326775875823855	24	33552198	33578392	-1	protein_coding	LO018309.1	epidermal growth factor receptor-like [Source:NCBI gene;Acc:571431]	271	279	316	64	623	55	343	358	522	576	114	301.0953423248743	344.7499442762645	485.0751972197251	63.87750876656692	478.23170773027874	68.55307717206641	350.3986364000045	253.18366508408616	579.351486151483	419.76068121767213	91.60948075336199	0.9071702943764424
ENSDARG00000092788	0.13843893023672513	0.9998677203561913	-1.85073109990358	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	290	272	98	365	1	248	73	16	216	327	371	322.20534787532677	336.1003040972901	150.43471306181348	364.30141718432697	0.7676271392139306	309.11205706677214	74.57463690145867	11.315471065210556	239.73164944199294	238.30163673294928	298.132608416643	0.8916762287084583
ENSDARG00000006588	0.004591238965757407	0.6099751216747931	1.9988765564316253	1	45173421	45177401	-1	protein_coding	zgc:111983	zgc:111983 [Source:ZFIN;Acc:ZDB-GENE-050417-335]	1528	659	3376	2748	1814	914	994	1131	1158	476	646	1697.6888674258596	814.3018397063022	5182.3223601702275	2742.740532664467	1392.4756305340702	1139.227500641249	1015.4409463020537	799.862360922071	1285.2280095084623	346.88556295071515	519.120390935718	0.8504468302668907
ENSDARG00000113274	0.8199526134555051	0.9998677203561913	-0.2116641617544197	13	835390	840787	1	protein_coding	AL929536.3	NA	87	93	120	276	27	106	191	234	168	36	159	96.66160436259803	114.91664809208817	184.20577109609815	275.47175655581987	20.725932758776125	132.12047600434616	195.11994038600832	165.48876432870438	186.4579495659945	26.235042576104508	127.771117892847	0.8312211615216074
ENSDARG00000094077	0.050753994331813844	0.9998677203561913	-2.0061869395258873	22	19311411	19313738	1	protein_coding	si:dkey-21e2.16	si:dkey-21e2.16 [Source:ZFIN;Acc:ZDB-GENE-050208-698]	181	155	70	261	4	175	55	15	189	249	336	201.10057919115224	191.52774682014694	107.45336647272391	260.50046543865574	3.070508556855722	218.12342736566583	56.18637026822229	10.608254123634895	209.76519326174383	181.45904448472285	270.006890641488	0.8278715580516259
ENSDARG00000045835	0.3596448369823585	0.9998677203561913	-1.1633565541640198	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	806	631	711	581	185	660	142	2	2321	1887	932	895.5086565086668	779.7032789904047	1091.4191937443816	579.8880092714903	142.01102075457717	822.6369260647969	145.06299232886482	1.4144338831513195	2576.0053627540074	1375.153481697478	748.947684755556	0.8139374631766918
ENSDARG00000045015	0.23936621664947347	0.9998677203561913	-0.976199906520313	11	329687	339847	1	protein_coding	cyp27b1	cytochrome P450, family 27, subfamily B, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-111005-2]	77	122	87	367	102	134	304	57	131	271	400	85.5510751255178	150.7508716906963	133.54918404467116	366.2975893332822	78.29796819982093	167.0202243828527	310.5573920279923	40.3113656698126	145.39280591157905	197.49157050345337	321.4367745732	0.7832145215726064
ENSDARG00000100131	0.42857534797427227	0.9998677203561913	0.6976147979062279	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	407	300	484	446	124	93	300	72	332	351	363	452.19853994916554	370.69886481318764	742.9632767542626	445.1463892170132	95.1857652625274	115.91702140003956	306.47111055393975	50.919619793447495	368.4764241423225	255.79166511701897	291.703872925179	0.7771755210826685
ENSDARG00000099099	0.40428075335825425	0.9998677203561913	-0.6543036886530491	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	177	114	121	273	28	131	31	178	153	212	199	196.65636749632014	140.8655686290113	185.74081918856564	272.47749833238703	21.493559897990057	163.28096562801272	31.66868142390711	125.88461560046743	169.809918354745	154.49525072594878	159.914795350167	0.7139635468869688
ENSDARG00000115161	0.9599059920955937	0.9998677203561913	0.0622773059092882	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	488	472	432	3	303	253	460	563	507	660	443	542.1938267695155	583.2328806394152	663.1407759459534	2.9942582234328246	232.591023181821	315.3441549915055	469.922369516041	398.1631381070964	562.7034549402334	480.975780561916	355.991227839819	0.7040408991236558
ENSDARG00000096508	0.21531114408554283	0.9998677203561913	1.5192328038570913	20	12203762	12208117	1	lincRNA	BX322618.1	NA	132	417	568	193	1771	644	221	1345	36	61	834	146.65898592945908	515.2714220903308	871.9073165215312	192.63061237417838	1359.467663547871	802.6942127056503	225.7670514414023	951.2067864192622	39.955274906998824	44.45382214284375	670.195674985122	0.6766033747518607
ENSDARG00000069018	0.15644206251332637	0.9998677203561913	-0.7560154438259887	2	22150134	22152797	-1	protein_coding	cyp7a1	cytochrome P450, family 7, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1296]	856	285	579	783	620	1013	818	926	458	1900	1803	951.061302694068	352.16392157252824	888.7928455386735	781.5013963159672	475.928826312637	1262.6230395509685	835.6445614437424	654.8828878990608	508.3198863168184	1384.6272470721824	1448.876261388699	0.6582254797417537
ENSDARG00000094809	0.29125711422740275	0.9998677203561913	-0.4648553691869352	4	76575585	76588333	1	protein_coding	ms4a17a.11	membrane-spanning 4-domains, subfamily A, member 17A.11 [Source:ZFIN;Acc:ZDB-GENE-050417-157]	622	553	424	1163	344	490	281	925	583	853	795	691.0749185463906	683.3215741389758	650.8603912062134	1160.7741046174583	264.0637358895921	610.7455966238643	287.06127355219024	654.1756709574852	647.0534797438976	621.624758817143	638.855589464235	0.6580720964374108
