Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000045835	0.3596448369823585	0.9998677203561913	-1.1633565541640198	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	806	631	711	581	185	660	142	2	2321	1887	932	895.5086565086668	779.7032789904047	1091.4191937443816	579.8880092714903	142.01102075457717	822.6369260647969	145.06299232886482	1.4144338831513195	2576.0053627540074	1375.153481697478	748.947684755556	1.05433358570151
ENSDARG00000035438	0.7157863713066372	0.9998677203561913	-0.5158609609903883	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	19	574	756	32	615	573	35	1374	1023	1761	1910	21.110005550452446	709.2704946758989	1160.4963579054183	31.93875438328346	472.0906906165673	714.1984221744373	35.754962897959636	971.7160777249564	1135.3957286072166	1283.3308326811123	1534.86059858703	0.9855641603583327
ENSDARG00000105265	0.9838388203335579	0.9998677203561913	0.06949859020411597	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	246	234	0	0	825	222	0	328	0	899	342	273.31901923217373	289.14511455428635	0	0	633.2923898514928	276.70514785815897	0	231.96715683681637	0	655.1473132199432	274.828442260086	0.9833978595974155
ENSDARG00000092788	0.13843893023672513	0.9998677203561913	-1.85073109990358	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	290	272	98	365	1	248	73	16	216	327	371	322.20534787532677	336.1003040972901	150.43471306181348	364.30141718432697	0.7676271392139306	309.11205706677214	74.57463690145867	11.315471065210556	239.73164944199294	238.30163673294928	298.132608416643	0.8139063860591884
ENSDARG00000026403	0.984908323745098	0.9998677203561913	0.015584852703117413	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	301	308	225	34	205	298	20	22	144	242	356	334.42693003611504	380.5841678748726	345.38582080518404	33.93492653223868	157.36356353885577	371.43303631410527	20.43140737026265	15.558772714664514	159.8210996279953	176.35778620603585	286.078729370148	0.7848482744158604
ENSDARG00000095464	0.3084141914213965	0.9998677203561913	-0.8792076261049495	5	10046643	10056341	1	protein_coding	gstt2	glutathione S-transferase theta 2 [Source:NCBI gene;Acc:393493]	225	344	177	44	288	343	36	340	494	602	495	249.98690783430527	425.06803165245515	271.70351236674475	43.91578727701476	221.07661609361202	427.52191763670504	36.77653326647277	240.45376013572428	548.2751612238172	438.70821196708096	397.77800853433496	0.7746153930185511
ENSDARG00000091783	0.6693752967481186	0.9998677203561913	0.4056660161711427	3	30998362	31019832	-1	protein_coding	si:dkeyp-71f10.5	si:dkeyp-71f10.5 [Source:ZFIN;Acc:ZDB-GENE-131121-547]	241	328	244	177	72	140	32	458	197	239	100	267.76375461363364	405.29742552908516	374.5517345620662	176.66123518253664	55.269154023403004	174.49874189253268	32.69025179242024	323.90535924165215	218.6441432410769	174.17153265802716	80.3591936433	0.7494907949143392
ENSDARG00000003132	0.036837126789951394	0.9998677203561913	1.4565257250892112	7	49901483	49908518	1	polymorphic_pseudogene	apip	APAF1 interacting protein [Source:NCBI gene;Acc:447941]	1	1	1	8	19	5	190	241	2	2	5	1.1110529237080233	1.2356628827106253	1.5350480924674845	7.984688595820865	14.584915645064681	6.23209792473331	194.09837001749517	170.43928291973398	2.219737494833268	1.4575023653391395	4.017959682164999	0.7450321018338921
ENSDARG00000104773	0.7364891367350954	0.9998677203561913	-1.1140474678601437	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	0	0	0	274	333	222	517	519	0	385	684	0	0	0	273.47558440686464	255.6198373582389	276.70514785815897	528.1518805212895	367.0455926777674	0	280.56920532778435	549.656884520172	0.7314024126146272
ENSDARG00000094077	0.050753994331813844	0.9998677203561913	-2.0061869395258873	22	19311411	19313738	1	protein_coding	si:dkey-21e2.16	si:dkey-21e2.16 [Source:ZFIN;Acc:ZDB-GENE-050208-698]	181	155	70	261	4	175	55	15	189	249	336	201.10057919115224	191.52774682014694	107.45336647272391	260.50046543865574	3.070508556855722	218.12342736566583	56.18637026822229	10.608254123634895	209.76519326174383	181.45904448472285	270.006890641488	0.647903597398762
