ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
1781	"ENSDARG00000101098"	NA	chrKN150051.1	-	884	1108	884	896	986	1108
1782	"ENSDARG00000104316"	"CABZ01078055.1"	chrKN149997.1	+	4622	5034	4622	4732	4849	5034
1783	"ENSDARG00000099389"	"cdo1"	chrKN149707.2	+	4879	5326	4879	4948	5168	5326
1784	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5773	5508	5608	5706	5773
1785	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5523	5774	5523	5604	5706	5774
1786	"ENSDARG00000101369"	"CABZ01090890.1"	chrKN150164.1	-	5508	5773	5508	5608	5742	5773
1787	"ENSDARG00000098584"	"CABZ01102240.1"	chrKN149883.1	-	2234	2479	2234	2310	2400	2479
1788	"ENSDARG00000114210"	"CABZ01035356.1"	chrKN149793.1	+	10098	10573	10098	10238	10323	10573
1789	"ENSDARG00000098959"	"CABZ01113771.1"	chrKN149914.1	-	5967	6308	5967	6102	6274	6308
1790	"ENSDARG00000103973"	"CABZ01051602.1"	chrKN150654.1	-	12091	12511	12091	12187	12299	12511
1791	"ENSDARG00000101913"	"CABZ01092156.1"	chrKN150212.1	-	8279	8732	8279	8422	8605	8732
1792	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12654	13069	12654	12759	12951	13069
1793	"ENSDARG00000099279"	"ift27"	chrKN149779.1	-	12951	13212	12951	13069	13155	13212
1794	"ENSDARG00000100904"	"CABZ01109021.1"	chrKN149855.1	+	18796	19124	18796	18899	19026	19124
1795	"ENSDARG00000111812"	"CABZ01073083.1"	chrKN150306.1	-	26839	27280	26839	26967	27115	27280
1796	"ENSDARG00000098538"	"CABZ01112049.1"	chrKN150189.1	+	7287	7760	7287	7417	7600	7760
1797	"ENSDARG00000102165"	"sema6a"	chrKN150518.1	-	31484	31641	31484	31526	31620	31641
1798	"ENSDARG00000103244"	"CABZ01081752.3"	chrKN150703.1	-	46581	47055	46581	46711	46975	47055
1799	"ENSDARG00000101611"	NA	chrKN150170.1	+	12085	12411	12085	12193	12321	12411
1800	"ENSDARG00000106760"	"golim4a"	chrKN150030.1	-	4742	5091	4742	4796	5041	5091
1801	"ENSDARG00000115752"	"CABZ01028768.1"	chrKN150449.1	-	10064	10491	10064	10192	10326	10491
1802	"ENSDARG00000104672"	"CABZ01074397.1"	chrKN149880.1	+	40222	40679	40222	40396	40641	40679
1803	"ENSDARG00000100753"	"CABZ01076275.1"	chrKN150405.1	-	14351	14627	14351	14403	14556	14627
1804	"ENSDARG00000104276"	NA	chrKN150326.1	-	42128	42396	42128	42178	42291	42396
1805	"ENSDARG00000104276"	NA	chrKN150326.1	-	51627	51908	51627	51678	51807	51908
1806	"ENSDARG00000099322"	"CABZ01071848.1"	chrKN149790.1	-	60220	60974	60220	60313	60505	60974
1807	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	25940	26204	25940	26007	26088	26204
1808	"ENSDARG00000113364"	"CABZ01074307.2"	chrKN150487.1	+	26717	27092	26717	26821	27006	27092
1809	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34256	34488	34256	34350	34434	34488
1810	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	34256	34632	34256	34488	34578	34632
1811	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40325	40788	40325	40379	40476	40788
1812	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40476	40788	40476	40530	40617	40788
1813	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	40617	40788	40617	40671	40753	40788
1814	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	51700	51905	51700	51751	51851	51905
1815	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63629	63951	63629	63761	63897	63951
1816	"ENSDARG00000101592"	"col22a1"	chrKN150214.1	-	63629	64121	63629	63951	64067	64121
1817	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	282820	283211	282820	282915	283108	283211
1818	"ENSDARG00000114529"	"CU457778.9"	chrKN147651.2	+	282820	283211	282820	282915	283140	283211
1819	"ENSDARG00000100702"	"zgc:174680"	chrKN149696.2	+	162460	162850	162460	162506	162816	162850
1820	"ENSDARG00000117369"	"FO834799.2"	chr25	+	37471427	37471911	37471427	37471496	37471649	37471911
1821	"ENSDARG00000110991"	NA	chr25	-	37462787	37463029	37462787	37462874	37462948	37463029
1822	"ENSDARG00000110991"	NA	chr25	-	37462948	37463167	37462948	37463029	37463096	37463167
1823	"ENSDARG00000110991"	NA	chr25	-	37463944	37464404	37463944	37463991	37464134	37464404
1824	"ENSDARG00000061421"	NA	chr25	-	24790709	24791040	24790709	24790860	24790980	24791040
1825	"ENSDARG00000099194"	"CABZ01058261.1"	chr25	+	3664596	3664927	3664596	3664720	3664807	3664927
1826	"ENSDARG00000032650"	"fuk"	chr25	+	7576128	7576583	7576128	7576222	7576411	7576583
1827	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8287975	8288307	8287975	8288114	8288202	8288307
1828	"ENSDARG00000100621"	"CABZ01080550.1"	chr25	+	8290027	8290479	8290027	8290156	8290332	8290479
1829	"ENSDARG00000078139"	"appl2"	chr25	-	5791062	5791322	5791062	5791110	5791187	5791322
1830	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128710	128857	128980
1831	"ENSDARG00000087843"	"cntn1a"	chr25	+	128674	128980	128674	128716	128857	128980
1832	"ENSDARG00000103691"	"rfx7b"	chr25	+	398175	398528	398175	398327	398411	398528
1833	"ENSDARG00000103691"	"rfx7b"	chr25	+	398643	399051	398643	398716	398843	399051
1834	"ENSDARG00000100151"	"appl2"	chr25	+	5758292	5758553	5758292	5758353	5758443	5758553
1835	"ENSDARG00000076361"	"CABZ01039859.1"	chr25	+	5310556	5310923	5310556	5310689	5310816	5310923
1836	"ENSDARG00000103002"	"nptna"	chr25	-	29322856	29323117	29322856	29322932	29323107	29323117
1837	"ENSDARG00000103311"	"fbln1"	chr25	+	1757675	1758049	1757675	1757817	1757923	1758049
1838	"ENSDARG00000103311"	"fbln1"	chr25	+	1762345	1762679	1762345	1762493	1762652	1762679
1839	"ENSDARG00000103666"	"dapk2b"	chr25	+	26604143	26604529	26604143	26604204	26604427	26604529
1840	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169611	31169892	31169611	31169775	31169863	31169892
1841	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31169703	31169986	31169703	31169766	31169863	31169986
1842	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171482	31171796	31171482	31171615	31171695	31171796
1843	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171482	31171796	31171482	31171615	31171718	31171796
1844	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171718	31171948	31171718	31171796	31171904	31171948
1845	"ENSDARG00000110361"	"FQ976913.1"	chr25	-	31171718	31171948	31171718	31171806	31171904	31171948
1846	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37450116	37450456	37450116	37450219	37450322	37450456
1847	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37453824	37454178	37453824	37453920	37453996	37454178
1848	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37455867	37456341	37455867	37455896	37456031	37456341
1849	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37457288	37457523	37457288	37457348	37457464	37457523
1850	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460950	37460632	37460707	37460875	37460950
1851	"ENSDARG00000110103"	"FO834799.1"	chr25	+	37460632	37460976	37460632	37460950	37460952	37460976
1852	"ENSDARG00000001259"	"gas2a"	chr25	+	35329603	35329993	35329603	35329639	35329929	35329993
1853	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331574	35331386	35331483	35331549	35331574
1854	"ENSDARG00000001259"	"gas2a"	chr25	+	35331386	35331786	35331386	35331574	35331678	35331786
1855	"ENSDARG00000116334"	"tmem17"	chr25	+	28590492	28590741	28590492	28590517	28590627	28590741
1856	"ENSDARG00000116334"	"tmem17"	chr25	+	28590492	28590960	28590492	28590741	28590816	28590960
1857	"ENSDARG00000030114"	"vps4a"	chr25	+	34943187	34943618	34943187	34943344	34943413	34943618
1858	"ENSDARG00000105296"	NA	chr25	-	5708741	5709207	5708741	5708970	5709112	5709207
1859	"ENSDARG00000105296"	NA	chr25	-	5710897	5711384	5710897	5711066	5711186	5711384
1860	"ENSDARG00000105296"	NA	chr25	-	5733641	5733993	5733641	5733830	5733926	5733993
1861	"ENSDARG00000070775"	"cyp2x9"	chr25	-	17402735	17403112	17402735	17402888	17403067	17403112
1862	"ENSDARG00000009941"	"erc1a"	chr25	+	21246117	21246615	21246117	21246159	21246558	21246615
1863	"ENSDARG00000061345"	"wwp2"	chr25	+	34755712	34756182	34755712	34755850	34756014	34756182
1864	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259687	19260008	19259687	19259827	19259906	19260008
1865	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19259906	19260221	19259906	19260008	19260077	19260221
1866	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19262669	19262968	19262669	19262771	19262895	19262968
1867	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19315176	19315384	19315176	19315202	19315276	19315384
1868	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19315176	19315576	19315176	19315384	19315459	19315576
1869	"ENSDARG00000073909"	"ppip5k1b"	chr25	+	19318808	19319224	19318808	19318905	19319043	19319224
1870	"ENSDARG00000045799"	"acanb"	chr25	-	19213871	19214363	19213871	19213957	19214177	19214363
1871	"ENSDARG00000078992"	"wnk1a"	chr25	-	21119570	21119948	21119570	21119755	21119831	21119948
1872	"ENSDARG00000078992"	"wnk1a"	chr25	-	21125293	21125716	21125293	21125487	21125575	21125716
1873	"ENSDARG00000078992"	"wnk1a"	chr25	-	21126686	21127085	21126686	21126803	21126924	21127085
