Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000058225	0.43243633477728505	0.8978111570615789	1.6329715802519202	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	2	307	2	640	442	3	0	1	618	0	0	4	2.2454842358896125	382.9235344412773	3.0998157735896794	549.7976194789625	445.8168894358009	2.32527119154112	0	1.0314064797416573	442.43821006438793	0	0	3.243183222512433	1.0097404995904091
ENSDARG00000035438	0.42776944995904514	0.8962386631644885	-0.7277325374597365	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	19	574	756	1219	32	615	573	35	1374	1023	1761	1910	21.33210024095132	715.9547516915087	1171.7303624168987	1047.1926533513363	32.276335886754815	476.68059426592964	722.4515482838335	36.09922679095801	983.6733019878139	1147.6153091722838	1299.1475583767963	1548.6199887496869	0.915068405298982
ENSDARG00000045835	0.5117805635638584	0.9205472582775811	-0.6753106193815377	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	806	631	711	77	581	185	660	142	2	2321	1887	932	904.9301470635139	787.0513036887492	1101.984507511131	66.14752609356267	586.0172234438921	143.39172347836907	832.1431446201224	146.45972012331535	1.431838867522291	2603.729357369375	1392.1018981584411	755.661690845397	0.7901804914461925
ENSDARG00000020711	0.6307779737179063	0.9475993678935115	0.6428080881863891	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	681	584	2	7	15	540	361	395	491	11	14	4	764.5873823204131	728.4278309892702	3.0998157735896794	6.013411463051152	15.129532446916318	418.54881447740166	455.157083648279	407.40555949795464	351.51644197672243	12.339949560992299	10.328259975738302	3.243183222512433	0.6891108673645929
ENSDARG00000055876	0.03174120770380368	0.5878722471855918	-1.2473919558218716	1	20916551	20928772	-1	protein_coding	msmo1	methylsterol monooxygenase 1 [Source:NCBI gene;Acc:406662]	290	179	332	407	310	1067	1292	363	448	2092	356	1393	325.59521420399386	223.26811942993044	514.5694184158867	349.6369236374027	312.67700390293726	827.0214537914584	1628.983246741209	374.4005521462216	320.7319063249932	2346.8340437814445	262.6328965259168	1129.438557239955	0.6714795590457493
ENSDARG00000103634	0.652838408317407	0.9501585953845896	1.2159550821941674	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	0	427	452	0	635	203	0	0	178	0	257	0	0	661.8106676613966	388.29456875701726	0	492.1824022095371	255.94705811800733	0	0	199.68282016878447	0	208.37452204642383	0.6691956521725902
ENSDARG00000103973	0.559711705555135	0.9305847948169044	0.9822233251799226	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	1	2	428	427	2	435	215	0	1	136	1	333	1.1227421179448063	2.494615859552295	663.3605755481914	366.81809924612025	2.017270992922176	337.16432277346246	271.0769334747368	0	0.7159194337611455	152.56664911772296	0.7377328554098787	269.99500327416007	0.6534849193111594
ENSDARG00000079946	0.031426302281290626	0.5878722471855918	-1.419342100329843	16	43401005	43413293	1	protein_coding	sqlea	squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]	91	59	143	189	137	527	609	142	272	1005	94	809	102.16953273297739	73.59116785679271	221.63682781166207	162.36210950238112	138.18306301516904	408.4726393140568	767.841174354022	146.45972012331535	194.73008598303159	1127.4226644361147	69.3468884085286	655.9338067531396	0.6528590023684775
ENSDARG00000100792	0.2571260287631214	0.8324766713791121	-0.5871982863474687	1	50794669	50838160	-1	protein_coding	zgc:154142	zgc:154142 [Source:ZFIN;Acc:ZDB-GENE-070615-2]	397	347	505	258	337	912	530	443	131	1055	1104	1460	445.7286208240881	432.81585163232324	782.703482831394	221.63716535245675	339.91016230738666	706.8824422285005	668.2361615888861	456.91307052555425	93.78544582271006	1183.513344258807	814.4570723725061	1183.761876217038	0.6295485083665323
ENSDARG00000087390	0.020499527697663434	0.5208686346048724	1.2184775041173312	3	55131289	55132052	1	protein_coding	hbbe1.3	hemoglobin, beta embryonic 1.3 [Source:ZFIN;Acc:ZDB-GENE-131120-128]	545	343	74	384	651	284	192	187	319	59	55	302	611.8944542799195	427.8266199132186	114.69318362281814	329.8785716873775	656.6217081961682	220.12567279922604	242.07800570767193	192.87301171168994	228.37829936980543	66.18700219077688	40.575307047543326	244.8603332996887	0.6272261688686629
