Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000105265	0.9775815542656783	0.9982723888916843	0.05323633082381249	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	246	234	0	352	0	825	222	0	328	0	899	342	276.1945610144224	291.8700555676185	0	302.38869071342936	0	639.4495776738081	279.9026940994957	0	234.82157427365573	0	663.2218370134809	277.292165524813	0.9712400923158528
ENSDARG00000045835	0.5117805635638584	0.9205472582775811	-0.6753106193815377	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	806	631	711	77	581	185	660	142	2	2321	1887	932	904.9301470635139	787.0513036887492	1101.984507511131	66.14752609356267	586.0172234438921	143.39172347836907	832.1431446201224	146.45972012331535	1.431838867522291	2603.729357369375	1392.1018981584411	755.661690845397	0.8801134474276612
ENSDARG00000035438	0.42776944995904514	0.8962386631644885	-0.7277325374597365	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	19	574	756	1219	32	615	573	35	1374	1023	1761	1910	21.33210024095132	715.9547516915087	1171.7303624168987	1047.1926533513363	32.276335886754815	476.68059426592964	722.4515482838335	36.09922679095801	983.6733019878139	1147.6153091722838	1299.1475583767963	1548.6199887496869	0.8073413677869212
ENSDARG00000003132	0.0028264663679289036	0.22322783266964613	-3.6442413313174002	7	49901483	49908518	1	polymorphic_pseudogene	apip	APAF1 interacting protein [Source:NCBI gene;Acc:447941]	1	1	1	4	8	19	5	190	241	2	2	5	1.1227421179448063	1.2473079297761476	1.5499078867948397	3.436235121743515	8.069083971688704	14.726717546427095	6.304114731970624	195.9672311509149	172.53658353643607	2.2436271929076907	1.4754657108197573	4.0539790281405415	0.7561335729527322
ENSDARG00000092788	0.9765342651852267	0.9980802591672585	0.029065042741109146	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	290	272	98	26	365	1	248	73	16	216	327	371	325.59521420399386	339.26775689911216	151.8909729058943	22.33552829133285	368.1519562082971	0.7750903971803734	312.68409070574296	75.29267302114098	11.454710940178328	242.3117368340306	241.23864371903034	300.80524388802814	0.7462231541870449
ENSDARG00000091783	0.5225460643783342	0.9236928540172324	0.4006434158014167	3	30998362	31019832	-1	protein_coding	si:dkeyp-71f10.5	si:dkeyp-71f10.5 [Source:ZFIN;Acc:ZDB-GENE-131121-547]	241	328	244	59	177	72	140	32	458	197	239	100	270.5808504246983	409.1170009665764	378.17752437794087	50.684468045716855	178.52848287361257	55.80650859698689	176.51521249517745	33.005007351733035	327.89110066260463	220.99727850140755	176.318152442961	81.07958056281083	0.6950325503292714
ENSDARG00000020711	0.6307779737179063	0.9475993678935115	0.6428080881863891	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	681	584	2	7	15	540	361	395	491	11	14	4	764.5873823204131	728.4278309892702	3.0998157735896794	6.013411463051152	15.129532446916318	418.54881447740166	455.157083648279	407.40555949795464	351.51644197672243	12.339949560992299	10.328259975738302	3.243183222512433	0.6938879050853209
ENSDARG00000026403	0.5231779400422749	0.9238916148586731	0.4813513866321976	10	24394023	24416471	-1	protein_coding	hephl1b	hephaestin-like 1b [Source:ZFIN;Acc:ZDB-GENE-091204-388]	301	308	225	220	34	205	298	20	22	144	242	356	337.9453775013867	384.1708423710535	348.7292745288389	188.99293169589333	34.29360687967699	158.89353142197655	375.7252380254492	20.628129594833148	15.750227542745202	161.54115788935374	178.53135100919064	288.64330680360655	0.6761533724302617
ENSDARG00000052734	0.021581185345104236	0.531303936819333	-0.9538199853255762	5	50972485	50992775	-1	protein_coding	hmgcra	3-hydroxy-3-methylglutaryl-CoA reductase a [Source:ZFIN;Acc:ZDB-GENE-040401-2]	393	317	395	479	492	1234	1232	881	609	1669	516	1566	441.2376523523089	395.3966137390388	612.2136152839616	411.48915582878595	496.2486642588553	956.4615501205808	1553.3338699575618	908.6691086524002	435.99493516053764	1872.306892481468	380.6701533914974	1269.7062316136175	0.6691458735478447
ENSDARG00000035602	0.8695259740766549	0.982140863594199	-0.16525467928841273	5	20188438	20195350	-1	protein_coding	dao.1	D-amino-acid oxidase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050913-127]	6	84	218	425	8	171	30	4	428	153	469	252	6.736452707668838	104.7738661011964	337.87991932127505	365.0999816852485	8.069083971688704	132.54045791784387	37.82468839182374	4.125625918966629	306.4135176497703	171.63748025743834	345.9967091872331	204.32054301828327	0.6647650235812868
