Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000068006	NA	NA	0.009025095299766606	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	24	789	13	28	13	23	65	44	75	779	19	13	26.945810830675352	984.1259565933805	20.148802528332915	24.053645852204607	13.112261453994144	17.827079135148587	81.95349151561811	45.38188510863292	53.69395753208592	873.8927916375455	14.016924252787694	10.540345473165408	1.3230161260594187
ENSDARG00000058225	0.43243633477728505	0.8978111570615789	1.6329715802519202	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	2	307	2	640	442	3	0	1	618	0	0	4	2.2454842358896125	382.9235344412773	3.0998157735896794	549.7976194789625	445.8168894358009	2.32527119154112	0	1.0314064797416573	442.43821006438793	0	0	3.243183222512433	1.2448384689009975
ENSDARG00000020711	0.6307779737179063	0.9475993678935115	0.6428080881863891	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	681	584	2	7	15	540	361	395	491	11	14	4	764.5873823204131	728.4278309892702	3.0998157735896794	6.013411463051152	15.129532446916318	418.54881447740166	455.157083648279	407.40555949795464	351.51644197672243	12.339949560992299	10.328259975738302	3.243183222512433	0.8998515748626019
ENSDARG00000096508	0.65655617103739	0.9506799055234448	0.3576378601671968	20	12203762	12208117	1	lincRNA	BX322618.1	NA	132	417	568	496	193	1771	644	221	1345	36	61	834	148.20195956871444	520.1274067166536	880.3476796994689	426.0931550961959	194.66665081698997	1372.6850934064414	811.9699774778163	227.94083202290628	962.9116384087407	40.385289472338435	45.0017041800026	676.2037018938423	0.886646317758534
ENSDARG00000076321	0.281580538703702	0.8431141984281434	-0.640916748335967	9	48297412	48371379	-1	protein_coding	col28a2a	collagen, type XXVIII, alpha 2a [Source:ZFIN;Acc:ZDB-GENE-030131-4444]	330	293	46	69	371	622	357	653	1051	78	472	463	370.5048989217861	365.4612234244113	71.29576279256263	59.27505585007564	374.20376918706364	482.10622704619226	450.11379186270256	673.5084312713022	752.431324882964	87.50146052339994	348.20990775346274	375.3984580058141	0.83461689864394
ENSDARG00000036767	1.1149053964623749e-5	0.004686193038452616	2.8407482229755017	19	7682109	7690975	-1	protein_coding	urgcp	upregulator of cell proliferation [Source:ZFIN;Acc:ZDB-GENE-120215-160]	586	51	380	90	229	745	76	25	42	71	24	72	657.9268811156566	63.61270441858353	588.9649969820391	77.3152902392291	230.97752868958912	577.4423458993782	95.82254392595348	25.785161993541436	30.068616217968113	79.64876534822302	17.705588529837087	58.37729800522379	0.8227867504861932
ENSDARG00000055120	0.8083477891211163	0.9749477541500992	-0.12641500940144337	17	32622931	32631514	1	protein_coding	ctsba	cathepsin Ba [Source:ZFIN;Acc:ZDB-GENE-040426-2650]	1342	307	247	496	435	1544	236	1282	1651	336	481	1477	1506.7199222819302	382.9235344412773	382.8272480383254	426.0931550961959	438.75644096057323	1196.7395732464965	297.5542153490134	1322.2631070288048	1181.9829851396512	376.92936840849205	354.8495034521516	1197.5454049127159	0.7941139779687554
ENSDARG00000043093	5.383950317594669e-7	4.6040201353803517e-4	2.8685469448248457	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	555	65	483	104	165	516	31	62	48	60	81	30	623.1218754593675	81.0750154354496	748.6055093219076	89.3421131653314	166.4248569160795	399.9466449450727	39.08551133821787	63.94720174398276	34.364132820534984	67.30881578723073	59.756361288200175	24.323874168843247	0.7677874404595436
ENSDARG00000101026	0.402077293733956	0.8889435631833568	0.5866967746485927	KN150709.1	28312	30914	-1	protein_coding	CABZ01038709.1	NA	135	121	24	244	136	41	161	17	37	36	39	201	151.57018592254886	150.92425950291386	37.197789283076155	209.61034242635444	137.17442751870797	31.77870628439531	202.99249436945408	17.533910155608176	26.489019049162383	40.385289472338435	28.77158136098527	162.96995693124975	0.7120290089518226
ENSDARG00000092788	0.9765342651852267	0.9980802591672585	0.029065042741109146	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	290	272	98	26	365	1	248	73	16	216	327	371	325.59521420399386	339.26775689911216	151.8909729058943	22.33552829133285	368.1519562082971	0.7750903971803734	312.68409070574296	75.29267302114098	11.454710940178328	242.3117368340306	241.23864371903034	300.80524388802814	0.6714989190172073
ENSDARG00000045835	0.5117805635638584	0.9205472582775811	-0.6753106193815377	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	806	631	711	77	581	185	660	142	2	2321	1887	932	904.9301470635139	787.0513036887492	1101.984507511131	66.14752609356267	586.0172234438921	143.39172347836907	832.1431446201224	146.45972012331535	1.431838867522291	2603.729357369375	1392.1018981584411	755.661690845397	0.6691233807737342
ENSDARG00000100131	0.09497847615958915	0.7279159200676919	0.8579481402090099	7	53152108	53210386	1	protein_coding	cdh29	cadherin 29 [Source:ZFIN;Acc:ZDB-GENE-141212-240]	407	300	484	487	446	124	93	300	72	332	351	363	456.9560420035362	374.1923789328443	750.1554172087024	418.361626072273	449.8514314216452	96.1112092503663	117.2565340146536	309.42194392249723	51.54619923080248	372.44211402267666	258.9442322488674	294.3188774430033	0.6602295687945549
ENSDARG00000056909	0.9576409511289572	0.9967029007560437	-0.03512619984882842	24	33552198	33578392	-1	protein_coding	LO018309.1	epidermal growth factor receptor-like [Source:NCBI gene;Acc:571431]	271	279	316	59	64	623	55	343	358	522	576	114	304.26311396304254	347.9989124075452	489.7708922271693	50.684468045716855	64.55267177350963	482.8813174433726	69.34526205167685	353.7724225513885	256.29915728649013	585.5866973489073	424.93412471609014	92.43072184160434	0.6461805134558929
ENSDARG00000113274	0.802982503972742	0.9743050467370066	0.14232342342909846	13	835390	840787	1	protein_coding	AL929536.3	NA	87	93	120	268	276	27	106	191	234	168	36	159	97.67856426119816	115.99963746918174	185.98894641538075	230.22775315681554	278.3833970232603	20.92744072387008	133.64723231777722	196.99863763065656	167.52514750010806	188.46468420424603	26.558382794755634	128.9165330948692	0.5909915362782888
ENSDARG00000116164	0.9271663191269284	0.9922868001657866	0.025868909881301923	9	22134731	22135576	-1	protein_coding	crygm2d8	crystallin, gamma M2d8 [Source:ZFIN;Acc:ZDB-GENE-040718-321]	5152	5156	2925	9179	5739	3078	2935	6671	5560	5457	9787	5330	5784.367391651643	6431.119685925817	4533.480568874907	7885.300545620932	5788.559114190183	2385.7282425211893	3700.515347666756	6880.512626356596	3980.512051711969	6121.736795848634	7220.191455896483	4321.541643997817	0.5859667467382791
ENSDARG00000094077	0.75573823403015306	0.9684480840488562	-0.2738605048276705	22	19311411	19313738	1	protein_coding	si:dkey-21e2.16	si:dkey-21e2.16 [Source:ZFIN;Acc:ZDB-GENE-050208-698]	181	155	70	23	261	4	175	55	15	189	249	336	203.21632334800995	193.3327291153029	108.49355207563877	19.758351950025215	263.253864576344	3.1003615887214937	220.64401561897182	56.727356385791154	10.738791506417183	212.02276972977677	183.6954809970598	272.42739069104437	0.5651589751943318
