Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	% variance explained
ENSDARG00000045835	0.5156763791473298	0.9997058626494543	-0.7731563187005587	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	2321	932	756	660	34	2128	1887	755	2	142	82	1146	2586.369533907684	750.0405065647926	854.773693871044	825.7738217551941	44.727952762427414	1593.689428053943	1378.535960805875	748.4539644705485	1.4203194393963083	145.36102380415176	111.2588625893938	1192.245302394982	1.1081985750230787
ENSDARG00000103634	0.8223054979453825	0.9997058626494543	0.7795908993050142	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	178	257	547	203	390	0	0	0	0	0	0	0	198.35147653406622	206.82447444973357	618.4672097188638	253.98800881258245	513.055928745491	0	0	0	0	0	0	0	0.9448796058855827
ENSDARG00000055876	0.43003810132096054	0.9997058626494543	-0.5148270410750933	1	20916551	20928772	-1	protein_coding	msmo1	methylsterol monooxygenase 1 [Source:NCBI gene;Acc:406662]	2092	1393	1464	1292	525	1460	356	292	448	363	215	248	2331.187016344194	1121.0369373870774	1655.276042099482	1616.514814708653	690.6522117727762	1093.4147391723482	260.07355699358317	289.46828824556314	318.15155442477305	371.59191296413445	291.7153104478008	258.0077094188094	0.9312521037299121
ENSDARG00000103973	0.6093647432516088	0.9997058626494543	0.900150816796191	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	136	333	618	215	442	3	1	4	1	0	0	4	151.54944274512926	267.98657584342914	698.7435751485518	269.00207829904053	581.4633859115564	2.2467426147377014	0.7305436994201775	3.9653190170625088	0.7101597196981542	0	0	4.161414668045312	0.9206083247996668
ENSDARG00000079946	0.4424953605268073	0.9997058626494543	-0.5594831226063718	16	43401005	43413293	1	protein_coding	sqlea	squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]	1005	809	612	609	244	821	94	138	272	142	69	69	1119.905808520992	651.0544740460485	691.9596569432262	761.9640264377474	320.9888374715379	614.8585622332176	68.67110774549668	136.80350608865655	193.16344375789794	145.36102380415176	93.62026242278259	71.78440302378164	0.8620948455880523
ENSDARG00000042641	0.6341128848464301	0.9997058626494543	-0.3128831284729307	19	598657	617246	-1	protein_coding	cyp51	cytochrome P450, family 51 [Source:NCBI gene;Acc:414331]	2513	2089	2200	1748	811	2153	427	456	985	538	374	303	2800.321688371396	1681.153023834605	2487.436675286107	2187.0494551940596	1066.8932261861364	1612.4122831767572	311.9421596524158	452.046367945126	699.5073239026818	550.7340197650257	507.44895863943026	315.2271611044324	0.802231229135515
ENSDARG00000103025	0.4295088216588822	0.9997058626494543	-0.43707730456692073	10	6010570	6034397	1	protein_coding	hmgcs1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]	4234	3423	2558	3133	1367	4326	958	1009	1697	900	634	727	4718.0907395799795	2754.708856192366	2892.2104615372095	3919.9233084227626	1798.326806654067	3239.8028504517656	699.86086404453	1000.2517220540178	1205.1410443277675	921.3022635474408	860.2209619716544	756.3371159172356	0.7466424230849722
ENSDARG00000003902	0.11447225749016508	0.9131435709206688	-0.6104673683001075	17	27456804	27461321	1	protein_coding	ctsl.1	cathepsin L.1 [Source:ZFIN;Acc:ZDB-GENE-040718-61]	3166	2956	1704	1870	1164	1850	2108	1580	424	1008	2196	1615	3527.9818803755825	2378.8838384179476	1926.6327703125119	2339.69249497305	1531.2746181019268	1385.4912790882493	1539.986118377734	1566.301011739691	301.10772115201735	1031.8585351731338	2979.566612759863	1680.171172223295	0.6991950494703243
ENSDARG00000009153	0.0448436898390078	0.6887207449312542	-1.4726153983814065	8	39724138	39733667	1	protein_coding	pla2g1b	phospholipase A2, group IB (pancreas) [Source:ZFIN;Acc:ZDB-GENE-070117-1]	398	309	132	338	51	72	96	158	31	198	165	179	443.5049868570694	248.6722280348937	149.24620051716641	422.8962905352358	67.09192914364112	53.92182275370484	70.13219514433703	156.63010117396908	22.01495131064278	202.68649798043697	223.87454057621923	186.22330639502772	0.665283227956474
ENSDARG00000045414	0.2232493148796106	0.9997058626494543	-0.5927613285517959	24	8861272	8887825	-1	protein_coding	elovl2	ELOVL fatty acid elongase 2 [Source:ZFIN;Acc:ZDB-GENE-060421-5612]	1116	719	757	630	259	568	411	310	377	192	148	350	1243.5968978203252	578.6256697640406	855.904346905265	788.2386480390489	340.721757807903	425.3832683903382	300.25346046169295	307.31222382234444	267.73021432620413	196.5444828901207	200.8086788198815	364.12378345396485	0.6605625170166715
