Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	% variance explained
ENSDARG00000020711	NA	NA	-0.18771733473706886	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	11	4	351	361	9	7	14	5	491	395	480	303	12.25767551615016	3.219057968089239	396.85921501155616	451.67325705094714	11.839752201819023	5.242399434387971	10.227611791882484	4.956648771328136	348.68842237179365	404.3493267791546	651.2713907671832	315.2271611044324	0.9285242706277823
ENSDARG00000099525	0.8875498213543198	0.9997058626494543	0.07571920670679336	12	3220285	3237561	-1	protein_coding	si:ch1073-13h15.3	si:ch1073-13h15.3 [Source:ZFIN;Acc:ZDB-GENE-121214-245]	909	1080	516	295	599	1202	1465	1240	1356	159	57	98	1012.9297312891359	869.1456513840944	583.4169656580142	369.0958748754277	788.0012854321772	900.1948743049057	1070.24651965056	1229.2488952893777	962.976579910697	162.7633998933812	77.33847765360301	101.95465936711015	0.8565557141446594
ENSDARG00000029822	0.34633171127017603	0.9997058626494543	-0.6757636448853509	21	11385031	11393979	1	protein_coding	cel.2	carboxyl ester lipase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-061110-10]	2475	386	733	867	204	1257	381	741	1359	698	1587	3058	2757.976991133786	310.6390939206115	828.768674083962	1084.766520396596	268.3677165745645	941.385155575097	278.3371494790876	734.5753479108297	965.1070590697915	714.5210888401263	2153.2660357239993	3181.401513720641	0.7924994260881066
ENSDARG00000013856	0.3724615645613448	0.9997058626494543	-0.6110169220387154	2	15612755	15626972	1	protein_coding	amy2a	amylase alpha 2A [Source:ZFIN;Acc:ZDB-GENE-040426-2393]	3271	734	1220	1114	314	1522	545	1022	1034	1070	2246	4410	3644.986964847925	590.6971371443753	1379.3967017495684	1393.8061173261913	413.07579904124145	1139.8474198769272	398.1463161839967	1013.139008859471	734.3051501678914	1095.3260244397352	3047.4073826314448	4587.959671519957	0.7920917076155479
ENSDARG00000017490	0.4750000954087898	0.9997058626494543	-0.510939615370537	21	11401247	11411365	1	protein_coding	cel.1	carboxyl ester lipase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1201]	2497	367	681	629	183	1456	518	883	1037	704	1768	2765	2782.4923421660865	295.3485685721877	769.9747163044722	786.9874755818441	240.74162810365345	1090.4190823526978	378.42163629965194	875.3441730165488	736.4356293269858	720.6631039304426	2398.8496226591246	2876.5778892863223	0.7660788232233411
ENSDARG00000103659	0.4461513262321128	0.9997058626494543	0.26109476109408913	7	65240227	65252938	1	protein_coding	bco1l	beta-carotene oxygenase 1, like [Source:ZFIN;Acc:ZDB-GENE-040426-1191]	422	653	536	137	466	654	847	439	197	162	49	63	470.24900616503345	525.5112132905682	606.0300263424333	171.41062663706305	613.0360584497405	489.78989001281894	618.7705134088903	435.19376212261034	139.90146478053637	165.83440743853933	66.48395447414995	65.54228102171366	0.7536797650239807
ENSDARG00000079361	4.612211725388649e-4	0.034032714076621846	-1.7955800241750492	1	8673061	8691969	-1	protein_coding	abcg2b	ATP-binding cassette, sub-family G (WHITE), member 2b [Source:ZFIN;Acc:ZDB-GENE-050517-36]	219	269	69	304	50	96	149	58	127	470	345	472	244.03917618517139	216.4816483540013	78.01505936124607	380.35642699027125	65.7764011212168	71.89576367160645	108.85101121360644	57.49712574740638	90.19028440166558	481.124515408108	468.1013121139129	491.0469308293469	0.742740664418694
ENSDARG00000045442	0.3122509184082918	0.9997058626494543	-0.6600708223241759	24	4755391	4765740	-1	protein_coding	cpb1	carboxypeptidase B1 (tissue) [Source:ZFIN;Acc:ZDB-GENE-030131-1132]	6907	1877	3662	3343	787	2473	1302	2065	3352	1919	5135	8414	7696.7058900044685	1510.5429515258752	4140.451411317147	4182.669524435779	1035.3205536479522	1852.0648287487786	951.1678966450711	2047.0959425585202	2380.4553804282127	1964.4211597194876	6967.247065811429	8753.535754233315	0.7425885908633941
ENSDARG00000052578	0.5088786933140663	0.9997058626494543	-0.41707574457951957	7	38635538	38638809	-1	protein_coding	c6ast4	six-cysteine containing astacin protease 4 [Source:ZFIN;Acc:ZDB-GENE-050626-100]	4217	1095	1741	1717	531	2661	1071	1728	1142	2041	3271	5559	4699.147059236839	881.2171187644291	1968.4669325786874	2148.2631090207096	698.5453799073223	1992.8606992723414	782.41230207901	1713.0178153710037	811.002399895292	2089.308799889252	4438.143164998867	5783.326034915973	0.7402762920319073
ENSDARG00000101557	0.6351576023845666	0.9997058626494543	0.22926187987727323	10	44699734	44748270	1	protein_coding	scarb1	scavenger receptor class B, member 1 [Source:ZFIN;Acc:ZDB-GENE-031126-1]	634	776	567	130	509	840	1242	884	627	166	90	108	706.487843385382	624.4972458093123	641.080270403283	162.65241943662915	669.6037634139869	629.0879321265564	907.3352746798604	876.3355027708144	445.27014425074265	169.92908416541687	122.11338576884685	112.35819603722344	0.7394219450239097
