Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000105265	0.8981583966788345	0.9997058626486705	-0.26545490659294546	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	311	279	248	0	323	282	222	0	328	0	899	342	323.549990440523	315.4521965476472	336.49021856304466	0	320.19951062779757	370.9789023236627	277.7602854994744	0	232.93238806099455	0	656.7587857787396	275.2294562716299	1.1153832838143962
ENSDARG00000095351	0.058470016982829894	0.749564290292861	-0.8870447030051581	8	44340504	44344742	-1	processed_transcript	CU914776.1	NA	244	152	154	413	198	125	490	242	292	202	190	724	253.84629475076406	171.85926120158558	208.94957120447128	309.30156662889027	196.28329134459418	164.44100280304198	613.0745040303715	247.72794197608962	207.366638151861	225.0954958420302	138.80330288983373	582.6494922241521	0.8923356907996051
ENSDARG00000103634	0.8223054979453825	0.9997058626486705	0.7795908993050142	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	547	0	0	0	390	203	0	0	178	0	257	0	618.4672097188638	0	0	0	513.055928745491	253.98800881258245	0	0	198.35147653406622	0	206.82447444973357	0.7961311681245004
ENSDARG00000056498	0.997591400773781	0.9997058626486705	0.001994355046349344	24	38109799	38113208	-1	protein_coding	crp2	C-reactive protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5826]	193	186	244	590	238	881	590	235	211	160	408	1030	200.78825773318633	210.30146436509813	331.06295697331814	441.85938089841466	235.93648151521927	1158.9801877558398	738.1917497508554	240.562257704054	149.84370085631053	178.29346205309324	298.0618293634324	828.907426782979	0.7596898687073879
ENSDARG00000043249	0.030198405752192438	0.5756603043994424	1.5425990811933246	21	45626136	45633317	1	protein_coding	irf1b	interferon regulatory factor 1b [Source:ZFIN;Acc:ZDB-GENE-041114-13]	138	428	41	86	51	130	79	41	80	56	95	42	143.56880604756327	483.9194986465699	55.6294312946969	64.40662162248078	50.55781746754698	171.01864291516367	98.84262411918233	41.970436450494525	56.81277757585233	62.40271171858264	69.40165144491687	33.80010866493701	0.7374061980596885
ENSDARG00000104572	0.80417648315611	0.9997058626486705	0.12923943793252385	14	13036560	13048355	-1	protein_coding	si:dkey-35h6.1	si:dkey-35h6.1 [Source:ZFIN;Acc:ZDB-GENE-141216-112]	766	494	554	812	1495	485	345	952	1530	847	1861	335	796.9109089306774	558.5425989051531	751.6757301771239	608.1183343890045	1482.0379826271126	638.0310908758029	431.6544977356697	974.5330609968485	1086.5443711381758	943.8410147435624	1359.5418246209504	269.5961048274737	0.7296420228423504
ENSDARG00000079946	0.4424953605268095	0.9997058626486705	-0.5594831226063688	16	43401005	43413293	1	protein_coding	sqlea	squalene epoxidase a [Source:ZFIN;Acc:ZDB-GENE-071004-98]	69	612	69	821	138	244	609	142	272	1005	94	809	71.78440302378164	691.9596569432262	93.62026242278259	614.8585622332176	136.80350608865655	320.9888374715379	761.9640264377474	145.36102380415176	193.16344375789794	1119.905808520992	68.67110774549668	651.0544740460485	0.7258760706506006
ENSDARG00000103025	0.4295088216588848	0.9997058626486705	-0.437077304566918	10	6010570	6034397	1	protein_coding	hmgcs1	3-hydroxy-3-methylglutaryl-CoA synthase 1 (soluble) [Source:ZFIN;Acc:ZDB-GENE-040426-1042]	727	2558	634	4326	1009	1367	3133	900	1697	4234	958	3423	756.3371159172356	2892.2104615372095	860.2209619716544	3239.8028504517656	1000.2517220540178	1798.326806654067	3919.9233084227626	921.3022635474408	1205.1410443277675	4718.0907395799795	699.86086404453	2754.708856192366	0.7174600798300952
ENSDARG00000103973	0.6093647432516092	0.9997058626486705	0.9001508167961908	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	618	0	3	4	442	215	0	1	136	1	333	4.161414668045312	698.7435751485518	0	2.2467426147377014	3.9653190170625088	581.4633859115564	269.00207829904053	0	0.7101597196981542	151.54944274512926	0.7305436994201775	267.98657584342914	0.7162419128690171
ENSDARG00000056909	0.875140352038537	0.9997058626486705	-0.11134574933688562	24	33552198	33578392	-1	protein_coding	LO018309.1	epidermal growth factor receptor-like [Source:NCBI gene;Acc:571431]	496	292	127	398	334	89	55	343	358	522	576	114	516.0154188376188	330.15068599251964	172.31555547381723	298.06785355520174	331.10413792471945	117.08199399576588	68.81448514626618	351.1185293297469	254.2371796519392	581.6824199482166	420.79317086602225	91.7431520905433	0.7149551347939453
