Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	% variance explained
ENSDARG00000078674	2.651959325849186e-62	1.5018708652115403e-58	5.150907121855744	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	39	96	1949	35	1316	2881	57	1277	104	37	570	1072	43.45903137544148	77.25739123414172	2203.6427636966464	43.791036002169385	1731.2348775104258	2157.621824353106	41.64099086695012	1265.9280961972058	73.85661084860803	37.87575972361701	773.38477653603	1115.2591310361438	1.3391219893118496
ENSDARG00000052779	6.130491582390528e-8	1.322609769675168e-5	3.496288867653052	12	46120836	46145909	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	214	213	1395	98	1093	2443	35	1459	39	152	959	1772	238.46750549601222	171.41483680075197	1577.260982738236	122.61490080607429	1437.872128509799	1829.5974026014017	25.569029479706213	1446.35011147355	27.69622906822801	155.59771562134554	1301.1859661369347	1843.5066979440733	1.2578362842436668
ENSDARG00000031588	2.062923556594721e-12	7.78856788792337e-10	2.823494541738634	12	38929663	38974869	1	protein_coding	si:dkey-239b22.1	si:dkey-239b22.1 [Source:ZFIN;Acc:ZDB-GENE-131119-12]	800	957	5047	659	4065	6523	503	4290	244	609	2993	5318	891.4673102654662	770.1596188653504	5706.405863713174	824.5226492979893	5347.621411154925	4885.167358644676	367.4634808083493	4252.804645799541	173.27897160634961	623.4145316671016	4060.9484845128736	5532.6008011662425	1.1892221191115306
ENSDARG00000043093	1.4214031596362444e-31	2.9271859795672586e-28	4.225430301248715	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	60	30	1143	31	523	1245	81	623	48	62	628	892	66.86004826990997	24.14293476066929	1292.3364181145546	38.78634617335003	688.0211557279276	932.3981851161461	59.17403965303438	617.5984369074857	34.0876665455114	63.467489266601476	852.0800695870647	927.9954709741046	1.1545999246474103
ENSDARG00000002204	1.1393058078601762e-99	1.2904347232728285e-95	3.66447912499607	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	126	273	1895	115	1442	3162	159	1483	183	146	1061	1309	140.40610136681093	219.70070632209053	2142.5874998487147	143.88483257855657	1896.9914083358922	2368.0667159335376	116.15644820780822	1470.1420255759251	129.9592287047622	149.4557005310293	1439.5811366749613	1361.8229501178284	1.1282482559546114
ENSDARG00000007344	1.7661662262419556e-187	4.000896352305902e-183	3.662553592125916	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	153	319	2984	208	1886	3956	296	2652	386	270	1373	1893	170.4931230882704	256.7198729551168	3373.868654115338	260.24387109860663	2481.0858502922974	2962.704594634116	216.24093502837252	2629.006508312443	274.1216518034875	276.39067906423224	1862.9075406736301	1969.3894916524441	1.1005020592060832
ENSDARG00000079227	3.8881275128438437e-16	2.0017671033739e-13	4.120322210380877	12	30517386	30523229	-1	protein_coding	plekhs1	pleckstrin homology domain containing, family S member 1 [Source:ZFIN;Acc:ZDB-GENE-080204-50]	61	39	878	44	383	943	14	638	8	12	405	408	67.9743824077418	31.385815188870076	992.7133640460008	55.05158811701295	503.8472325885206	706.2260952325508	10.227611791882484	632.4683832214702	5.681277757585233	12.284030180632543	549.5102359598109	424.46429614062185	1.09365822900262
ENSDARG00000062788	1.9444341111698493e-23	1.8353027466804415e-20	3.576621420649644	14	11427052	11430610	-1	protein_coding	irg1l	immunoresponsive gene 1, like [Source:ZFIN;Acc:ZDB-GENE-061103-301]	70	112	1961	110	865	1522	180	728	175	104	984	923	78.00338964822829	90.13362310649869	2217.210600107298	137.62897029253236	1137.9317393970505	1139.8474198769272	131.49786589563195	721.6880611053766	124.27795094717698	106.46159489881538	1335.1063510727256	960.2464346514558	1.0482725073346493
ENSDARG00000104919	7.938066231901134e-26	9.990056352847577e-23	3.985448231885158	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	39	53	1242	35	566	866	98	413	70	55	555	512	43.45903137544148	42.652518077182414	1404.2710685024294	43.791036002169385	744.5888606921741	648.5597014542832	71.5932825431774	409.419188511704	49.711180378870786	56.30180499456583	753.0325455745556	532.6610775098	1.0129736270450471
ENSDARG00000103199	1.8462382264188714e-13	7.46836331126191e-11	2.393651504445758	16	23339062	23346095	-1	protein_coding	si:dkey-247k7.2	si:dkey-247k7.2 [Source:ZFIN;Acc:ZDB-GENE-031118-45]	361	631	1985	338	1646	3195	427	1856	215	485	1449	2472	402.27462375729164	507.8063944660774	2244.346272928601	422.8962905352358	2165.3591249104566	2392.7808846956523	311.9421596524158	1839.9080239170041	152.68433973510315	496.47955313389866	1966.0255108784343	2571.754264852003	0.9252241040584039
