Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000007344	1.7661662414724036e-187	4.000896386807436e-183	3.6625535921259247	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	1893	2984	1373	3956	2652	1886	208	270	386	153	296	319	1969.3894916524441	3373.868654115338	1862.9075406736301	2962.704594634116	2629.006508312443	2481.0858502922974	260.24387109860663	276.39067906423224	274.1216518034875	170.4931230882704	216.24093502837252	256.7198729551168
ENSDARG00000002204	1.1393058138123919e-99	1.2904347300146057e-95	3.664479124996117	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	1309	1895	1061	3162	1483	1442	115	146	183	126	159	273	1361.8229501178284	2142.5874998487147	1439.5811366749613	2368.0667159335376	1470.1420255759251	1896.9914083358922	143.88483257855657	149.4557005310293	129.9592287047622	140.40610136681093	116.15644820780822	219.70070632209053
ENSDARG00000056210	4.204806901118544e-81	3.1750496910346124e-77	4.407472458152901	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	154	343	135	753	376	289	14	16	36	17	22	34	160.2144647197445	387.81399073778846	183.17007865327028	563.9323962991631	372.7399876038758	380.187598480633	17.516414400867756	16.378706907510058	25.565749909133547	18.943680343141157	16.071961387243906	27.36199272875853
ENSDARG00000078674	2.651959325858479e-62	1.501870865216803e-58	5.150907121855746	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	1072	1949	570	2881	1277	1316	35	37	104	39	57	96	1115.2591310361438	2203.6427636966464	773.38477653603	2157.621824353106	1265.9280961972058	1731.2348775104258	43.791036002169385	37.87575972361701	73.85661084860803	43.45903137544148	41.64099086695012	77.25739123414172
ENSDARG00000113315	1.5703954217972463e-57	7.114833497994605e-54	3.0675664666667735	12	46098784	46112892	-1	protein_coding	zgc:153932	zgc:153932 [Source:ZFIN;Acc:ZDB-GENE-070209-223]	454	332	248	459	297	285	33	53	41	32	55	59	472.32056482314294	375.376807361358	336.49021856304466	343.75162005486834	294.42493701689125	374.9254863909357	41.28869108775971	54.254466631127066	29.11654850762432	35.65869241061865	40.179903468109764	47.48110502931627
ENSDARG00000077301	1.1374012483689687e-52	4.2942584132170415e-49	1.3432358508941227	15	1148074	1162658	1	protein_coding	mlf1	myeloid leukemia factor 1 [Source:ZFIN;Acc:ZDB-GENE-080917-7]	903	1067	705	1539	1088	836	380	439	580	342	669	547	939.4393613112293	1206.4067875137619	956.5548551893003	1152.5789613604409	1078.5667726410024	1099.7814267467447	475.44553373783907	449.3907707748072	411.8926374249294	381.1022751384868	488.7337349120987	440.2061771362034
ENSDARG00000089086	6.17233884893097e-38	1.9974570277833326e-34	1.8060459002097733	11	18249809	18253111	-1	protein_coding	mustn1b	musculoskeletal, embryonic nuclear protein 1b [Source:ZFIN;Acc:ZDB-GENE-111129-2]	378	446	405	689	413	397	122	146	244	128	166	179	393.253686130282	504.27125326254713	549.5102359598109	516.0018871847589	409.419188511704	522.2646249024613	152.64303977899044	149.4557005310293	173.27897160634961	142.6347696424746	121.27025410374947	144.05284407199343
ENSDARG00000109626	1.9944891257840686e-34	5.647645270798313e-31	3.164018995613434	12	46283843	46315898	-1	protein_coding	si:ch211-226h7.3	si:ch211-226h7.3 [Source:ZFIN;Acc:ZDB-GENE-130531-9]	259	236	208	436	346	176	29	25	17	26	22	62	269.45159975593396	266.834116076146	282.2176026657794	326.5265933418793	343.000094975907	231.5329319466831	36.28400125894035	25.591729542984467	12.072715234868621	28.97268758362765	16.071961387243906	49.8953985053832
ENSDARG00000009341	2.723550812029631e-34	6.855177393878581e-31	1.2549443449107307	12	30586599	30618440	1	protein_coding	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	1602	2178	1524	3006	2168	1723	813	697	1023	826	1089	1360	1666.6465745521475	2462.562308533246	2067.786665685807	2251.236099967177	2149.20290724788	2266.6547826371307	1017.2032077075346	713.4974196584069	726.4933932512117	920.4399978490939	795.5620886685733	1094.4797091503413
ENSDARG00000113076	3.791020120886135e-33	8.587797879843363e-30	2.764423934526945	12	43848634	44024244	-1	protein_coding	si:ch211-182p11.1	si:ch211-182p11.1 [Source:ZFIN;Acc:ZDB-GENE-131127-323]	522	474	379	701	483	286	69	67	49	83	50	88	543.0646141799133	535.9295382207339	514.2330356265884	524.9888576437096	478.81227131029794	376.24101441336006	86.33089954713394	68.58583517519837	34.79782626520955	92.48973344004212	36.52718497100887	70.81927529796324
ENSDARG00000043093	1.4214031596376417e-31	2.9271859795701365e-28	4.225430301248715	8	19356072	19359834	1	protein_coding	mpeg1.2	macrophage expressed 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-050522-305]	892	1143	628	1245	623	523	31	62	48	60	81	30	927.9954709741046	1292.3364181145546	852.0800695870647	932.3981851161461	617.5984369074857	688.0211557279276	38.78634617335003	63.467489266601476	34.0876665455114	66.86004826990997	59.17403965303438	24.14293476066929
ENSDARG00000026771	4.459664563330079e-30	8.418731779426356e-27	1.5398324169580406	1	30422143	30438036	1	protein_coding	tmem41ab	transmembrane protein 41ab [Source:NCBI gene;Acc:406356]	399	466	274	689	552	348	142	143	214	116	241	271	415.1011131375199	526.8843139469662	371.7674188962671	516.0018871847589	547.2140243546262	457.80375180366883	177.66648892308723	146.38469298587114	151.97418001540498	129.2627599884926	176.06103156026276	218.09117733804592
ENSDARG00000075263	5.243989327230877e-30	9.137853094597003e-27	2.555982723907813	17	23462972	23472265	1	protein_coding	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]	139	253	108	499	179	245	47	51	59	41	55	67	144.60915971457462	286.0552176579023	146.53606292261622	373.70818825137104	177.44802601354726	322.3043654939623	58.80510548862746	52.20712826768831	41.899423462191095	45.68769965110514	40.179903468109764	53.919220965494745
ENSDARG00000077169	1.364070052826332e-29	2.2071627790482073e-26	2.6806630481194285	14	11450498	11456724	-1	protein_coding	si:ch211-153b23.4	si:ch211-153b23.4 [Source:ZFIN;Acc:ZDB-GENE-030131-7332]	354	710	363	663	312	341	78	81	145	72	89	99	368.2851981220101	802.76365429688	492.5239892676823	496.53011785703205	309.2948833308757	448.5950556466985	97.59145166197749	82.91720371926966	102.97315935623234	80.23205792389196	65.01838924839579	79.67168471020865
ENSDARG00000097157	3.3774867781004467e-29	5.1006805322872945e-26	2.1528936760241635	15	29593547	29598679	-1	protein_coding	si:ch211-207n23.2	si:ch211-207n23.2 [Source:ZFIN;Acc:ZDB-GENE-131121-310]	891	857	534	1087	706	702	119	166	125	202	209	296	926.9551173070934	968.9696503273607	724.5394222284913	814.0697407399606	699.8788065115327	923.5006717418837	148.88952240737592	169.92908416541687	88.76996496226927	225.0954958420302	152.6836331788171	238.21028963860365
ENSDARG00000041294	1.4685974555312012e-28	2.0792586350092686e-25	2.0961151482335953	3	62161184	62169060	1	protein_coding	noxo1a	NADPH oxidase organizer 1a [Source:ZFIN;Acc:ZDB-GENE-030131-9700]	191	318	208	318	253	203	42	59	82	67	79	93	198.70755039916367	359.54766488226454	282.2176026657794	238.15471716219636	250.80642782920367	267.0521885521402	52.549243202603265	60.39648172144334	58.23309701524864	74.6603872347328	57.71295225419402	74.8430977580748
ENSDARG00000058365	5.83768495740415e-26	7.778886902357425e-23	1.633473248999168	5	15819651	15840485	1	protein_coding	hspb8	heat shock protein b8 [Source:ZFIN;Acc:ZDB-GENE-030131-2480]	723	1236	679	2426	952	1101	357	392	625	448	588	539	752.1757012491902	1397.4871502971037	921.2776548560779	1816.865861117888	943.7459260608771	1448.3963526891937	446.66856722212776	401.2783192339964	443.8498248113463	499.2216937486611	429.55969525906437	433.76806120002493
ENSDARG00000104919	7.938066231902332e-26	9.990056352849085e-23	3.985448231885162	14	11430796	11438060	1	protein_coding	si:ch211-153b23.3	si:ch211-153b23.3 [Source:ZFIN;Acc:ZDB-GENE-141216-408]	512	1242	555	866	413	566	35	55	70	39	98	53	532.6610775098	1404.2710685024294	753.0325455745556	648.5597014542832	409.419188511704	744.5888606921741	43.791036002169385	56.30180499456583	49.711180378870786	43.45903137544148	71.5932825431774	42.652518077182414
ENSDARG00000038583	5.087908721440416e-25	6.066126119304724e-22	1.257057373043749	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	1084	1273	700	1997	1199	993	511	498	967	421	796	724	1127.7433750402797	1439.3213125632792	949.7707782021422	1495.5816672103967	1188.604375364487	1306.3193262673653	639.349125631673	509.7872524962506	686.7244489481151	469.1346720272016	581.5127847384613	582.6494922241521
ENSDARG00000074390	6.0837880024538145e-25	6.8908024809793135e-22	1.2358330387478316	16	46649469	46664465	-1	protein_coding	tmem176l.4	transmembrane protein 176l.4 [Source:ZFIN;Acc:ZDB-GENE-030131-3532]	2390	2261	1579	2984	1982	1740	788	1064	1093	963	1118	1203	2486.4452641570742	2556.406510373585	2142.4115125445464	2234.7599874591006	1964.815572954473	2289.018759018344	985.9238962774136	1089.1840093494188	776.2045736300825	1073.103774732055	816.7478559517584	968.1316839028385
