Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_4 count	srpk3_wt_ttnb_wt_2 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_wt_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_3 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	% variance explained
ENSDARG00000068006	0.012939800886061658	0.35839764065315083	-2.810455590810594	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	779	13	32	65	24	55	19	30	75	44	55	210	868.0662933709978	10.461938396290025	36.18089709507065	81.32620971831457	31.572672538184058	41.19028127019119	13.880330288983371	29.739892627968814	53.26197897736156	45.041443995652664	74.62484685873974	218.47427007237889	0.7984280537613254
ENSDARG00000029822	0.34633171127017603	0.9997058626494543	-0.6757636448853509	21	11385031	11393979	1	protein_coding	cel.2	carboxyl ester lipase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-061110-10]	2475	386	733	867	204	1257	381	741	1359	698	1587	3058	2757.976991133786	310.6390939206115	828.768674083962	1084.766520396596	268.3677165745645	941.385155575097	278.3371494790876	734.5753479108297	965.1070590697915	714.5210888401263	2153.2660357239993	3181.401513720641	0.7652713229771624
ENSDARG00000017490	0.4750000954087898	0.9997058626494543	-0.510939615370537	21	11401247	11411365	1	protein_coding	cel.1	carboxyl ester lipase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1201]	2497	367	681	629	183	1456	518	883	1037	704	1768	2765	2782.4923421660865	295.3485685721877	769.9747163044722	786.9874755818441	240.74162810365345	1090.4190823526978	378.42163629965194	875.3441730165488	736.4356293269858	720.6631039304426	2398.8496226591246	2876.5778892863223	0.7289046497138038
ENSDARG00000104773	0.4289059746724364	0.9997058626494543	-1.7541270695103388	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	0	684	0	222	0	1	385	331	519	517	237	292	0	550.4589125432598	0	277.7602854994744	0	0.7489142049125672	281.2593242767683	328.1301486619226	368.572894523342	529.2369669489187	321.5652491912967	303.7832707673078	0.7074077206022091
ENSDARG00000018263	0.6098415953484833	0.9997058626494543	-0.33605670036581997	1	9954489	9966195	1	protein_coding	pdia2	protein disulfide isomerase family A, member 2 [Source:ZFIN;Acc:ZDB-GENE-040426-705]	2144	557	1173	1213	231	1455	445	995	1659	831	1705	2829	2389.1323915114494	448.2538220564265	1326.2560091411833	1517.6721905894706	303.8869731800216	1089.6701681477853	325.091946241979	986.373105494299	1178.1549749792377	850.6690900088037	2313.3702526209318	2943.160523975047	0.6604407287742013
ENSDARG00000104172	0.7090828154180968	0.9997058626494543	-0.20878533516242384	15	14854666	14858189	1	protein_coding	diabloa	diablo, IAP-binding mitochondrial protein a [Source:ZFIN;Acc:ZDB-GENE-040426-1303]	1858	435	1132	477	319	1087	1295	923	1186	551	394	726	2070.432828091545	350.0725540297047	1279.899234738124	596.8092620867085	419.65343915336314	814.0697407399606	946.0540907491298	914.9973631871738	842.2494275620109	564.0417191273776	534.5852665880628	755.2967622502242	0.63892402413395
ENSDARG00000115978	0.08784664428773109	0.8628818773181549	1.2824525142512613	4	77561226	77561679	-1	protein_coding	AL935186.10	NA	48	52	71	35	70	345	176	223	927	45	25	43	53.48803861592797	41.8477535851601	80.276365429688	43.791036002169385	92.0869615697035	258.37540069483566	128.57569109795125	221.06653520123487	658.3180601601889	46.06511317737204	33.92038493579079	44.735207681487104	0.6154112758589032
ENSDARG00000056498	0.997591400773778	0.9997058626494543	0.001994355046351835	24	38109799	38113208	-1	protein_coding	crp2	C-reactive protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-5826]	160	1030	186	590	881	590	408	238	211	235	244	193	178.29346205309324	828.907426782979	210.30146436509813	738.1917497508554	1158.9801877558398	441.85938089841466	298.0618293634324	235.93648151521927	149.84370085631053	240.562257704054	331.06295697331814	200.78825773318633	0.610458122071347
ENSDARG00000103277	0.7267781719179072	0.9997058626494543	0.2586874837183319	6	55852274	55864687	-1	protein_coding	cyp24a1	cytochrome P450, family 24, subfamily A, polypeptide 1 [Source:ZFIN;Acc:ZDB-GENE-060825-1]	358	64	416	79	43	281	250	139	204	60	49	60	398.9316213437961	51.50492748942782	470.3516622359184	98.84262411918233	56.56770496424644	210.44489158043137	182.63592485504438	137.79483584292217	144.87258281842344	61.42015090316272	66.48395447414995	62.421220020679684	0.6101166023454061
ENSDARG00000060350	0.2762324174224682	0.9997058626494543	-0.59455845335862	2	37207461	37215989	1	protein_coding	apoda.2	apolipoprotein Da, duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070912-551]	2771	833	1000	1276	302	1682	909	1207	1654	809	1546	2393	3087.8198959320084	670.368821854584	1130.6530342209576	1596.4960553933754	397.2894627721494	1259.673692662938	664.0642227729413	1196.535013398612	1174.6041763807468	828.1483680109773	2097.6366044293027	2489.566325158108	0.6035186950682339
