Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000020711	0.8955453640517452	0.996602748179683	0.17106490524355947	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	303	351	480	7	5	9	361	395	491	11	14	4	315.2271611044324	396.85921501155616	651.2713907671832	5.242399434387971	4.956648771328136	11.839752201819023	451.67325705094714	404.3493267791546	348.68842237179365	12.25767551615016	10.227611791882484	3.219057968089239	0.9285242706300058
ENSDARG00000099525	0.6854475671859247	0.9819917874083464	-0.27305656739140094	12	3220285	3237561	-1	protein_coding	si:ch1073-13h15.3	si:ch1073-13h15.3 [Source:ZFIN;Acc:ZDB-GENE-121214-245]	98	516	57	1202	1240	599	295	159	1356	909	1465	1080	101.95465936711015	583.4169656580142	77.33847765360301	900.1948743049057	1229.2488952893777	788.0012854321772	369.0958748754277	162.7633998933812	962.976579910697	1012.9297312891359	1070.24651965056	869.1456513840944	0.8565557141498499
ENSDARG00000029822	0.5400036235016585	0.9721132435167136	0.4080027350613964	21	11385031	11393979	1	protein_coding	cel.2	carboxyl ester lipase, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-061110-10]	3058	733	1587	1257	741	204	867	698	1359	2475	381	386	3181.401513720641	828.768674083962	2153.2660357239993	941.385155575097	734.5753479108297	268.3677165745645	1084.766520396596	714.5210888401263	965.1070590697915	2757.976991133786	278.3371494790876	310.6390939206115	0.7924994260920909
ENSDARG00000013856	0.387878025846651	0.948382440226287	0.5598122104132821	2	15612755	15626972	1	protein_coding	amy2a	amylase alpha 2A [Source:ZFIN;Acc:ZDB-GENE-040426-2393]	4410	1220	2246	1522	1022	314	1114	1070	1034	3271	545	734	4587.959671519957	1379.3967017495684	3047.4073826314448	1139.8474198769272	1013.139008859471	413.07579904124145	1393.8061173261913	1095.3260244397352	734.3051501678914	3644.986964847925	398.1463161839967	590.6971371443753	0.7920917076191476
ENSDARG00000017490	0.4140654681299208	0.9528608233530772	0.5338808858235506	21	11401247	11411365	1	protein_coding	cel.1	carboxyl ester lipase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1201]	2765	681	1768	1456	883	183	629	704	1037	2497	518	367	2876.5778892863223	769.9747163044722	2398.8496226591246	1090.4190823526978	875.3441730165488	240.74162810365345	786.9874755818441	720.6631039304426	736.4356293269858	2782.4923421660865	378.42163629965194	295.3485685721877	0.7660788232262168
ENSDARG00000103659	0.8478608348650716	0.9945312642789786	0.12174972047395104	7	65240227	65252938	1	protein_coding	bco1l	beta-carotene oxygenase 1, like [Source:ZFIN;Acc:ZDB-GENE-040426-1191]	63	536	49	654	439	466	137	162	197	422	847	653	65.54228102171366	606.0300263424333	66.48395447414995	489.78989001281894	435.19376212261034	613.0360584497405	171.41062663706305	165.83440743853933	139.90146478053637	470.24900616503345	618.7705134088903	525.5112132905682	0.7536797650262437
ENSDARG00000079361	0.6554869843180413	0.9809909892422722	-0.3036202132751346	1	8673061	8691969	-1	protein_coding	abcg2b	ATP-binding cassette, sub-family G (WHITE), member 2b [Source:ZFIN;Acc:ZDB-GENE-050517-36]	472	69	345	96	58	50	304	470	127	219	149	269	491.0469308293469	78.01505936124607	468.1013121139129	71.89576367160645	57.49712574740638	65.7764011212168	380.35642699027125	481.124515408108	90.19028440166558	244.03917618517139	108.85101121360644	216.4816483540013	0.7427406644187504
ENSDARG00000045442	0.5177211352613803	0.969329532812638	0.4081944085125266	24	4755391	4765740	-1	protein_coding	cpb1	carboxypeptidase B1 (tissue) [Source:ZFIN;Acc:ZDB-GENE-030131-1132]	8414	3662	5135	2473	2065	787	3343	1919	3352	6907	1302	1877	8753.535754233315	4140.451411317147	6967.247065811429	1852.0648287487786	2047.0959425585202	1035.3205536479522	4182.669524435779	1964.4211597194876	2380.4553804282127	7696.7058900044685	951.1678966450711	1510.5429515258752	0.7425885908685159
ENSDARG00000052578	0.37591802044894174	0.9438718200779753	0.540360413586276	7	38635538	38638809	-1	protein_coding	c6ast4	six-cysteine containing astacin protease 4 [Source:ZFIN;Acc:ZDB-GENE-050626-100]	5559	1741	3271	2661	1728	531	1717	2041	1142	4217	1071	1095	5783.326034915973	1968.4669325786874	4438.143164998867	1992.8606992723414	1713.0178153710037	698.5453799073223	2148.2631090207096	2089.308799889252	811.002399895292	4699.147059236839	782.41230207901	881.2171187644291	0.7402762920350245
ENSDARG00000101557	0.9783957187985458	0.9993590626662642	0.016234765166894233	10	44699734	44748270	1	protein_coding	scarb1	scavenger receptor class B, member 1 [Source:ZFIN;Acc:ZDB-GENE-031126-1]	108	567	90	840	884	509	130	166	627	634	1242	776	112.35819603722344	641.080270403283	122.11338576884685	629.0879321265564	876.3355027708144	669.6037634139869	162.65241943662915	169.92908416541687	445.27014425074265	706.487843385382	907.3352746798604	624.4972458093123	0.739421945027562
