Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000105265	0.8938323008026078	0.9964870796352185	0.20792666819034064	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	311	279	248	0	323	282	222	0	328	0	899	342	323.549990440523	315.4521965476472	336.49021856304466	0	320.19951062779757	370.9789023236627	277.7602854994744	0	232.93238806099455	0	656.7587857787396	275.2294562716299	1.4065067431795957
ENSDARG00000035438	0.7448930014034664	0.9869354588819628	0.18769237441400938	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	794	1117	607	1504	1261	908	573	35	1374	1023	1761	1910	826.0408116069945	1262.9394392248098	823.5869462410004	1126.366964188501	1250.066820128956	1194.4994443612968	716.9218179783732	35.828421360178254	975.7594548652638	1139.963823001965	1286.4874546789326	1537.1001797626116	1.0139974417843522
ENSDARG00000104773	0.5275691468153301	0.9703418607549248	-1.0729655262615625	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	292	0	237	1	331	0	222	517	519	0	385	684	303.7832707673078	0	321.5652491912967	0.7489142049125672	328.1301486619226	0	277.7602854994744	529.2369669489187	368.572894523342	0	281.2593242767683	550.4589125432598	0.943311668866877
ENSDARG00000092788	0.8514916665022814	0.9953775465118851	0.13762036114553813	22	19289970	19291261	1	protein_coding	si:dkey-21e2.15	si:dkey-21e2.15 [Source:ZFIN;Acc:ZDB-GENE-050208-780]	356	35	275	196	308	43	248	73	16	216	327	371	370.3659054560328	39.57285619773352	373.1242342936987	146.78718416286318	305.3295643138132	56.56770496424644	310.29076938680026	74.72785026551465	11.362555515170467	240.6961737716759	238.88778971039804	298.5676265402769	0.8889334595686742
ENSDARG00000007708	0.8332068857871682	0.9932238588663227	-0.08212927803904663	21	3789839	3796461	-1	protein_coding	nsa2	NSA2 ribosome biogenesis homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-030131-488]	4064	3673	5256	4678	880	3176	2784	6631	4765	3218	5423	5308	4227.9973027340375	4152.888594693578	7131.421728900656	3503.4206505809893	872.3701837537519	4178.11699921969	3483.2641208582736	6787.9503439812	3383.9110643617046	3585.927255542838	3961.7384819556223	4271.6899236544195	0.8827537369781348
ENSDARG00000095147	0.9322053162779261	0.9993590626662642	0.03674254299859127	22	11775269	11779560	1	protein_coding	krt96	keratin 96 [Source:ZFIN;Acc:ZDB-GENE-030131-221]	261	406	133	268	456	256	355	59	611	217	366	503	271.53230708995665	459.0451318937088	180.45644785840702	200.709006916568	452.046367945126	336.77517374062995	444.1662223077181	60.39648172144334	433.9075887355722	241.81050790950772	267.37899398778495	404.79653948722176	0.7761918845638522
ENSDARG00000090600	0.19659830777759763	0.8494952262078398	1.1575316695287834	22	8979955	8996337	1	protein_coding	si:ch211-213a13.1	si:ch211-213a13.1 [Source:ZFIN;Acc:ZDB-GENE-050208-471]	263	142	192	173	18	101	12	241	17	14	192	9	273.6130144239793	160.552730859376	260.5085563068733	129.56215744987412	17.843935576781288	132.86833026485792	15.014069486458077	246.70427279437024	12.072715234868621	15.60067792964566	140.26439028867406	7.242880428200787	0.7481978836723923
ENSDARG00000094077	0.9889210601227766	0.9993590626662642	-0.009208532254256998	22	19311411	19313738	1	protein_coding	si:dkey-21e2.16	si:dkey-21e2.16 [Source:ZFIN;Acc:ZDB-GENE-050208-698]	187	44	164	183	283	44	175	55	15	189	249	336	194.54613573111834	49.748733505722136	222.5177251787876	137.0512994989998	280.5463204571725	57.88323298667078	218.95518001084693	56.30180499456583	10.652395795472312	210.60915205021638	181.90538115562418	270.40086931949605	0.7228602400608306
ENSDARG00000023587	0.46689957107432956	0.9621115102460797	-0.37102481264164566	17	48683769	48705993	-1	protein_coding	kcnk5a	potassium channel, subfamily K, member 5a [Source:ZFIN;Acc:ZDB-GENE-051113-112]	731	396	685	535	50	345	302	863	959	654	646	981	760.4985305852808	447.73860155149924	929.4185472406676	400.6690996282235	49.56648771328136	453.85716773639587	377.8540820758616	883.4265038238237	681.0431711905298	728.7745261420187	471.9312298254346	789.4739666738858	0.694355679407065
ENSDARG00000068621	0.793733842858939	0.992880156517376	-0.2187386496132032	15	42741272	42760110	-1	protein_coding	si:ch211-181d7.3	si:ch211-181d7.3 [Source:ZFIN;Acc:ZDB-GENE-121214-30]	0	398	132	468	163	149	254	194	214	340	501	178	0	449.99990761994115	179.09963246097539	350.49184789908145	161.58674994529724	196.01367534122605	317.79780413002925	198.59182125355946	151.97418001540498	378.8736068628231	366.0023934095089	143.24807957997112	0.6826103937676047
