Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count	% variance explained
ENSDARG00000105265	0.9485527028924217	0.9935217966565059	-0.07442885005001547	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	311	279	248	0	323	282	246	234	0	352	0	825	222	0	328	0	899	342	198.80796455130928	225.38281601946443	0	0	308.36453185825366	359.9123287372716	314.2568564932813	305.62761008793035	327.47713358961096	0	310.9059934802218	360.88741699514253	266.2799697434823	281.4282450848929	0	292.35222072754317	0	615.6852307773064	269.2740885570709	0	225.5045973944954	0	637.8271677604824	266.41251359028394	1.9955943460617218
ENSDARG00000035438	0.32544096461537486	0.8109706892481872	0.46947335563064474	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	681	1027	710	1188	1026	1127	794	1117	607	1504	1261	908	19	574	756	1219	32	615	573	35	1374	1023	1761	1910	773.6469934825236	829.634953591362	706.5666234867903	1631.3114552506881	941.6131240671675	1087.4562854876813	802.3149326548726	1223.6058798144022	801.52669390683	1092.4101488694807	1213.7846990048288	1162.0062930198205	20.566339126529122	690.3410798236262	1128.4907944163451	1012.4356734854407	31.097255088955784	458.96535385217385	695.0182556000074	34.71300197795743	944.6442585976728	1104.6282589039454	1249.4033842338258	1487.859359524685	1.1578113500164984
ENSDARG00000115161	0.9820541512795627	0.9974181598048526	0.011221465042683513	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	4	703	482	345	530	378	448	355	824	457	208	128	488	472	432	582	3	303	253	460	563	507	660	443	4.5441820468870695	567.9000704719839	479.6691725642717	473.73943776219477	486.4083389430787	364.7368907846881	452.6915489035049	388.8810092516677	1088.0691857977395	331.9357965647292	200.21190911419856	163.80705452261788	528.2301838813795	567.6672294020062	644.8518825236258	483.37781949838103	2.915367664589605	226.1243938491198	306.8754252474727	456.22802599601204	387.07039125945397	547.4550608644187	468.2602121489637	345.08989333478297	1.1437338963864025
ENSDARG00000045835	0.8988019902535392	0.9874917232641056	-0.091928133876319	4	5531583	5533803	1	protein_coding	si:dkey-14d8.6	si:dkey-14d8.6 [Source:ZFIN;Acc:ZDB-GENE-041210-124]	653	897	649	651	0	1038	1146	756	82	2128	755	34	806	631	711	77	581	185	660	142	2	2321	1887	932	741.8377191543141	724.6178708582781	645.8616037224323	893.9257216904023	0	1001.5790810436674	1158.0011496504835	828.1522337866501	108.27872965462942	1545.6441468046908	726.7307277943264	43.51124885757038	872.4457545253932	758.8941138827668	1061.318723320134	63.95204828415007	564.6095377088535	138.0627487197596	800.5445876021028	140.83560802485587	1.3750280328932645	2506.1995981584137	1338.7985156440825	726.013048731417	0.9539677687732994
ENSDARG00000068006	0.6998720405911945	0.9483133951769046	-0.290057057480417	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	302	342	293	14	74	298	210	32	55	55	30	24	24	789	13	28	13	23	65	44	75	779	19	13	343.08574453997375	276.2757099593435	291.58312772060503	19.2242090686108	67.91361713544873	287.54389802602395	212.19916354851793	35.05406280578413	72.6259772073734	39.94850943339191	28.876717660701715	30.713822722990855	25.97853363351047	948.9183135554723	19.405264983349852	23.25529028514548	12.633259879888287	17.164557948943088	78.8415124153586	43.639202486575066	51.56355123349742	841.1587621565723	13.480218228530774	10.126791452262255	0.891513686060644
ENSDARG00000035602	0.6636858113262122	0.9386585334933404	0.25074945314486796	5	20188438	20195350	-1	protein_coding	dao.1	D-amino-acid oxidase, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-050913-127]	104	205	121	272	369	158	7	187	93	329	189	232	6	84	218	425	8	171	30	4	428	153	469	252	118.14873321906381	165.60386123293983	120.41487527028399	373.4989190472956	338.65033409433215	152.4561606983617	7.073305451617264	204.847179521301	122.8039250961041	238.9647200651989	181.92332126242079	296.90028632224494	6.494633408377617	101.02552387662823	325.4113666438667	352.9820846852439	7.774313772238946	127.61475692475078	36.38839034555012	3.9672002260522783	294.2559990391586	165.2083319768364	332.7485446937333	196.30395738231448	0.849425977192992
ENSDARG00000095464	0.9570119625502526	0.9939790690364398	-0.019255684995148428	5	10046643	10056341	1	protein_coding	gstt2	glutathione S-transferase theta 2 [Source:NCBI gene;Acc:393493]	150	462	242	174	556	276	50	330	198	382	257	370	225	344	177	371	44	288	343	36	340	494	602	495	170.4068267582651	373.21455555911314	240.82975054056797	238.92945556701997	510.2698800987769	266.3158250173913	50.52361036869475	361.4950226846488	261.4535179465442	277.46055642828566	247.377214626678	473.5047669794423	243.54875281416065	413.7235739709537	264.21014631176337	308.13259627817763	42.7587257473142	214.93011692589604	416.04059628412307	35.704802034470504	233.75476559185498	533.4177516114848	427.1100722934487	385.597059143832	0.8196733371025268
ENSDARG00000096508	0.7500728883462304	0.9600619848136309	-0.1924726029285462	20	12203762	12208117	1	lincRNA	BX322618.1	NA	327	2013	34	31	693	595	347	567	308	39	40	455	132	417	568	496	193	1771	644	221	1345	36	61	834	371.48688233301795	1626.1491349361359	33.83558478669136	42.567891509066776	636.0018469576482	574.1228836425646	350.63385595874155	621.1141753399876	406.705472361291	28.32712487095063	38.50229021426895	582.2828891233682	142.88193498430758	501.5195649589758	847.8608085032857	411.9508564797199	187.55531975526458	1321.6709620686177	781.137446084476	219.1878124893884	924.7063521207205	38.87254870043209	43.27859536528301	649.672620860517	0.8127314379253638
ENSDARG00000052207	0.16380318741723168	0.6518060890037645	0.5579645990211939	1	56274613	56320569	1	protein_coding	c3a.3	complement component c3a, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-990415-37]	3290	288	2342	2353	295	1982	2814	2845	2320	3039	1570	956	1943	2062	103	1626	2196	1530	1107	2767	1284	1131	1674	900	3737.5897335646146	232.65322943944716	2330.674693247976	3231.0402813172295	270.73671695888345	1912.4563955959045	2843.4687915501404	3116.525271326745	3063.495765838296	2207.3367303286914	1511.2148909100563	1223.4339384658024	2103.1787854129516	2479.936074209612	153.7494071757719	1350.4679287016625	2134.0491304795905	1141.8162461688228	1342.7316037507996	2744.3107563716635	882.7679971174758	1221.2459050052416	1187.6781744505533	701.0855620796946	0.7723108736157113
ENSDARG00000003523	0.03401894822344695	0.32870015431949484	0.8712359884425213	14	16345003	16352209	1	protein_coding	itln3	intelectin 3 [Source:ZFIN;Acc:ZDB-GENE-090527-4]	269	407	176	233	32	273	182	243	101	616	30	95	11	60	117	264	210	264	78	107	112	45	206	92	305.5962426531554	328.7842513258854	175.14890948404943	319.94576521330833	29.368050653167018	263.4210877889414	183.90594174204887	266.1917894314232	133.36770359899478	447.4233056539894	28.876717660701715	121.57554827850547	11.906827915358965	72.16108848330587	174.64738485014865	219.2641655456574	204.07573652127235	197.01927384873804	94.60981489843032	106.12260604689845	77.00156984202282	48.59068587554012	146.1539450040705	71.6665241237021	0.7133707551374223
