Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_wt_8 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_7 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_wt_ttnb_wt_2 count	srpk3_wt_ttnb_wt_3 count	srpk3_wt_ttnb_wt_4 count	srpk3_wt_ttnb_wt_5 count	srpk3_wt_ttnb_wt_6 count	srpk3_wt_ttnb_wt_7 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_7 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_wt_ttnb_wt_2 normalised count	srpk3_wt_ttnb_wt_3 normalised count	srpk3_wt_ttnb_wt_4 normalised count	srpk3_wt_ttnb_wt_5 normalised count	srpk3_wt_ttnb_wt_6 normalised count	srpk3_wt_ttnb_wt_7 normalised count
ENSDARG00000104899	1.7174742008645133e-74	4.0738488044506255e-70	6.744762653536735	8	7828414	7848287	1	processed_transcript	CR931813.2	NA	152	308	349	173	144	90	119	214	131	152	142	155	2	1	0	5	5	1	1	3	2	0	1	1	172.67891778170863	248.80970370607545	347.3123261928026	237.5562977764049	132.15622793925158	86.84211685349717	120.2461926774935	234.42404501368136	172.9818729848348	110.4031533431922	136.6831302606548	198.3601050859826	2.1648778027925393	1.2026848080550978	0	4.152730408061693	4.858946107649341	0.7462851282149169	1.2129463448516709	2.975400169539209	1.3750280328932645	0	0.7094851699226723	0.7789839578663272
ENSDARG00000007344	3.329470315518675e-56	3.9487517942051484e-52	2.83591661014983	3	21240594	21242460	-1	protein_coding	tcap	titin-cap (telethonin) [Source:ZFIN;Acc:ZDB-GENE-070501-5]	1675	3061	1493	1880	2189	1896	1893	2984	1373	3956	2652	1886	387	255	299	724	401	306	208	270	386	153	296	319	1902.8762321339605	2472.7483865074573	1485.7802378391239	2581.5366463563078	2008.9582149932062	1829.4739283803406	1912.823888558783	3268.79135663937	1813.0084855586122	2873.3873330636075	2552.7018412060315	2413.594568981698	418.9038548403563	306.68462605404994	446.3210946170466	601.3153630873331	389.6874778334772	228.36324923376455	252.29283972914752	267.7860152585288	265.38041034840006	165.2083319768364	210.007610297111	248.4958825593584
ENSDARG00000002204	3.5129608011110806e-51	2.7775810067451613e-47	2.961109714824516	21	20383837	20384878	1	protein_coding	hspb11	heat shock protein, alpha-crystallin-related, b11 [Source:NCBI gene;Acc:796767]	857	2043	713	867	1462	1075	1309	1895	1061	3162	1483	1442	174	176	168	432	202	191	115	146	183	126	159	273	973.5910035455546	1650.3838463360782	709.5521162620865	1190.5278044632546	1341.7528142165681	1037.2808401945497	1322.7081194524285	2075.8577817800287	1401.0211239458758	2296.6761241524587	1427.4724096940215	1845.3888486063672	188.3443688429509	211.67252621769723	250.77573209252114	358.79590725653026	196.3014227490334	142.5404594890491	139.48882965794215	144.80280825090816	125.8150650097337	136.0539204515123	112.8081420177049	212.66262049750733
ENSDARG00000055618	1.6513454723933059e-49	7.902128505756382e-46	-1.513783420323701	13	24279021	24284442	1	protein_coding	acta1b	actin alpha 1, skeletal muscle b [Source:ZFIN;Acc:ZDB-GENE-030131-55]	4583	8048	6657	4007	5819	6594	8896	4833	5169	10543	5373	4434	23317	15808	10513	24346	23124	20897	16337	16724	23423	14933	19557	17816	5206.49658022086	6501.365244891218	6624.808468382483	5502.243266994535	5340.39646096184	6362.6324281328925	8989.160756798168	5294.258923136084	6825.521385180237	7657.766090113653	5171.820133031677	5674.3787480725605	25239.227863856817	19012.041445734987	15692.888520765922	20220.474902933995	22471.653958656672	15595.120324307118	19815.904435841745	16586.864145124575	16103.640807229467	16124.549159543123	13875.401468177703	13878.378193346487
ENSDARG00000077301	1.6657100560194735e-49	7.902128505756382e-46	1.1592978121853277	15	1148074	1162658	1	protein_coding	mlf1	myeloid leukemia factor 1 [Source:ZFIN;Acc:ZDB-GENE-080917-7]	745	1409	830	658	907	800	903	1067	705	1539	1088	836	383	425	307	385	490	590	380	439	580	342	669	547	846.3539062327167	1138.223612083962	825.9863344986421	903.5378262247077	832.4006857007026	771.9299275866415	912.4564032586271	1168.8339066803646	930.9329805672407	1117.831927599821	1047.2622938281154	1069.864824850848	414.5740992347712	511.1410434234166	458.26279614526186	319.76024142075033	476.17671854963544	440.3082256468009	460.9196110436349	435.40022480923756	398.7581295390467	369.28921265410486	474.6455786782678	426.104224952881
ENSDARG00000036371	4.573436243908417e-49	1.808031795091794e-45	-1.3480531723135838	1	53945934	53953532	1	protein_coding	acta1a	actin alpha 1, skeletal muscle a [Source:ZFIN;Acc:ZDB-GENE-050417-267]	785	1310	762	743	1193	1315	1150	1076	1097	1612	1448	1040	2956	2800	1641	4176	3129	3664	2419	2343	4777	3033	3480	3234	891.7957267015873	1058.249064464152	758.3151649252594	1020.2562384269876	1094.8776384133828	1268.859818470542	1162.043038479979	1178.6928618444913	1448.558127208884	1170.8544946659592	1393.7829057565361	1330.9323179962703	3199.6893925273725	3367.517462554274	2449.541525975162	3468.360436813126	3040.7284741669578	2734.3887097794554	2934.1172081961918	2323.787532410122	3284.2544565655626	3275.0122280114037	2469.0083913308995	2519.2341197397022
ENSDARG00000078674	9.872162172512043e-43	3.345252667599795e-39	3.841087089738927	3	33300522	33301321	1	protein_coding	hspb9	heat shock protein, alpha-crystallin-related, 9 [Source:ZFIN;Acc:ZDB-GENE-080214-6]	581	1524	825	684	1410	1211	1072	1949	570	2881	1277	1316	84	59	84	249	174	110	35	37	104	39	57	96	660.0424423103468	1231.1233391170747	821.0105132064817	939.2399287806992	1294.0297319051717	1168.5089278842786	1083.2262063048154	2135.0115127647896	752.6692183309606	2092.5755577745836	1229.1856150905362	1684.1412793106651	90.92486771728665	70.95840367525078	125.38786604626057	206.8059743214723	169.0913245461971	82.09136410364086	42.45312206980848	36.696602090983575	71.50145771044976	42.111927758801436	40.44065468559232	74.78245995516741
ENSDARG00000043701	2.745796631815043e-37	8.141287013331602e-34	1.9639182311211723	8	7033049	7052493	1	protein_coding	gpd1a	glycerol-3-phosphate dehydrogenase 1a [Source:ZFIN;Acc:ZDB-GENE-050417-209]	332	440	449	301	347	350	360	268	251	474	344	271	49	60	118	96	80	90	57	73	104	117	232	85	377.16710989162675	355.44243386582207	446.8287520360125	413.32049497513225	318.45979927027986	337.71934331915566	363.76999465460216	293.57777599844206	331.4385505281949	344.28351766232305	331.119695842713	346.81024824710505	53.039506168417205	72.16108848330587	176.14009754117558	79.7324238347845	77.74313772238946	67.16566153934251	69.13794165654524	72.40140412545408	71.50145771044976	126.3357832764043	164.60055942205997	66.21363641863782
ENSDARG00000053773	1.3342051903690789e-34	3.5163719017282837e-31	0.9250958112434999	17	27434626	27447527	1	protein_coding	vgll2b	vestigial-like family member 2b [Source:ZFIN;Acc:ZDB-GENE-050809-113]	211	330	200	201	250	207	223	266	161	313	232	211	110	95	93	181	143	165	115	106	185	105	160	157	239.7056029732929	266.58182539936655	199.0328516864198	276.0047159136265	229.43789572786733	199.7368687630435	225.33530224437857	291.38689707308055	212.59604237067484	227.3433355027576	223.31328324275992	270.0256914396279	119.06827915358964	114.2550567652343	138.82228026550277	150.32884077183328	138.96585867877116	123.13704615546128	139.48882965794215	105.13080599038538	127.19009304262697	113.37826704292694	113.51762718762757	122.30048138501338
ENSDARG00000099002	2.751164442134145e-32	6.525762056742191e-29	1.9304034917562334	19	19496479	19505167	-1	protein_coding	creb5a	cAMP responsive element binding protein 5a [Source:ZFIN;Acc:ZDB-GENE-120827-2]	53	97	51	60	88	91	58	104	29	101	62	56	20	19	12	16	25	24	11	11	26	20	29	29	60.21041212125367	78.35890019314714	50.75337718003705	82.38946743690343	80.7621392962093	87.80702926298048	58.60738802768591	113.92570411879842	38.293697072978695	73.3599900504106	59.67854983211688	71.66558635364532	21.648778027925392	22.85101135304686	17.91255229232294	13.288737305797417	24.294730538246707	17.910843077158003	13.342409793368379	10.909800621643766	17.87536442761244	21.59586038912894	20.575069927757497	22.59053477812349
ENSDARG00000089086	2.9114851859002806e-31	6.278220782686787e-28	1.6157733653687514	11	18249809	18253111	-1	protein_coding	mustn1b	musculoskeletal, embryonic nuclear protein 1b [Source:ZFIN;Acc:ZDB-GENE-111129-2]	441	890	325	432	571	544	378	446	405	689	413	397	103	177	114	374	171	174	122	146	244	128	166	179	500.9960706692994	718.9631048649583	323.42838399043217	593.2041655457048	524.0361538424489	524.9123507589162	381.9584943873323	488.56600035561627	534.7912867088404	500.4458727201278	397.53614646232694	508.057817542807	111.49120684381576	212.87521102575232	170.1692467770679	310.62423452301465	166.17595688160748	129.85361230939552	147.97945407190383	144.80280825090816	167.75342001297827	138.21350649042523	117.7745382071636	139.43812845807258
ENSDARG00000038583	5.964311538418813e-31	1.1789455807607855e-27	0.9933478449746325	6	52064304	52072829	1	protein_coding	abraa	actin binding Rho activating protein a [Source:ZFIN;Acc:ZDB-GENE-120730-1]	849	1524	1142	854	1194	1058	1084	1273	700	1997	1199	993	562	638	395	697	680	574	511	498	967	421	796	724	964.5026394517805	1231.1233391170747	1136.4775831294571	1172.6767531852588	1095.7953899962943	1020.8773292333334	1095.3518727933022	1394.4944359925998	924.3306190029341	1450.4940606997027	1154.1061491727119	1270.7844151637466	608.3306625847035	767.3129075391524	589.6215129556301	578.8906188838	660.8166706403105	428.3676635953623	619.8155822192037	493.91642814350865	664.8260539038935	454.5928611911642	564.7501952584471	563.984385495221
ENSDARG00000058365	7.177238586615621e-31	1.309569994419404e-27	1.3168140338545313	5	15819651	15840485	1	protein_coding	hspb8	heat shock protein b8 [Source:ZFIN;Acc:ZDB-GENE-030131-2480]	734	1729	826	676	1272	975	723	1236	679	2426	952	1101	406	394	322	544	459	567	357	392	625	448	588	539	833.8574056037772	1396.7272003500143	822.0056774649138	928.2546664557788	1167.3800134633889	940.7895992462194	730.571405931326	1353.963175873412	896.6007004328461	1762.0924342801598	916.354507099601	1408.9966174172055	439.4701939668854	473.8578143737086	480.6534865106655	451.81706839711217	446.05125268220957	423.14366769785784	433.0218451120465	388.78562215312326	429.6962602791452	483.7472727164883	417.1772799145313	419.8723532899504
ENSDARG00000041065	1.3444192893203398e-30	2.277830395905604e-27	1.3032851096882596	5	3568016	3584815	-1	protein_coding	hspb1	heat shock protein, alpha-crystallin-related, 1 [Source:NCBI gene;Acc:368243]	598	1458	680	596	1186	876	993	1017	734	1385	1147	676	368	330	300	639	312	383	315	248	547	467	565	426	679.3552160096169	1177.8069740372014	676.7116957338274	818.4020432065741	1088.4533773330027	845.2632707073725	1003.3989019222777	1114.0619335463268	969.2266776402195	1005.9761011863236	1104.0531718941622	865.1060066975757	398.3375157138272	396.88598665818233	447.8138073080735	530.7189461502843	303.1982371173189	285.82720410631316	382.0780986282763	245.96641401524127	376.0701669963079	504.2633400861608	400.85912100630986	331.8471660510554
ENSDARG00000100872	3.8361913101502664e-30	6.066297191784287e-27	1.8906189792378427	24	9298198	9299478	1	protein_coding	otud1	OTU deubiquitinase 1 [Source:ZFIN;Acc:ZDB-GENE-170421-2]	204	267	138	293	215	133	284	223	135	293	141	165	81	49	40	98	61	57	47	56	69	33	68	81	231.75328439124056	215.68893145948746	137.33266766362965	402.33523265021176	197.3165903259659	128.33335046127917	286.97410689418615	244.28300017780813	178.26376223628014	212.816604799706	135.72057300529806	211.1575312205621	87.67755101309783	58.931555594699795	59.708507641076466	81.39351599800918	59.279142513321965	42.53825230825026	57.00847820802853	55.5408031647319	47.43846713481763	35.633169642062754	48.244991554741716	63.09770058717251
ENSDARG00000056210	4.791002804818787e-29	7.102661658143852e-26	3.2781262726075586	8	24968098	24970790	-1	protein_coding	hspa1b	heat shock protein family A (Hsp70) member 1B [Source:ZFIN;Acc:ZDB-GENE-060503-867]	69	189	78	121	180	146	154	343	135	753	376	289	31	17	21	39	23	37	14	16	36	17	22	34	78.38714030880195	152.6786818196372	77.62281215770372	166.15209266442193	165.19528492406448	140.8772117845621	155.6127199355798	375.7357356994986	178.26376223628014	546.9314109698929	361.92152801412817	369.8456152893482	33.555605943284355	20.445641736936665	31.346966511565142	32.3912971828812	22.351152095186972	27.612549743951924	16.98124882792339	15.868800904209113	24.750504592078762	18.3564813307596	15.60867373829879	26.485454567455125
ENSDARG00000030722	8.872768073591677e-29	1.2380121100329093e-25	2.2165840659185316	2	23749614	23768832	-1	protein_coding	xirp1	xin actin binding repeat containing 1 [Source:NCBI gene;Acc:497637]	654	1586	875	542	1420	1186	613	1971	587	3523	858	1273	247	181	177	307	313	391	226	238	380	255	367	316	742.9737646660359	1281.2084093436222	870.7687261280867	744.251522513361	1303.2072477342865	1144.386117647196	619.4194631201976	2159.111180943766	775.1172476496033	2558.8836133425402	825.8741250960691	1629.1123469319732	267.3624086448786	217.68595025797273	264.21014631176337	254.97764705498793	304.1700263388488	291.7974851320325	274.1258739364776	236.04841345011056	261.25532624972027	275.347219961394	260.3810573616207	246.1589306857594
ENSDARG00000099197	1.950704258488489e-28	2.5705947228526088e-25	-0.5463286050195975	17	117024	125091	-1	protein_coding	actc1b	actin alpha cardiac muscle 1b [Source:ZFIN;Acc:ZDB-GENE-000322-1]	169404	232060	227643	155713	200956	195926	206084	174474	149463	263142	209883	153064	274700	268352	192715	403082	310544	323366	233386	252423	411210	242224	426059	397097	192450.65386771428	187463.5709156879	226542.17728225832	213818.5190500424	184427.68709555722	189051.4287404254	208242.15438444176	191125.70481176188	197361.75329719362	191129.64853312026	202024.40442603527	195882.52338632802	297345.96621355525	322742.87361120165	287668.12625125126	334778.1756684647	301783.3120107714	241323.2367703448	283084.695639552	250353.14566519856	282712.63870301965	261551.7843448184	302282.5420120838	309332.19271684496
ENSDARG00000101205	2.3878869681188495e-28	2.981088362304164e-25	-0.7264217868499458	8	7875110	7912936	1	protein_coding	mbd1a	methyl-CpG binding domain protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4214]	152	204	153	110	201	119	141	146	129	241	187	161	252	223	184	339	241	384	219	287	388	233	403	367	172.67891778170863	164.7960375196084	152.26013154011116	151.0473569676563	184.46806816520532	114.82457672851292	142.4765812397192	159.93416155139008	170.34092835911213	175.04710497177183	179.99820675170736	206.0385607667303	272.77460315185994	268.19871219628686	274.65913514895175	281.55512166658275	234.20120238869825	286.57348923452804	265.6352495225159	284.646616219251	266.75543838129335	251.59177353335215	285.9225234788369	285.8871125369421
ENSDARG00000039255	4.060442093265866e-27	4.815684322613317e-24	0.5362199099955198	23	24926407	24939148	1	protein_coding	klhl21	kelch-like family member 21 [Source:NCBI gene;Acc:404613]	873	1304	1034	806	1092	906	990	1064	664	1457	1020	887	644	692	443	849	779	872	551	700	1061	650	1012	834	991.7677317331029	1053.4021221841635	1028.9998432187904	1106.7651792357362	1002.1847285393245	874.2106429918715	1000.367485300156	1165.5475882923222	876.793615739926	1058.2723317173095	981.8084004638582	1135.1316981372036	697.0906524991976	832.2578871741277	661.2717221249218	705.1336232888755	757.0238035717674	650.7606318034075	668.3334360132706	694.2600395591487	729.4523714498769	701.8654626466906	717.9989919617443	649.672620860517
ENSDARG00000091131	5.425416045435861e-27	6.1281365998923165e-24	-0.6242151370617832	22	786556	809282	1	protein_coding	cry3b	cryptochrome circadian regulator 3b [Source:ZFIN;Acc:ZDB-GENE-010426-5]	220	344	312	210	282	263	304	275	253	432	393	255	385	373	304	598	478	587	365	498	688	408	678	626	249.93001257878882	277.89135738600635	310.4912486308149	288.36313602916204	258.80594638103435	253.77196369410842	307.18355104166403	301.2458522372074	334.0794951539176	313.7773831859147	378.28500135519243	326.3343664317778	416.73897703756376	448.60143340455153	453.7846580721811	496.66655680417847	464.51524789127706	438.06937026215616	442.7254158708598	493.91642814350865	473.00964331528303	440.5555519382304	481.0309452075718	487.6439576243209
ENSDARG00000052515	3.860753230595218e-26	4.162593937714481e-23	1.3526112385348048	12	20641102	20652923	1	protein_coding	calcoco2	calcium binding and coiled-coil domain 2 [Source:ZFIN;Acc:ZDB-GENE-050522-346]	141	411	147	184	261	202	283	279	160	267	264	186	101	70	76	137	115	145	68	86	114	62	117	87	160.1824171527692	332.01554617921107	146.28914598951854	252.66103347317053	239.53316313989347	194.91230671562698	285.96363468681227	305.62761008793035	211.2755700578135	193.93185488573891	254.11511541417508	238.0321261031791	109.32632904102323	84.18793656385685	113.44616451804528	113.78481318089038	111.75576047593485	108.21134359116294	82.48035144991361	85.29480486012399	78.37659787491609	66.94716720629971	83.00976488095266	67.77160433437047
ENSDARG00000075263	8.106016397720288e-26	8.359769954518488e-23	1.9225359845982337	17	23462972	23472265	1	protein_coding	ankrd1a	ankyrin repeat domain 1a (cardiac muscle) [Source:ZFIN;Acc:ZDB-GENE-100405-1]	108	268	106	70	195	173	139	253	108	499	179	245	45	42	36	69	65	68	47	51	59	41	55	67	122.69291526595087	216.4967551728189	105.48741139380249	96.121045343054	178.9615586677365	166.92984684061125	140.45563682497138	277.14618405823074	142.6110097890241	362.44193104113754	172.29774870885356	313.53694029719827	48.70975056283213	50.512761938314114	53.73765687696881	57.30767963125136	63.166299399441435	50.747388718614346	57.00847820802853	50.58180288216655	40.563326970351305	44.27151379771433	39.021684345746976	52.19192517704393
ENSDARG00000013685	2.5864385413032698e-23	2.556263424988065e-20	0.7826452879756263	8	6576940	6609288	1	protein_coding	vsig8b	V-set and immunoglobulin domain containing 8b [Source:ZFIN;Acc:ZDB-GENE-081104-51]	210	322	219	207	235	217	199	166	208	268	212	148	118	114	98	150	117	194	111	119	165	133	168	169	238.56955746157115	260.1192356927152	217.94097259662968	284.24366265731686	215.6716219841953	209.38599285787652	201.08396926740508	181.84295080500516	274.65824107515755	194.6581914208915	204.06213813562545	189.40190679177692	127.72779036475981	137.10606811828117	146.28584372063733	124.58191224185079	113.69933891899458	144.77931487369386	134.63704427853546	118.02420672505528	113.43981271369432	143.61247158770746	119.19350854700895	131.6482888794093
ENSDARG00000060238	1.5344223983756618e-22	1.4558599715788278e-19	0.6508320681687296	7	33798131	33869011	-1	protein_coding	uacab	uveal autoantigen with coiled-coil domains and ankyrin repeats b [Source:ZFIN;Acc:ZDB-GENE-030521-32]	2154	2824	2157	1908	2078	2025	2015	2315	1610	2370	1966	1935	1247	1285	1062	1591	1530	1803	1061	1185	1942	1191	2033	1908	2447.042032248687	2281.2941664479126	2146.5693054380376	2619.985064493529	1907.0877892900332	1953.9476292036863	2036.1014978583983	2535.9423561059457	2125.9604237067483	1721.4175883116152	1892.387564031319	2476.3019570411375	1349.801310041148	1545.4499783508008	1585.26087787058	1321.3988158452307	1486.8375089406984	1345.5520861714951	1286.9360718876228	1175.2830669679875	1335.1522199393598	1286.0334861726285	1442.3833504527927	1486.3013916089524
ENSDARG00000058656	1.6524815354593994e-22	1.5075716161960366e-19	1.020656473658729	9	7515864	7539326	-1	protein_coding	desma	desmin a [Source:ZFIN;Acc:ZDB-GENE-980526-221]	5647	11636	6147	8126	6930	6884	6620	5516	5644	6698	6247	3930	3579	3281	2363	4289	3505	3745	2622	3757	4692	3078	4309	3706	6415.249004692821	9399.83672832433	6117.2746965821125	11158.280206537955	6360.018469576482	6642.45702688305	6689.326012815184	6042.44407614704	7452.745733789371	4865.002112451983	6013.095174213454	5029.388470889752	3874.0488280972486	3946.008855228776	3527.280088896592	3562.2121440353203	3406.1212214621883	2794.8378051648638	3180.3453162010805	3726.1928123196026	3225.815765167599	3323.602913886944	3057.1715971967947	2886.914547852609
ENSDARG00000009341	2.085835459977562e-22	1.8324450781728802e-19	1.0340284116190408	12	30586599	30618440	1	protein_coding	nrap	nebulin-related anchoring protein [Source:ZFIN;Acc:ZDB-GENE-060616-224]	1182	2376	1251	1038	1822	1603	1602	2178	1524	3006	2168	1723	976	714	740	938	955	1001	813	697	1023	826	1089	1360	1342.805794855129	1919.3891428754391	1244.9504872985558	1425.3377866584294	1672.143384064697	1546.754592401733	1618.7764762129796	2385.8671497186824	2012.3998048006736	2183.3676246686564	2086.8241296133774	2204.9965229880518	1056.460367762759	858.7169529513399	1104.6073913599146	779.0522245523736	928.0587065610242	747.0314133431317	986.1253783644083	691.2846393896095	703.3268388249048	891.9090340710253	772.6293500457901	1059.418182698205
ENSDARG00000026771	3.528780812962397e-21	2.989381460123859e-18	1.1550031001605348	1	30422143	30438036	1	protein_coding	tmem41ab	transmembrane protein 41ab [Source:NCBI gene;Acc:406356]	272	663	282	249	384	416	399	466	274	689	552	348	193	159	160	264	265	208	142	143	214	116	241	271	309.00437918832074	535.5871219387274	280.6363208778519	341.91628986314925	352.4166078380042	401.4035623450536	403.17841074218404	510.4747896092314	361.80941372400565	500.4458727201278	531.3316049569115	445.3504294833674	208.91070796948003	191.22688448076056	238.83403056430586	219.2641655456574	257.5241437054151	155.2273066687027	172.23838096893726	141.82740808136896	147.1279995195793	125.25599025694785	170.985925951364	211.10465258177467
ENSDARG00000039486	9.880365897084094e-20	8.081457899270163e-17	0.8877924806810261	13	25486608	25498661	1	protein_coding	bag3	BCL2 associated athanogene 3 [Source:ZFIN;Acc:ZDB-GENE-040801-40]	393	537	348	337	455	370	321	449	294	835	450	350	275	186	182	294	247	286	139	285	296	184	272	327	446.4658861066546	433.8013340589692	346.31716193437046	462.7541754372743	417.57697022471854	357.01759150882174	324.3615785670203	491.85231874365854	388.2188599812323	606.4910068524044	433.1507649105257	447.90991471028326	297.6706978839741	223.69937429824822	271.6737097668979	244.18054799402753	240.03193771787747	213.4375466694662	168.59954193438224	282.66301610622486	203.50414886820315	198.68191557998625	192.97996621896687	254.727754222289
ENSDARG00000019339	1.3393159461010678e-19	1.0589524747172443e-16	-0.7095811086097213	8	8699085	8704430	1	protein_coding	uxt	ubiquitously-expressed, prefoldin-like chaperone [Source:ZFIN;Acc:ZDB-GENE-040912-118]	81	110	101	97	129	90	95	95	74	128	100	79	175	157	108	210	159	196	106	174	214	177	221	204	92.01968644946315	88.86060846645552	100.511590101642	133.19630568966056	118.38995419557953	86.84211685349717	95.99485970052001	104.06674895467164	97.71495115173875	92.97107649953027	96.25572553567238	101.09966646317822	189.42680774434717	188.82151486465037	161.21297063090645	174.4146771385911	154.51448622324907	146.2718851301237	128.5723125542771	172.57320983327412	147.1279995195793	191.12336444379113	156.79622255291056	158.91272740473076
ENSDARG00000002396	4.1779875894048543e-19	3.1968343748607465e-16	-0.4847089143047419	24	20194022	20208474	-1	protein_coding	cry-dash	cryptochrome DASH [Source:NCBI gene;Acc:402986]	409	651	539	383	534	531	546	610	445	821	560	425	657	667	514	926	729	1039	655	814	909	783	1072	1022	464.6426142942029	525.8932373787503	536.3935352949013	525.9194338055669	490.07934527472463	512.3684894356334	551.7178252261466	668.2180722352599	587.6101792232938	596.3222953602684	539.0320629997653	543.8906107196296	711.162358217349	802.1907669727503	767.2543231878326	769.0856715730255	708.434342495274	775.3902482152986	794.4798558778443	807.3252460016387	624.9502409499887	845.477934234398	760.5681021571047	796.1216049393864
ENSDARG00000078696	4.352273449977245e-19	3.226122694795633e-16	0.6293057036358438	12	26408351	26430507	-1	protein_coding	synpo2lb	synaptopodin 2-like b [Source:ZFIN;Acc:ZDB-GENE-090828-5]	454	997	566	416	696	739	522	566	425	994	655	416	351	300	289	416	402	538	376	383	616	355	579	556	515.7646623216824	805.4002421914196	563.262970272568	571.2336408958638	638.7551017063827	713.0702706081602	527.4664922491731	620.0187358773068	561.2007329660671	721.9785159416648	630.4750022586541	532.3729271985081	379.9360543900906	360.8054424165294	431.39396770677746	345.5071699507328	390.65926705500704	401.50139897962526	456.0678256642282	379.85942164450563	423.50863413112546	383.3265219070387	410.79191338522725	433.115080573678
ENSDARG00000018566	6.0490607862661074e-18	4.347991571219153e-15	1.7641128555027297	25	35019693	35041057	1	protein_coding	flnca	filamin C, gamma a (actin binding protein 280) [Source:ZFIN;Acc:ZDB-GENE-070503-1]	1125	4638	1193	1396	2844	1821	1033	3198	1149	4915	1949	2990	707	458	518	823	688	831	458	650	1408	613	921	833	1278.0512006869883	3746.686382431097	1187.230960309494	1916.92827569862	2610.0855018002185	1757.1054976690928	1043.8177902172336	3503.2154016530512	1517.2226874776732	3569.9440702749316	1876.0240906902548	3826.430414239277	765.2843032871625	550.8296420892349	773.2251739519402	683.5394251669546	668.5909844125493	620.1629415465959	555.5294259420652	644.6700367334953	968.0197351568582	661.913120926802	653.4358414987812	648.8936369026507
ENSDARG00000032049	9.207106602426564e-18	6.4233108414575914e-15	0.31134517369030656	20	36419947	36617313	-1	protein_coding	enah	ENAH actin regulator [Source:ZFIN;Acc:ZDB-GENE-010323-11]	1057	1663	1232	903	1473	1221	1306	1151	1038	1617	1513	1023	1023	851	715	1291	1064	1352	861	1011	1501	914	1408	1362	1200.800105889908	1343.4108352701412	1226.042366388346	1239.9614849253967	1351.8480816285942	1178.1580519791116	1319.6767028303068	1260.850821545548	1370.6502607500652	1174.4861773417222	1456.3491273547231	1309.1766935674852	1107.3349961283836	1023.4847716548883	1067.2895740842418	1072.2349913615292	1033.98373170778	1008.9774933465676	1044.3468029172886	1002.7098571347134	1031.958538686395	986.9308197831925	998.9551192511226	1060.9761506139378
ENSDARG00000069627	1.2862715053676197e-17	8.717245744948553e-15	2.6637766963863467	8	6880262	6897619	-1	protein_coding	si:ch211-255g12.8	si:ch211-255g12.8 [Source:ZFIN;Acc:ZDB-GENE-081104-39]	7	27	23	27	14	21	14	18	14	35	18	9	4	2	3	0	2	5	2	3	3	2	7	6	7.952318582052372	21.81124025994817	22.888777943938276	37.07526034660655	12.84852216076057	20.26316059914934	14.146610903234528	19.717910328253573	18.48661238005868	25.421778730340307	17.326030596421027	11.51768352112157	4.3297556055850785	2.4053696161101956	4.478138073080735	0	1.9435784430597365	3.7314256410745843	2.4258926897033417	2.975400169539209	2.0625420493398967	2.1595860389128942	4.966396189458706	4.673903747197963
