Gene	pval	FDR	Chr	Start	End	Strand	Biotype	Name	Description
ENSDARG00000089314	1.54183332768e-11	6.43144935975e-07	12	4733892	4781821	-1	protein_coding	mapta	microtubule-associated protein tau a [Source:ZFIN;Acc:ZDB-GENE-081027-1]
ENSDARG00000034693	5.47856204847e-11	1.14263629364e-06	20	9093366	9123296	-1	protein_coding	mysm1	Myb-like, SWIRM and MPN domains 1 [Source:NCBI gene;Acc:561225]
ENSDARG00000009026	1.0947387441e-10	1.52216124109e-06	1	14073891	14158563	1	protein_coding	ank2a	ankyrin 2a, neuronal [Source:ZFIN;Acc:ZDB-GENE-111215-3]
ENSDARG00000076404	6.3177951759e-10	6.58835475431e-06	5	50442112	50748081	-1	protein_coding	mctp1a	multiple C2 domains, transmembrane 1a [Source:ZFIN;Acc:ZDB-GENE-110125-3]
ENSDARG00000071095	1.12279718856e-09	9.36704782528e-06	22	28446365	28482973	1	protein_coding	abi3bpb	ABI family, member 3 (NESH) binding protein b [Source:ZFIN;Acc:ZDB-GENE-030131-6041]
ENSDARG00000034677	6.58825627387e-09	4.58026556587e-05	9	17306162	17334658	1	protein_coding	scel	sciellin [Source:ZFIN;Acc:ZDB-GENE-030616-15]
ENSDARG00000062790	8.79829298306e-09	4.75101433841e-05	13	28819768	28902920	1	protein_coding	CU639469.1	transforming, acidic coiled-coil containing protein 2 [Source:NCBI gene;Acc:569976]
ENSDARG00000079456	9.11181519125e-09	4.75101433841e-05	19	1879611	1929310	-1	protein_coding	si:ch211-149a19.3	si:ch211-149a19.3 [Source:ZFIN;Acc:ZDB-GENE-081104-128]
ENSDARG00000006257	1.10582782931e-08	4.9417275522e-05	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000077304	1.18469722921e-08	4.9417275522e-05	10	161660	167782	-1	protein_coding	erg	ETS transcription factor ERG [Source:ZFIN;Acc:ZDB-GENE-041212-40]
ENSDARG00000070486	1.44370226884e-08	5.4746502491e-05	6	45932241	45933368	1	protein_coding	rbp7b	retinol binding protein 7b, cellular [Source:ZFIN;Acc:ZDB-GENE-081022-134]
ENSDARG00000060102	3.46330951695e-08	0.0001203875249	5	44846280	44942760	1	protein_coding	kank1a	KN motif and ankyrin repeat domains 1a [Source:ZFIN;Acc:ZDB-GENE-060526-215]
ENSDARG00000092870	5.36170272625e-08	0.000172040542939	9	30245637	30248034	-1	lincRNA	BX936337.1	
ENSDARG00000055045	8.29904656108e-08	0.000247270092287	14	4125363	4145594	-1	protein_coding	casp3b	caspase 3, apoptosis-related cysteine peptidase b [Source:ZFIN;Acc:ZDB-GENE-070607-1]
ENSDARG00000010400	9.73801441706e-08	0.000256100092313	13	42621205	42674001	-1	protein_coding	lrrfip2	leucine rich repeat (in FLII) interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7781]
ENSDARG00000076404	9.82332001298e-08	0.000256100092313	5	50442112	50748081	-1	protein_coding	mctp1a	multiple C2 domains, transmembrane 1a [Source:ZFIN;Acc:ZDB-GENE-110125-3]
ENSDARG00000041911	1.23312922762e-07	0.000302573643951	20	38517441	38525467	-1	protein_coding	si:ch211-245h14.1	si:ch211-245h14.1 [Source:ZFIN;Acc:ZDB-GENE-041014-350]
ENSDARG00000069356	1.59621396212e-07	0.000358811613325	11	7432533	7737642	1	protein_coding	adgrl2a	adhesion G protein-coupled receptor L2a [Source:ZFIN;Acc:ZDB-GENE-000607-49]
ENSDARG00000043394	1.6343635445e-07	0.000358811613325	20	19276932	19366022	-1	protein_coding	si:dkey-71h2.2	si:dkey-71h2.2 [Source:ZFIN;Acc:ZDB-GENE-041014-145]
ENSDARG00000100912	1.80758142565e-07	0.000376998220041	7	46009862	46019756	-1	protein_coding	zgc:162297	zgc:162297 [Source:ZFIN;Acc:ZDB-GENE-070410-62]
ENSDARG00000074688	2.00033809628e-07	0.000397333823858	12	27034594	27061336	1	protein_coding	fbrs	fibrosin [Source:ZFIN;Acc:ZDB-GENE-111207-1]
ENSDARG00000000567	3.88925804451e-07	0.000737421003685	3	38762891	38783951	-1	protein_coding	znf281a	zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]
ENSDARG00000023903	5.75399849656e-07	0.00104355017081	9	2343096	2382588	1	protein_coding	atf2	activating transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030911-8]
ENSDARG00000008184	6.46161797846e-07	0.00110118864884	20	51758426	51831816	-1	protein_coding	mia3	MIA SH3 domain ER export factor 3 [Source:ZFIN;Acc:ZDB-GENE-041014-270]
ENSDARG00000101766	6.59979292328e-07	0.00110118864884	2	5131964	5135125	-1	protein_coding	ptmab	prothymosin alpha b [Source:NCBI gene;Acc:559194]
ENSDARG00000029766	1.12094220239e-06	0.00179837931109	9	9502610	9562644	1	protein_coding	nr1i2	nuclear receptor subfamily 1, group I, member 2 [Source:ZFIN;Acc:ZDB-GENE-030903-3]
ENSDARG00000092870	1.29050211672e-06	0.00195914295121	9	30245637	30248034	-1	lincRNA	BX936337.1	
ENSDARG00000062423	1.33702444272e-06	0.00195914295121	9	24208533	24212884	1	protein_coding	zgc:153901	zgc:153901 [Source:ZFIN;Acc:ZDB-GENE-060929-820]
ENSDARG00000077967	1.36204889567e-06	0.00195914295121	9	19489304	19510927	1	protein_coding	si:ch211-140m22.7	si:ch211-140m22.7 [Source:ZFIN;Acc:ZDB-GENE-070912-73]
ENSDARG00000010400	1.72280386235e-06	0.00239544391701	13	42621205	42674001	-1	protein_coding	lrrfip2	leucine rich repeat (in FLII) interacting protein 2 [Source:ZFIN;Acc:ZDB-GENE-030131-7781]
ENSDARG00000070057	1.9246092684e-06	0.00258971698106	9	11587629	11595736	1	protein_coding	si:dkey-69o16.5	si:dkey-69o16.5 [Source:ZFIN;Acc:ZDB-GENE-081104-432]
ENSDARG00000030839	2.10598846728e-06	0.00273613946818	5	32141790	32148529	1	protein_coding	tescb	tescalcin b [Source:ZFIN;Acc:ZDB-GENE-040426-1903]
ENSDARG00000109820	2.16461540647e-06	0.00273613946818	17	9308425	9894157	1	protein_coding	NPAS3	neuronal PAS domain protein 3 [Source:NCBI gene;Acc:570491]
ENSDARG00000011333	2.38876806935e-06	0.00293066713167	16	44788331	44878255	-1	protein_coding	arhgap33	Rho GTPase activating protein 33 [Source:ZFIN;Acc:ZDB-GENE-121105-12]
ENSDARG00000002339	2.85705060399e-06	0.00340503290984	3	15489725	15496610	-1	protein_coding	sgf29	SAGA complex associated factor 29 [Source:ZFIN;Acc:ZDB-GENE-041010-62]
ENSDARG00000112943	2.94852453742e-06	0.00341643900082	1	58639497	58664854	-1	protein_coding	adgre5b.3	adhesion G protein-coupled receptor E5b, duplicate 3 [Source:ZFIN;Acc:ZDB-GENE-121214-275]
ENSDARG00000102291	3.19827360873e-06	0.00347340860162	2	50999477	51032888	1	protein_coding	eef1da	eukaryotic translation elongation factor 1 delta a (guanine nucleotide exchange protein) [Source:ZFIN;Acc:ZDB-GENE-040426-2740]
ENSDARG00000086851	3.23714331874e-06	0.00347340860162	11	40148181	40168378	1	protein_coding	si:dkey-264d12.5	si:dkey-264d12.5 [Source:ZFIN;Acc:ZDB-GENE-141215-20]
ENSDARG00000019963	3.24749923197e-06	0.00347340860162	14	49078606	49110280	-1	protein_coding	sfxn1	sideroflexin 1 [Source:ZFIN;Acc:ZDB-GENE-040801-45]
ENSDARG00000053535	3.51166580603e-06	0.00366205289417	1	34365845	34450784	-1	protein_coding	lmo7b	LIM domain 7b [Source:ZFIN;Acc:ZDB-GENE-060825-242]
ENSDARG00000023903	3.69473010331e-06	0.00368903784797	9	2343096	2382588	1	protein_coding	atf2	activating transcription factor 2 [Source:ZFIN;Acc:ZDB-GENE-030911-8]
ENSDARG00000014439	3.71441971603e-06	0.00368903784797	7	38962207	39157394	1	protein_coding	dgkza	diacylglycerol kinase, zeta a [Source:ZFIN;Acc:ZDB-GENE-111104-3]
ENSDARG00000073769	4.02907800301e-06	0.00390848676139	25	20743118	20985155	-1	protein_coding	magi2b	membrane associated guanylate kinase, WW and PDZ domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-141211-6]
ENSDARG00000062790	4.30724499811e-06	0.00408336615014	13	28819768	28902920	1	protein_coding	CU639469.1	transforming, acidic coiled-coil containing protein 2 [Source:NCBI gene;Acc:569976]
ENSDARG00000052826	4.79502463291e-06	0.0044447747225	13	45092766	45225980	-1	protein_coding	runx3	RUNX family transcription factor 3 [Source:ZFIN;Acc:ZDB-GENE-000605-2]
ENSDARG00000006257	4.9221512991e-06	0.00446342819868	10	15255012	15305767	1	protein_coding	vldlr	very low density lipoprotein receptor [Source:ZFIN;Acc:ZDB-GENE-040426-803]
ENSDARG00000070734	5.12051452262e-06	0.00454451111238	25	16783584	16849005	-1	protein_coding	dyrk4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 4 [Source:ZFIN;Acc:ZDB-GENE-091015-3]
ENSDARG00000008184	5.8352065202e-06	0.00491185650113	20	51758426	51831816	-1	protein_coding	mia3	MIA SH3 domain ER export factor 3 [Source:ZFIN;Acc:ZDB-GENE-041014-270]
ENSDARG00000055045	5.85765414562e-06	0.00491185650113	14	4125363	4145594	-1	protein_coding	casp3b	caspase 3, apoptosis-related cysteine peptidase b [Source:ZFIN;Acc:ZDB-GENE-070607-1]
ENSDARG00000038787	5.88768070042e-06	0.00491185650113	2	32561183	32574944	-1	protein_coding	tmub1	transmembrane and ubiquitin-like domain containing 1 [Source:NCBI gene;Acc:406589]
