Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_het_10 count	srpk3_wt_ttnb_het_1 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_9 normalised count	% variance explained
ENSDARG00000103634	NA	NA	-1.5125695665049756	12	43701777	43711918	-1	protein_coding	CU914622.2	si:ch73-329n5.6 [Source:NCBI gene;Acc:101883339]	0	723	0	0	0	0	0	0	427	0	635	0	558.1360592995119	0	0	0	0	0	0	608.9621323513608	0	452.47310219284435	1.4606005593655702
ENSDARG00000103973	NA	NA	-1.2370856936762888	KN150654.1	8142	14617	-1	protein_coding	CABZ01051602.1	sushi, nidogen and EGF-like domain-containing protein 1 [Source:NCBI gene;Acc:103910028]	4	754	1	0	4	0	1	2	428	2	435	4.3415434102006465	582.0672043040553	0.9509563367286105	0	3.50508960529641	0	1.0340205157950444	2.298279756075972	610.3882731765397	1.85693745236354	309.96188890375953	1.339348969748926
ENSDARG00000058225	0.7976314114629663	0.9998557456288473	0.5690885480191379	11	16139897	16152400	-1	protein_coding	arpc4l	actin related protein 2/3 complex, subunit 4, like [Source:ZFIN;Acc:ZDB-GENE-040808-18]	316	4	1	2	8	1	2	307	2	442	3	342.9819294058511	3.087889678005598	0.9509563367286105	2.6185448526576067	7.01017921059282	0.9218793953613249	2.068041031590089	352.7859425576617	2.8522816503576616	410.3831769723423	2.1376681993362725	0.9503187948273283
ENSDARG00000100311	0.6443717995029459	0.9998557456288473	1.4406494439941087	4	51542447	51598177	1	protein_coding	si:dkey-165e24.1	si:dkey-165e24.1 [Source:ZFIN;Acc:ZDB-GENE-081103-19]	123	4	0	2	160	248	1	0	0	82	128	133.50245986366988	3.087889678005598	0	2.6185448526576067	140.2035842118564	228.62609004960856	1.0340205157950444	0	0	76.13443554690514	91.20717650501429	0.9501149241812614
ENSDARG00000068006	0.030346216954416645	0.9112830687987311	3.5272658009838866	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	302	342	293	14	74	298	24	789	13	13	23	327.7865274701488	264.01456746947866	278.6302066614829	18.329813968603247	64.84415769798358	274.7200598176748	24.816492379081065	906.671363771971	18.5398307273248	12.07009344036301	16.388789528244757	0.8730110209316991
ENSDARG00000023587	0.009391877850363446	0.5607756094768438	-2.1060921989851367	17	48683769	48705993	-1	protein_coding	kcnk5a	potassium channel, subfamily K, member 5a [Source:ZFIN;Acc:ZDB-GENE-051113-112]	664	500	850	345	55	66	687	669	496	707	1003	720.6962060933073	385.98620975069974	808.3128862193189	451.6989870834372	48.19498207282563	60.84404009384744	710.3720943511955	768.7745784074126	707.3658492887001	656.4273894105114	714.6937346447604	0.7719211693178052
ENSDARG00000103457	NA	NA	-0.7963522999646359	15	32798333	32818871	1	protein_coding	spartb	spartin b [Source:ZFIN;Acc:ZDB-GENE-060825-146]	1	131	2	81	1	7	3	1	1	5	174	1.0853858525501616	101.12838695468334	1.901912673457221	106.05106653263307	0.8762724013241024	6.453155767529274	3.102061547385133	1.149139878037986	1.4261408251788308	4.64234363090885	123.9847555615038	0.7529937948650568
ENSDARG00000005629	0.6082776701390902	0.9998557456288473	0.36705690157239623	20	572037	592746	1	protein_coding	smyd2b	SET and MYND domain containing 2b [Source:NCBI gene;Acc:568616]	531	358	699	179	1030	1107	218	423	575	530	446	576.3398877041358	276.36612618150104	664.7184793732987	234.35976431285582	902.5605733638255	1020.5204906649866	225.4164724433197	486.08616841006807	820.0309744778277	492.0884248763381	317.80000563465916	0.738442504566722
ENSDARG00000099099	0.14037080961923845	0.9998557456288473	1.373787191500343	4	76838989	76891899	1	lincRNA	CABZ01015815.1	NA	230	325	211	26	286	263	177	114	121	273	28	249.63874608653717	250.89103633795486	200.6517870497368	34.04108308454889	250.6139067786933	242.45428098002844	183.02163129572287	131.0019460963304	172.56303984663853	253.4719622476232	19.951569860471878	0.7169626327109436
ENSDARG00000115161	0.9431298818142597	0.9998557456288473	0.11968469689976076	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	4	703	482	345	530	378	488	472	432	3	303	4.3415434102006465	542.6966109094839	458.3609543031902	451.6989870834372	464.4243727017743	348.4704114465808	504.6020117079817	542.3940224339294	616.0928364772549	2.78540617854531	215.90448813296354	0.6842576708669504
ENSDARG00000105265	0.9892205739922777	0.9998557456288473	-0.0470476528449163	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	175	279	0	0	336	373	246	234	0	0	825	189.94252419627827	215.38030504089048	0	0	294.4275268448984	343.86101446977415	254.36904688558093	268.8987314608887	0	0	587.858754817475	0.6592568841975261
ENSDARG00000098223	0.6148927547928578	0.9998557456288473	1.159145643023342	16	35821321	35824708	-1	processed_transcript	AL773558.1	NA	62	2	4	1	97	153	5	1	0	71	95	67.29392285811002	1.543944839002799	3.803825346914442	1.3092724263288034	84.99842292843793	141.0475474902827	5.170102578975222	1.149139878037986	0	65.92127955890567	67.69282631231529	0.6430940431655542
ENSDARG00000041433	0.33969119491625704	0.9998557456288473	0.669915970607902	20	46039591	46043405	1	protein_coding	si:dkey-7c18.24	si:dkey-7c18.24 [Source:ZFIN;Acc:ZDB-GENE-041014-63]	397	1738	678	1409	1202	522	830	437	291	657	1108	430.8981834624142	1341.6880650934324	644.7483963019979	1844.7648486972842	1053.2794263915712	481.22104437861157	858.2370281098869	502.1741267025999	415.00698012703975	610.0039531014229	789.51212162153	0.6098144698033244
ENSDARG00000104172	0.09004761515454351	0.9998557456288473	-1.0630376631960108	15	14854666	14858189	1	protein_coding	diabloa	diablo, IAP-binding mitochondrial protein a [Source:ZFIN;Acc:ZDB-GENE-040426-1303]	307	378	500	1023	706	604	844	444	775	475	1317	333.2134567328996	291.805574571529	475.47816836430525	1339.3856921343659	618.6483153348163	556.8151547982402	872.7133153310175	510.2181058488658	1105.259139513594	441.0226449363407	938.4363395086236	0.5938075538742787
