Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_9 count	srpk3_wt_ttnb_het_3 count	srpk3_wt_ttnb_het_9 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_het_8 count	srpk3_wt_ttnb_het_2 count	srpk3_wt_ttnb_het_8 count	srpk3_wt_ttnb_het_1 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_9 normalised count	srpk3_wt_ttnb_het_3 normalised count	srpk3_wt_ttnb_het_9 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_2 normalised count	srpk3_wt_ttnb_het_8 normalised count	srpk3_wt_ttnb_het_1 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000068006	0.03034621695441759	0.9112830688353405	3.5272658009838813	8	40476811	40490593	1	protein_coding	gck	glucokinase (hexokinase 4) [Source:ZFIN;Acc:ZDB-GENE-060825-204]	74	13	23	342	298	14	789	13	24	293	302	64.84415769798358	18.5398307273248	16.388789528244757	264.01456746947866	274.7200598176748	18.329813968603247	906.671363771971	12.07009344036301	24.816492379081065	278.6302066614829	327.7865274701488	1.9235522568580723
ENSDARG00000020711	NA	NA	-4.521465753579436	20	29492469	29499426	-1	protein_coding	rrm2	ribonucleotide reductase regulatory subunit M2 [Source:NCBI gene;Acc:100330864]	5	2	540	14	11	7	584	15	681	10	255	4.381362006620512	2.8522816503576616	384.7802758805291	10.807613873019594	10.140673348974573	9.164906984301624	671.0976887741839	13.92703089272655	704.1679712564253	9.509563367286106	276.7733924002912	1.5807408367932634
ENSDARG00000035438	NA	NA	0.26403768852283505	5	32221755	32233862	1	protein_coding	myhc4	myosin heavy chain 4 [Source:ZFIN;Acc:ZDB-GENE-030131-6206]	1026	756	615	1027	1127	1188	574	32	19	710	681	899.0554837585291	1078.1624638351961	438.22198086393587	792.8156748279373	1038.958078572213	1555.4156424786186	659.606289993804	29.71099923781664	19.646389800105844	675.1789990773134	739.1477655866601	1.389085811318663
ENSDARG00000105265	0.9892205749732105	0.9998557456288198	-0.04704764856330939	13	330611	337318	-1	protein_coding	zgc:171534	zgc:171534 [Source:ZFIN;Acc:ZDB-GENE-080218-6]	336	0	825	279	373	0	234	0	246	0	175	294.4275268448984	0	587.858754817475	215.38030504089048	343.86101446977415	0	268.8987314608887	0	254.36904688558093	0	189.94252419627827	1.229159822377083
ENSDARG00000078069	0.7459222432458235	0.9998557456288198	0.44801151894708163	19	47564890	47571808	-1	protein_coding	rrm2	ribonucleotide reductase M2 polypeptide [Source:NCBI gene;Acc:30733]	766	416	556	868	741	490	19	809	12	819	205	671.2246594142624	593.2745832743936	396.18117294365584	670.0720601272147	683.1126319627417	641.5434889011137	21.833657682721736	751.1311994810519	12.408246189540533	778.833239780732	222.50409977278312	1.1566872455194221
ENSDARG00000115161	0.9431298818142587	0.9998557456288198	0.11968469689976335	KN149950.1	74	5493	1	protein_coding	CABZ01069162.1	NA	530	432	303	703	378	345	472	3	488	482	4	464.4243727017743	616.0928364772549	215.90448813296354	542.6966109094839	348.4704114465808	451.6989870834372	542.3940224339294	2.78540617854531	504.6020117079817	458.3609543031902	4.3415434102006465	1.0843576237566912
ENSDARG00000105422	0.09599747432519143	0.9998557456288198	-1.6434273742307373	5	15841523	15851953	-1	protein_coding	si:dkey-1k23.3	si:dkey-1k23.3 [Source:ZFIN;Acc:ZDB-GENE-160113-121]	69	212	264	50	148	214	24	299	157	90	57	60.46279569136307	302.34185493791216	188.114801541592	38.59862097506998	136.43815051347607	280.18429923436395	27.579357072911666	277.61214912834924	162.34122097982197	85.58607030557495	61.86699359535921	0.9402082239604879
ENSDARG00000075016	0.08761182209072592	0.9998557456288198	1.4225255093883447	20	53439665	53470252	1	protein_coding	apobb.2	apolipoprotein Bb, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070705-554]	92	38	87	266	197	157	534	171	101	744	456	80.61706092181743	54.193351356795574	61.9923777807519	205.34466358737228	181.610240886181	205.55577093362214	613.6406948722846	158.76815217708267	104.4360720952995	707.5115145260862	494.9359487628737	0.8710191352495187
ENSDARG00000095464	0.3629274115638183	0.9998557456288198	0.6787762905643215	5	10046643	10056341	1	protein_coding	gstt2	glutathione S-transferase theta 2 [Source:NCBI gene;Acc:393493]	556	177	288	462	276	174	344	44	225	242	150	487.20745513620096	252.42692605665306	205.21614713628216	356.6512578096466	254.43871311972566	227.8134021812118	395.3041180450672	40.85262395199788	232.654616053885	230.13143348832372	162.80787788252425	0.8700296905514647
ENSDARG00000096508	NA	NA	-0.19790943968166433	20	12203762	12208117	1	lincRNA	BX322618.1	NA	693	568	1771	2013	595	31	417	193	132	34	327	607.256774117603	810.047988701576	1261.9367936748463	1553.9804804563173	548.5182402399882	40.587445216192904	479.1913291418402	179.1944641530816	136.49070808494588	32.33251544877275	354.9211737839029	0.7975304802976707
