Gene	pval	adjp	log2fc	Chr	Start	End	Strand	Biotype	Name	Description	srpk3_hom_ttnb_het_9 count	srpk3_hom_ttnb_wt_4 count	srpk3_hom_ttnb_wt_8 count	srpk3_hom_ttnb_wt_6 count	srpk3_hom_ttnb_het_2 count	srpk3_hom_ttnb_het_10 count	srpk3_hom_ttnb_wt_7 count	srpk3_hom_ttnb_het_8 count	srpk3_hom_ttnb_wt_5 count	srpk3_hom_ttnb_wt_1 count	srpk3_hom_ttnb_het_7 count	srpk3_hom_ttnb_het_1 count	srpk3_hom_ttnb_het_9 normalised count	srpk3_hom_ttnb_wt_4 normalised count	srpk3_hom_ttnb_wt_8 normalised count	srpk3_hom_ttnb_wt_6 normalised count	srpk3_hom_ttnb_het_2 normalised count	srpk3_hom_ttnb_het_10 normalised count	srpk3_hom_ttnb_wt_7 normalised count	srpk3_hom_ttnb_het_8 normalised count	srpk3_hom_ttnb_wt_5 normalised count	srpk3_hom_ttnb_wt_1 normalised count	srpk3_hom_ttnb_het_7 normalised count	srpk3_hom_ttnb_het_1 normalised count	% variance explained
ENSDARG00000088885	0.7461211843294349	0.9702530585889969	0.309911776513086	15	46329149	46336399	1	protein_coding	si:ch1073-340i21.3	si:ch1073-340i21.3 [Source:ZFIN;Acc:ZDB-GENE-030131-199]	698	480	202	768	398	582	309	774	219	36	29	333	617.8226120900499	507.084739091667	249.13997849603615	537.1406569492411	309.4570450162844	542.4345519809942	287.1633826236455	1021.8509670236783	278.9248549892853	35.06322251617936	27.89401167743875	364.69094275285255	1.2214044868340872
ENSDARG00000104773	NA	NA	1.1480087270901156	3	7654655	7656059	-1	protein_coding	junbb	JunB proto-oncogene, AP-1 transcription factor subunit b [Source:ZFIN;Acc:ZDB-GENE-040426-2666]	2	0	0	1	332	271	331	282	237	292	0	310	1.770265364154871	0	0	0.6994018970693244	258.1400476015237	252.5769133794664	307.60867200138074	372.30229031095257	301.8501855363498	284.4016937423437	0	339.50207883899185	1.217646502246315
ENSDARG00000097973	0.9645294113203289	0.9960608369368239	0.0768895715887808	15	46313082	46315233	1	protein_coding	si:ch1073-190k2.1	si:ch1073-190k2.1 [Source:ZFIN;Acc:ZDB-GENE-131127-449]	448	359	173	593	252	374	196	411	175	0	0	179	396.53944157069105	379.257127778976	213.37235782086265	414.7453249621094	195.93762649272279	348.57478082627466	182.14894172891428	542.6107848148989	222.88515809646083	0	0	196.0350713296114	1.0189881686757627
ENSDARG00000091783	0.24531495259788072	0.8140467699756624	-0.7830538800038939	3	30998362	31019832	-1	protein_coding	si:dkeyp-71f10.5	si:dkeyp-71f10.5 [Source:ZFIN;Acc:ZDB-GENE-131121-547]	67	64	95	92	68	80	193	405	95	32	87	366	59.303889699188176	67.6112985455556	117.16979186694769	64.34497453037785	52.87205794248075	74.56145044412291	179.36094772285946	534.689459489134	120.99480010950731	31.16730890327054	83.68203503231625	400.83148662926135	0.9292851699363688
ENSDARG00000068621	0.9015893048097261	0.988198540620437	-0.20875051775383968	15	42741272	42760110	-1	protein_coding	si:ch211-181d7.3	si:ch211-181d7.3 [Source:ZFIN;Acc:ZDB-GENE-121214-30]	191	398	149	468	285	335	163	307	132	0	0	196	169.06034227679018	420.4577628301739	183.7715682965811	327.32008782844383	221.59612520010316	312.2260737347647	151.48100766231136	405.30781250163983	168.1190906784733	0	0	214.65292726594325	0.9256501918384505
ENSDARG00000091847	0.7684707007740318	0.9719362520319865	-0.4978087730625141	15	42723126	42736433	-1	protein_coding	si:ch211-181d7.1	si:ch211-181d7.1 [Source:ZFIN;Acc:ZDB-GENE-121214-14]	130	310	124	423	155	285	180	283	144	0	0	171	115.0672486700666	327.49222733003495	152.9374125421212	295.84700246032423	120.51719089830172	265.62516720718787	167.27964036328862	373.62251119858007	183.40264437651635	0	0	187.27372735957292	0.8455901506475865
ENSDARG00000071644	0.8352614011061393	0.9804358867063658	-0.2598839327087018	22	6487048	6499077	-1	protein_coding	si:dkey-19a16.7	si:dkey-19a16.7 [Source:ZFIN;Acc:ZDB-GENE-060503-903]	152	113	121	189	215	138	308	138	0	0	0	132	134.5401676757702	119.37619899449662	149.237313851586	132.18695854610232	167.16900672990238	128.61850201611202	286.23405128829387	182.19048249259382	0	0	0	144.56217550563525	0.8066904932953802
ENSDARG00000089382	0.6180694634585802	0.9548120592832281	-0.4045784191650383	5	824709	825920	-1	protein_coding	zgc:158463	zgc:158463 [Source:ZFIN;Acc:ZDB-GENE-070410-9]	90	190	105	558	145	401	299	209	58	142	1126	93	79.66194138696919	200.7210425571182	129.50345416873165	390.266258564683	112.74188825970161	373.7392703511661	277.8700692701294	275.9261655141457	73.8705095405413	138.30493325826302	1083.0571430619323	101.85062365169756	0.789459170578091
ENSDARG00000024278	0.9218639042302424	0.990638688911667	-0.04403859393648149	13	12633223	12646752	-1	protein_coding	adh8b	alcohol dehydrogenase 8b [Source:ZFIN;Acc:ZDB-GENE-030529-2]	1721	1464	1191	3159	2109	1688	1383	561	1856	1610	2393	541	1523.3133458552663	1546.6084542295844	1468.9391801424706	2209.410592841996	1639.8113264807635	1573.2466043709935	1285.2652367912676	740.6439179590227	2363.856305297322	1568.105229195799	2301.7368946245147	592.4858859738536	0.7275340875585011
ENSDARG00000115978	0.5281171417419116	0.9324676699839938	-0.5830219462714784	4	77561226	77561679	-1	protein_coding	AL935186.10	NA	28	71	70	345	88	228	223	71	25	43	553	41	24.78371509816819	75.00628432397575	86.33563611248778	241.29365448891693	68.42266321968097	212.50013376575032	207.24088778340757	93.73568302155189	31.840736870922974	41.881071338769786	531.9099468146079	44.90188784644731	0.7083720019781264
